,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.00483880360921224,0.001001272201538086,0.0010807736714680992,0.0011002540588378907,0.0011411380767822267,0.0011632506052652995,0.001175397237141927,0.0010743808746337888,0.000850199063618978,0.0006605052947998047,0.0005495882034301759,0.0005725638071695964
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,0.004828348159790039,0.0009201701482137046,0.0010236899058024087,0.001002629597981771,0.001038346290588379,0.0010657374064127604,0.0010833263397216797,0.000983161926269531,0.0007802788416544597,0.0006025648117065429,0.0005072355270385741,0.0005394919713338217
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,0.004929043451944987,0.0010646327336629236,0.0011254374186197916,0.001141683260599772,0.0011676979064941405,0.0011776479085286462,0.0011864789326985683,0.0011072317759195966,0.0008796008427937829,0.000681633949279785,0.0005507167180379233,0.0005706310272216797
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,0.004709849357604979,0.000957983334859212,0.001046433448791504,0.001015933354695638,0.0010437981287638345,0.001067037582397461,0.001072664260864258,0.0009894339243570966,0.0007941977183024087,0.0006110890706380209,0.0005022001266479492,0.0005209620793660483
shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.005144761403401693,0.001042720476786296,0.0011174551645914716,0.0011485528945922852,0.0011801783243815104,0.0011697514851888022,0.0012121454874674481,0.001072627703348795,0.0008565886815388997,0.0006957610448201497,0.0005976327260335288,0.0006223885218302409
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.004677279790242512,0.0009150489171346029,0.0009776353836059568,0.000998133023579915,0.0010431416829427085,0.0010574849446614585,0.0010875797271728516,0.0009452136357625327,0.0007448228200276694,0.0006083472569783531,0.0005261850357055664,0.0005516203244527181
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.005181128184000651,0.001088878313700358,0.0011344464619954427,0.0011750062306722009,0.0011883894602457681,0.0011594390869140627,0.0011992645263671873,0.0010793574651082358,0.0008651955922444661,0.0007019551595052084,0.0005913670857747396,0.0005945936838785809
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.004746774037679035,0.0009589068094889322,0.0010065046946207683,0.0010330359141031903,0.0010492897033691406,0.0010428841908772784,0.0010727850596110027,0.000956258773803711,0.000754534403483073,0.0006107012430826823,0.0005194425582885742,0.0005244104067484539
