,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
shng2025/GPT-Valkyrie_LN-124m__noNorm__,0.04268098195393881,0.010394331614176433,0.006996364593505858,0.004589754740397135,0.0028157583872477215,0.002964261372884115,0.002895207405090332,0.0029164981842041003,0.003330332438151042,0.0032287152608235685,0.00332919438680013,0.00411375363667806
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__,0.03407623291015625,0.0069132169087727895,0.005636787414550782,0.00453813870747884,0.0028341261545817053,0.0030743821461995443,0.0030730946858723964,0.0031676991780598958,0.003720642725626627,0.0037322839101155596,0.003884908358256023,0.004610735575358072
shng2025/GPT-Valkyrie_LN-124m__FFNonly__,0.08380528767903646,0.02402976989746094,0.01582350413004557,0.011523043314615882,0.008139953613281254,0.007535247802734377,0.006993942260742188,0.0068923441569010415,0.006592502593994142,0.005445226033528646,0.004662062327067057,0.00480020523071289
shng2025/GPT-Valkyrie_LN-124m__baseModel__,0.039912007649739574,0.00968561808268229,0.009381332397460938,0.008801752726236978,0.008074569702148433,0.007639058430989585,0.0068683878580729175,0.005869839986165366,0.004980201721191407,0.0038977750142415372,0.0033610502878824865,0.003665479024251303
shng2025/GPT-Valkyrie_RMSN-124m__noNorm__,0.05531359354654947,0.01491662343343099,0.012189369201660154,0.008292032877604166,0.00630015055338542,0.006370722452799476,0.006530501047770183,0.006753304799397787,0.007204113006591798,0.00723939895629883,0.008211517333984376,0.007432937622070313
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__,0.060598398844401026,0.015217018127441402,0.014566644032796226,0.010024299621582031,0.0069140625,0.007228355407714843,0.007500422795613607,0.00781897226969401,0.008469937642415368,0.008576351801554362,0.00993923823038737,0.009297644297281901
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__,0.05473045349121093,0.016306171417236327,0.012882448832194011,0.009980061848958333,0.007602500915527346,0.0070436477661132806,0.006892986297607422,0.0064947509765625,0.005955028533935547,0.005000616709391277,0.004508256912231445,0.004535258611043294
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__,0.04890780131022135,0.012919400533040368,0.011617457071940103,0.010614865620930992,0.00953643798828125,0.00875923156738281,0.007861022949218753,0.0065670649210612,0.005495109558105468,0.0044481213887532555,0.00402480125427246,0.0038962904612223305
