Principal Component,Explained Variance Ratio,Cumulative Explained Variance Ratio
1,0.4817894110783247,0.4817894110783247
2,0.2922560463973927,0.7740454574757174
3,0.0898351338651368,0.8638805913408542
4,0.07556777348791834,0.9394483648287725
5,0.06055163517122744,0.9999999999999999
6,2.7598816050967676e-18,0.9999999999999999
