step_bin,average_loss,model
0,4.332979179142664,LN
3000,3.3774150794114526,LN
6000,3.263233044852761,LN
9000,3.1971537109435073,LN
12000,3.1254139077532423,LN
15000,3.0689562678260236,LN
18000,3.0504869351020227,LN
21000,3.0504891341473876,LN
0,4.287834891670698,RMSN
3000,3.331605688994686,RMSN
6000,4.129515178450223,RMSN
9000,3.224994557762278,RMSN
12000,3.1462956975448653,RMSN
15000,3.0790577084538064,RMSN
18000,3.052168148993728,RMSN
21000,3.052168148993728,RMSN
0,4.322114333201824,PNbefore
3000,3.3561294167218563,PNbefore
6000,3.3088810912115063,PNbefore
9000,3.873699904204848,PNbefore
12000,7.586666801888383,PNbefore
15000,8.611189015164882,PNbefore
18000,9.706591721737023,PNbefore
21000,9.706772965651291,PNbefore
0,4.34429317290117,PNafter
3000,3.35613090552826,PNafter
6000,3.2708704044250876,PNafter
9000,4.592681240415041,PNafter
12000,8.024164200174136,PNafter
15000,9.591998200704493,PNafter
18000,9.824087117430272,PNafter
21000,10.009729644368747,PNafter
24000,10.009833304329986,PNafter
