step_bin,average_loss,model
0,5.03210611412309,LN
1500,3.6464816339554327,LN
3000,3.4342437811839726,LN
4500,3.3190738266411843,LN
6000,3.2668324377971936,LN
7500,3.259499274571737,LN
9000,3.218594094872631,LN
10500,3.175656979093414,LN
12000,3.1414076898671404,LN
13500,3.1087229066039956,LN
15000,3.0767744164618236,LN
16500,3.0615216510100933,LN
18000,3.0504869351020227,LN
19500,3.0504891341473876,LN
0,5.016635754470075,RMSN
1500,3.576029385068289,RMSN
3000,3.3739109257216096,RMSN
4500,3.2867693697285447,RMSN
6000,4.891107061591881,RMSN
7500,3.3721136220383676,RMSN
9000,3.2468995559568996,RMSN
10500,3.201939935548931,RMSN
12000,3.1663758758131344,RMSN
13500,3.126772528382512,RMSN
15000,3.0937652083916394,RMSN
16500,3.064127674129019,RMSN
18000,3.0582834752400716,RMSN
19500,3.0442467419388795,RMSN
21000,3.0442467419388795,RMSN
0,5.04786093822701,PNbefore
1500,3.5963677281766393,PNbefore
3000,3.400788870348322,PNbefore
4500,3.3114699630953903,PNbefore
6000,3.2748369909399897,PNbefore
7500,3.342925191483023,PNbefore
9000,3.37614490942869,PNbefore
10500,4.3712548989810065,PNbefore
12000,7.460981300853456,PNbefore
13500,7.7123523029233105,PNbefore
15000,7.898830988125237,PNbefore
16500,9.323547042204526,PNbefore
18000,9.706591721737023,PNbefore
19500,9.706772965651291,PNbefore
0,5.065010417220939,PNafter
1500,3.6002586059710557,PNafter
3000,3.399504432717849,PNafter
4500,3.3110723636133206,PNafter
6000,3.280709622892117,PNafter
7500,3.2606567864730116,PNafter
9000,3.739196178065725,PNafter
10500,5.424860508256372,PNafter
12000,7.691823969053668,PNafter
13500,8.353631172812294,PNafter
15000,9.495089883266642,PNafter
16500,9.68748972987571,PNafter
18000,9.78336360276635,PNafter
19500,9.862354655754014,PNafter
21000,10.009729644368747,PNafter
22500,10.009833304329986,PNafter
