step_bin,average_gradient_norm,model
0,0.5601469850889634,LN
3000,0.2892905359425184,LN
6000,0.28483468160500974,LN
9000,0.280069777330554,LN
12000,0.28509480672641524,LN
15000,0.2887766499632072,LN
18000,0.29305172041266075,LN
21000,0.29308865363794057,LN
0,0.5331435780027328,RMSN
3000,0.2940940878649373,RMSN
6000,0.5279793141055865,RMSN
9000,0.29586942843984415,RMSN
12000,0.2989429791645748,RMSN
15000,0.3017956475777303,RMSN
18000,0.30364622776528394,RMSN
21000,0.303646227765284,RMSN
0,0.5850344945416485,PNbefore
3000,0.2352737515845088,PNbefore
6000,1.5337830420734664,PNbefore
9000,113.89242052305708,PNbefore
12000,1934812.680178411,PNbefore
15000,19981695080.437714,PNbefore
18000,171237379373.17648,PNbefore
21000,172674086229.33334,PNbefore
0,0.6139893072010744,PNafter
3000,0.2336166401740093,PNafter
6000,0.21146581267155545,PNafter
9000,1859.3113160078922,PNafter
12000,9998248.897841578,PNafter
15000,10758528.614615237,PNafter
18000,286944681.6206957,PNafter
21000,23981728.07142857,PNafter
24000,24008166.636604775,PNafter
