step_bin,average_gradient_norm,model
0,0.8003035327006258,LN
1500,0.32092732908046756,LN
3000,0.3036275271579857,LN
4500,0.27533708207166874,LN
6000,0.27975857858028674,LN
7500,0.29006260565647995,LN
9000,0.27790948771166074,LN
10500,0.2821691017209386,LN
12000,0.28378807688493485,LN
13500,0.28641568249310784,LN
15000,0.28975171813780953,LN
16500,0.28785082765600895,LN
18000,0.29305172041266075,LN
19500,0.29308865363794057,LN
0,0.7611722799717184,RMSN
1500,0.31834731083086787,RMSN
3000,0.29512861008466373,RMSN
4500,0.29308649156599825,RMSN
6000,0.7574400316256562,RMSN
7500,0.31669665342801573,RMSN
9000,0.2959423261880874,RMSN
10500,0.29580074953840363,RMSN
12000,0.2998730357237688,RMSN
13500,0.29792472758683664,RMSN
15000,0.30095004096647726,RMSN
16500,0.3026664067935673,RMSN
18000,0.3011875324742995,RMSN
19500,0.3067957606511174,RMSN
21000,0.3067957606511174,RMSN
0,0.8756533799424271,PNbefore
1500,0.3054474055024653,PNbefore
3000,0.24714599783098143,PNbefore
4500,0.22328775926621372,PNbefore
6000,0.21947897411008394,PNbefore
7500,2.935268731566335,PNbefore
9000,7.74628349541881,PNbefore
10500,219.64639201980506,PNbefore
12000,137666.7723072846,PNbefore
13500,3712703.453322347,PNbefore
15000,5982172565.063074,PNbefore
16500,33898673241.35849,PNbefore
18000,171237379373.17648,PNbefore
19500,172674086229.33334,PNbefore
0,0.9314868322566704,PNafter
1500,0.3042915768361505,PNafter
3000,0.24603184237432063,PNafter
4500,0.22109316586148597,PNafter
6000,0.21374279044363076,PNafter
7500,0.2093018986233349,PNafter
9000,21.815181594431316,PNafter
10500,3786.507705503667,PNafter
12000,20062557.3198388,PNafter
13500,501148.6094540282,PNafter
15000,2392579.715796494,PNafter
16500,19201701.657115385,PNafter
18000,534827263.0030488,PNafter
19500,19882864.01459854,PNafter
21000,23981728.07142857,PNafter
22500,24008166.636604775,PNafter
