"Step","prime-snowball-26 - loss/train","prime-snowball-26 - loss/train__MIN","prime-snowball-26 - loss/train__MAX"
"1","10.953476905822754","10.953476905822754","10.953476905822754"
"2","10.905681610107422","10.905681610107422","10.905681610107422"
"3","10.803257942199707","10.803257942199707","10.803257942199707"
"4","10.668408393859863","10.668408393859863","10.668408393859863"
"5","10.51344108581543","10.51344108581543","10.51344108581543"
"6","10.377829551696777","10.377829551696777","10.377829551696777"
"7","10.250042915344238","10.250042915344238","10.250042915344238"
"8","10.136801719665527","10.136801719665527","10.136801719665527"
"9","10.038115501403809","10.038115501403809","10.038115501403809"
"14","9.7199068069458","9.7199068069458","9.7199068069458"
"15","9.70040512084961","9.70040512084961","9.70040512084961"
"17","9.642204284667969","9.642204284667969","9.642204284667969"
"21","9.561326026916504","9.561326026916504","9.561326026916504"
"23","9.522336959838867","9.522336959838867","9.522336959838867"
"25","9.480727195739746","9.480727195739746","9.480727195739746"
"28","9.389351844787598","9.389351844787598","9.389351844787598"
"31","9.286887168884277","9.286887168884277","9.286887168884277"
"35","9.158106803894043","9.158106803894043","9.158106803894043"
"39","8.960010528564453","8.960010528564453","8.960010528564453"
"40","8.892916679382324","8.892916679382324","8.892916679382324"
"42","8.869924545288086","8.869924545288086","8.869924545288086"
"43","8.815629005432129","8.815629005432129","8.815629005432129"
"44","8.821094512939453","8.821094512939453","8.821094512939453"
"46","8.689743041992188","8.689743041992188","8.689743041992188"
"47","8.602476119995117","8.602476119995117","8.602476119995117"
"50","8.531330108642578","8.531330108642578","8.531330108642578"
"51","8.503132820129395","8.503132820129395","8.503132820129395"
"53","8.449807167053223","8.449807167053223","8.449807167053223"
"55","8.388673782348633","8.388673782348633","8.388673782348633"
"56","8.333305358886719","8.333305358886719","8.333305358886719"
"63","8.178041458129883","8.178041458129883","8.178041458129883"
"65","8.11763858795166","8.11763858795166","8.11763858795166"
"66","8.05387020111084","8.05387020111084","8.05387020111084"
"70","7.932042121887207","7.932042121887207","7.932042121887207"
"72","7.826094150543213","7.826094150543213","7.826094150543213"
"75","7.771835803985596","7.771835803985596","7.771835803985596"
"77","7.7560577392578125","7.7560577392578125","7.7560577392578125"
"79","7.598206520080566","7.598206520080566","7.598206520080566"
"83","7.586691856384277","7.586691856384277","7.586691856384277"
"85","7.464435577392578","7.464435577392578","7.464435577392578"
"86","7.4390482902526855","7.4390482902526855","7.4390482902526855"
"88","7.4195756912231445","7.4195756912231445","7.4195756912231445"
"89","7.369997978210449","7.369997978210449","7.369997978210449"
"91","7.341308116912842","7.341308116912842","7.341308116912842"
"92","7.34678316116333","7.34678316116333","7.34678316116333"
"93","7.244017124176025","7.244017124176025","7.244017124176025"
"95","7.179915904998779","7.179915904998779","7.179915904998779"
"99","7.122690677642822","7.122690677642822","7.122690677642822"
"102","7.054226875305176","7.054226875305176","7.054226875305176"
"105","7.067486763000488","7.067486763000488","7.067486763000488"
"108","7.001096248626709","7.001096248626709","7.001096248626709"
"109","6.986509323120117","6.986509323120117","6.986509323120117"
"117","6.873129844665527","6.873129844665527","6.873129844665527"
"120","6.9060893058776855","6.9060893058776855","6.9060893058776855"
"122","6.814879417419434","6.814879417419434","6.814879417419434"
"124","6.850477695465088","6.850477695465088","6.850477695465088"
"127","6.93643856048584","6.93643856048584","6.93643856048584"
"128","6.893877029418945","6.893877029418945","6.893877029418945"
"131","6.89931058883667","6.89931058883667","6.89931058883667"
"132","6.863461971282959","6.863461971282959","6.863461971282959"
"133","6.82004451751709","6.82004451751709","6.82004451751709"
"135","6.831842422485352","6.831842422485352","6.831842422485352"
"139","6.754881858825684","6.754881858825684","6.754881858825684"
