"Step","prime-snowball-26 - tok per sec","prime-snowball-26 - tok per sec__MIN","prime-snowball-26 - tok per sec__MAX"
"178","1039884.6423818261","1039884.6423818261","1039884.6423818261"
"179","1055486.5789118668","1055486.5789118668","1055486.5789118668"
"181","1043813.06666346","1043813.06666346","1043813.06666346"
"182","1051870.9882246545","1051870.9882246545","1051870.9882246545"
"183","1049687.1762672965","1049687.1762672965","1049687.1762672965"
"188","1102016.8794820225","1102016.8794820225","1102016.8794820225"
"189","1124381.4461904718","1124381.4461904718","1124381.4461904718"
"190","1130980.7913003347","1130980.7913003347","1130980.7913003347"
"192","1136910.6836860816","1136910.6836860816","1136910.6836860816"
"193","1147875.4465924276","1147875.4465924276","1147875.4465924276"
"197","1143008.43267878","1143008.43267878","1143008.43267878"
"199","1146750.8836782414","1146750.8836782414","1146750.8836782414"
"200","1136668.5653998784","1136668.5653998784","1136668.5653998784"
"201","1141742.3955007829","1141742.3955007829","1141742.3955007829"
"203","1145366.7681268824","1145366.7681268824","1145366.7681268824"
"206","1139553.2498699296","1139553.2498699296","1139553.2498699296"
"207","1152654.3734455842","1152654.3734455842","1152654.3734455842"
"208","1152031.9985694487","1152031.9985694487","1152031.9985694487"
"209","1151395.8265102028","1151395.8265102028","1151395.8265102028"
"210","1152560.9340756794","1152560.9340756794","1152560.9340756794"
"212","1146075.1323012223","1146075.1323012223","1146075.1323012223"
"213","1151299.3763217027","1151299.3763217027","1151299.3763217027"
"216","1153217.7470688266","1153217.7470688266","1153217.7470688266"
"217","1144221.7096742862","1144221.7096742862","1144221.7096742862"
"222","1152609.2628927687","1152609.2628927687","1152609.2628927687"
"223","1140909.9246969365","1140909.9246969365","1140909.9246969365"
"225","1152697.0706141363","1152697.0706141363","1152697.0706141363"
"226","1148857.3486136536","1148857.3486136536","1148857.3486136536"
"229","1148344.599069915","1148344.599069915","1148344.599069915"
"232","1154958.0855762896","1154958.0855762896","1154958.0855762896"
"233","1155095.598016275","1155095.598016275","1155095.598016275"
"234","1143502.948541698","1143502.948541698","1143502.948541698"
"236","1155106.1150212283","1155106.1150212283","1155106.1150212283"
"238","1152827.5985539218","1152827.5985539218","1152827.5985539218"
"239","1157355.4832589608","1157355.4832589608","1157355.4832589608"
"240","1150334.9600928489","1150334.9600928489","1150334.9600928489"
"241","1154319.4865434053","1154319.4865434053","1154319.4865434053"
"242","1154679.116834018","1154679.116834018","1154679.116834018"
"243","1156727.211409695","1156727.211409695","1156727.211409695"
"245","1144538.5368410167","1144538.5368410167","1144538.5368410167"
"247","1156846.481879946","1156846.481879946","1156846.481879946"
"249","1155896.2466895145","1155896.2466895145","1155896.2466895145"
"251","1155260.6561741086","1155260.6561741086","1155260.6561741086"
"252","1156329.8207341398","1156329.8207341398","1156329.8207341398"
"256","1147504.0731277808","1147504.0731277808","1147504.0731277808"
"258","1138896.9625343634","1138896.9625343634","1138896.9625343634"
"259","1146434.4244803651","1146434.4244803651","1146434.4244803651"
"260","1145922.2425473286","1145922.2425473286","1145922.2425473286"
"261","1152084.3069258449","1152084.3069258449","1152084.3069258449"
"263","1149327.3042324483","1149327.3042324483","1149327.3042324483"
"264","1147366.7657532122","1147366.7657532122","1147366.7657532122"
"265","1151514.0000167568","1151514.0000167568","1151514.0000167568"
"267","1147833.1058667798","1147833.1058667798","1147833.1058667798"
"268","1151098.4903191496","1151098.4903191496","1151098.4903191496"
"272","1152020.7327759268","1152020.7327759268","1152020.7327759268"
"273","1148884.5587257182","1148884.5587257182","1148884.5587257182"
"274","1151604.0532570656","1151604.0532570656","1151604.0532570656"
"275","1150608.6225590159","1150608.6225590159","1150608.6225590159"
"278","1152937.2003925922","1152937.2003925922","1152937.2003925922"
"280","1145151.2490914569","1145151.2490914569","1145151.2490914569"
"281","1148468.5449083534","1148468.5449083534","1148468.5449083534"
"285","1144900.8399418825","1144900.8399418825","1144900.8399418825"
"286","1152018.3187059811","1152018.3187059811","1152018.3187059811"
"287","1154577.2661915629","1154577.2661915629","1154577.2661915629"
"288","1154242.740552351","1154242.740552351","1154242.740552351"
"289","1155428.1898826405","1155428.1898826405","1155428.1898826405"
"298","1158534.317094707","1158534.317094707","1158534.317094707"
"301","1154720.3472029003","1154720.3472029003","1154720.3472029003"
"304","1154662.1404790825","1154662.1404790825","1154662.1404790825"
"305","1157205.252862724","1157205.252862724","1157205.252862724"
"307","1157769.0212323854","1157769.0212323854","1157769.0212323854"
"309","1157471.6340259726","1157471.6340259726","1157471.6340259726"
"310","1155769.0726432686","1155769.0726432686","1155769.0726432686"
"312","1155270.366946553","1155270.366946553","1155270.366946553"
"313","1144353.5011705344","1144353.5011705344","1144353.5011705344"
"314","1146608.9735683096","1146608.9735683096","1146608.9735683096"
"315","1155168.411977343","1155168.411977343","1155168.411977343"
"316","1155194.3035980323","1155194.3035980323","1155194.3035980323"
"318","1153420.1801561376","1153420.1801561376","1153420.1801561376"
"319","1157253.9719609644","1157253.9719609644","1157253.9719609644"
"321","1158771.1862403306","1158771.1862403306","1158771.1862403306"
"322","1157132.1819062012","1157132.1819062012","1157132.1819062012"
"324","1154801.1996109742","1154801.1996109742","1154801.1996109742"
"325","1153654.9624748707","1153654.9624748707","1153654.9624748707"
"328","1157821.8518804007","1157821.8518804007","1157821.8518804007"
"329","1153757.457572885","1153757.457572885","1153757.457572885"
"333","1158183.6681600998","1158183.6681600998","1158183.6681600998"
"334","1150343.7858824302","1150343.7858824302","1150343.7858824302"
"337","1155957.8187017525","1155957.8187017525","1155957.8187017525"
"338","1156316.038611468","1156316.038611468","1156316.038611468"
"339","1156064.7751569792","1156064.7751569792","1156064.7751569792"
"340","1150114.359359081","1150114.359359081","1150114.359359081"
"342","1157194.697598772","1157194.697598772","1157194.697598772"
"345","1155975.643403246","1155975.643403246","1155975.643403246"
"346","1154301.7128795402","1154301.7128795402","1154301.7128795402"
"348","1152333.8429125494","1152333.8429125494","1152333.8429125494"
"350","1153744.5438019547","1153744.5438019547","1153744.5438019547"
"351","1146754.8704245016","1146754.8704245016","1146754.8704245016"
"355","1151470.586522229","1151470.586522229","1151470.586522229"
"359","1153739.7012123845","1153739.7012123845","1153739.7012123845"
"360","1156483.8785811705","1156483.8785811705","1156483.8785811705"
"361","1157166.2805375005","1157166.2805375005","1157166.2805375005"
"363","1154652.4399289538","1154652.4399289538","1154652.4399289538"
"364","1151518.019950358","1151518.019950358","1151518.019950358"
"365","1157071.296491254","1157071.296491254","1157071.296491254"
"369","1152755.07938252","1152755.07938252","1152755.07938252"
"371","1157186.578295991","1157186.578295991","1157186.578295991"
"377","1154719.5387359937","1154719.5387359937","1154719.5387359937"
"380","1154581.3075413646","1154581.3075413646","1154581.3075413646"
"383","1158350.4236627577","1158350.4236627577","1158350.4236627577"
"384","1151321.0762052357","1151321.0762052357","1151321.0762052357"
"386","1157487.8807468482","1157487.8807468482","1157487.8807468482"
"387","1156237.4057258472","1156237.4057258472","1156237.4057258472"
"390","1158187.7347962474","1158187.7347962474","1158187.7347962474"
"394","1145884.026482373","1145884.026482373","1145884.026482373"
"395","1155335.1096017368","1155335.1096017368","1155335.1096017368"
"396","1155693.753443395","1155693.753443395","1155693.753443395"
"397","1158425.2758901888","1158425.2758901888","1158425.2758901888"
"398","1158250.3645993834","1158250.3645993834","1158250.3645993834"
"399","1153463.7407875992","1153463.7407875992","1153463.7407875992"
"401","1158839.5788550638","1158839.5788550638","1158839.5788550638"
"403","1159096.9376859772","1159096.9376859772","1159096.9376859772"
"405","1139598.9190863958","1139598.9190863958","1139598.9190863958"
"406","1160680.250778881","1160680.250778881","1160680.250778881"
"412","1161713.6489178936","1161713.6489178936","1161713.6489178936"
"414","1159644.6126149436","1159644.6126149436","1159644.6126149436"
"415","1159729.418080407","1159729.418080407","1159729.418080407"
"416","1156335.4958213207","1156335.4958213207","1156335.4958213207"
"418","1157837.295595877","1157837.295595877","1157837.295595877"
"420","1161281.7525709171","1161281.7525709171","1161281.7525709171"
"422","1156440.089544013","1156440.089544013","1156440.089544013"
"424","1162329.3289140502","1162329.3289140502","1162329.3289140502"
"425","1156554.4345611345","1156554.4345611345","1156554.4345611345"
"431","1150504.2784033953","1150504.2784033953","1150504.2784033953"
"432","1134262.4031074713","1134262.4031074713","1134262.4031074713"
"434","1144897.660847309","1144897.660847309","1144897.660847309"
"435","1151092.8665200057","1151092.8665200057","1151092.8665200057"
"436","1145981.163975194","1145981.163975194","1145981.163975194"
"438","1135389.9502023957","1135389.9502023957","1135389.9502023957"
"442","1134888.3679827584","1134888.3679827584","1134888.3679827584"
"443","1145295.97986717","1145295.97986717","1145295.97986717"
"445","1146641.6576150663","1146641.6576150663","1146641.6576150663"
"448","1136442.2115093488","1136442.2115093488","1136442.2115093488"
"449","1146410.517784902","1146410.517784902","1146410.517784902"
"451","1148073.61074573","1148073.61074573","1148073.61074573"
"454","1102741.1891385906","1102741.1891385906","1102741.1891385906"
"455","1104935.3872803636","1104935.3872803636","1104935.3872803636"
"456","1105362.680900232","1105362.680900232","1105362.680900232"
"457","1096785.7495930116","1096785.7495930116","1096785.7495930116"
"462","1144894.4817703904","1144894.4817703904","1144894.4817703904"
"464","1075531.5757627927","1075531.5757627927","1075531.5757627927"
"466","1091172.1626608374","1091172.1626608374","1091172.1626608374"
"469","1083281.1868471974","1083281.1868471974","1083281.1868471974"
"470","1091234.9742413706","1091234.9742413706","1091234.9742413706"
"471","1096991.4726993854","1096991.4726993854","1096991.4726993854"
"476","1097839.9834279004","1097839.9834279004","1097839.9834279004"
"477","1098149.9218728775","1098149.9218728775","1098149.9218728775"
"478","1103682.0744412888","1103682.0744412888","1103682.0744412888"
"479","1102313.7092248495","1102313.7092248495","1102313.7092248495"
"482","1100431.5885840564","1100431.5885840564","1100431.5885840564"
"483","1135827.0473519687","1135827.0473519687","1135827.0473519687"
"484","1100298.7081185407","1100298.7081185407","1100298.7081185407"
"486","1095557.3959482242","1095557.3959482242","1095557.3959482242"
"488","1078931.3715082703","1078931.3715082703","1078931.3715082703"
"490","1086832.6382185426","1086832.6382185426","1086832.6382185426"
"491","1100477.1130298316","1100477.1130298316","1100477.1130298316"
"492","1123742.513003047","1123742.513003047","1123742.513003047"
"493","1105537.5444181084","1105537.5444181084","1105537.5444181084"
"497","1088618.18843704","1088618.18843704","1088618.18843704"
"498","1104534.3134774866","1104534.3134774866","1104534.3134774866"
"499","1093210.3632422716","1093210.3632422716","1093210.3632422716"
"500","1118975.8395123712","1118975.8395123712","1118975.8395123712"
"501","202864.6437773889","202864.6437773889","202864.6437773889"
"507","1100795.8896472552","1100795.8896472552","1100795.8896472552"
"508","431383.0192552905","431383.0192552905","431383.0192552905"
"510","1089753.9707221538","1089753.9707221538","1089753.9707221538"
"511","1110249.9654417527","1110249.9654417527","1110249.9654417527"
"512","1090714.650547782","1090714.650547782","1090714.650547782"
"513","1099688.3110313057","1099688.3110313057","1099688.3110313057"
"515","1107264.6951715916","1107264.6951715916","1107264.6951715916"
"517","1091208.2603866314","1091208.2603866314","1091208.2603866314"
"519","1103547.6694524107","1103547.6694524107","1103547.6694524107"
"521","1089625.8159564326","1089625.8159564326","1089625.8159564326"
"522","1085157.8827416815","1085157.8827416815","1085157.8827416815"
"523","1094405.1334234462","1094405.1334234462","1094405.1334234462"
"525","1110931.2605132358","1110931.2605132358","1110931.2605132358"
"526","1095340.570882081","1095340.570882081","1095340.570882081"
"528","1078790.9307716913","1078790.9307716913","1078790.9307716913"
"529","1082644.0337304792","1082644.0337304792","1082644.0337304792"
"534","1129057.5586764854","1129057.5586764854","1129057.5586764854"
"535","1111834.4597043903","1111834.4597043903","1111834.4597043903"
"538","1063123.737246679","1063123.737246679","1063123.737246679"
"539","1041189.0746939912","1041189.0746939912","1041189.0746939912"
"541","1092696.841805937","1092696.841805937","1092696.841805937"
"543","1056735.6722536215","1056735.6722536215","1056735.6722536215"
"545","1070688.6882873056","1070688.6882873056","1070688.6882873056"
"551","1063463.7514799996","1063463.7514799996","1063463.7514799996"
"554","1063053.1567133586","1063053.1567133586","1063053.1567133586"
"555","1070314.8653361178","1070314.8653361178","1070314.8653361178"
"557","1096416.0797109494","1096416.0797109494","1096416.0797109494"
"560","1082709.4211719725","1082709.4211719725","1082709.4211719725"
"562","1075748.346795292","1075748.346795292","1075748.346795292"
"564","1068707.2111226022","1068707.2111226022","1068707.2111226022"
"565","1101353.0901427185","1101353.0901427185","1101353.0901427185"
"566","1091322.3448998714","1091322.3448998714","1091322.3448998714"
"569","1109868.1776981608","1109868.1776981608","1109868.1776981608"
"570","1090578.337090777","1090578.337090777","1090578.337090777"
"573","1080348.407719865","1080348.407719865","1080348.407719865"
"576","1124669.7400818032","1124669.7400818032","1124669.7400818032"
"581","1120908.2721469218","1120908.2721469218","1120908.2721469218"
"583","1097789.561883259","1097789.561883259","1097789.561883259"
"584","1091869.270793294","1091869.270793294","1091869.270793294"
"585","1079783.2676210518","1079783.2676210518","1079783.2676210518"
"590","1091737.7273322428","1091737.7273322428","1091737.7273322428"
"593","1113201.031932687","1113201.031932687","1113201.031932687"
"595","1099897.3251046701","1099897.3251046701","1099897.3251046701"
"598","1090816.3669099056","1090816.3669099056","1090816.3669099056"
"599","1136528.356342061","1136528.356342061","1136528.356342061"
"601","1086640.0145898452","1086640.0145898452","1086640.0145898452"
"602","1091208.2603866314","1091208.2603866314","1091208.2603866314"
"604","1086633.5711135431","1086633.5711135431","1086633.5711135431"
"605","1087632.5055503787","1087632.5055503787","1087632.5055503787"
"606","1085541.4332246871","1085541.4332246871","1085541.4332246871"
"607","1085350.6954686553","1085350.6954686553","1085350.6954686553"
"608","1093487.2420637235","1093487.2420637235","1093487.2420637235"
"610","1088849.6123716568","1088849.6123716568","1088849.6123716568"
"613","1096518.862294511","1096518.862294511","1096518.862294511"
"616","1087900.1072974452","1087900.1072974452","1087900.1072974452"
"618","1087455.3725457098","1087455.3725457098","1087455.3725457098"
"620","1090234.4593499051","1090234.4593499051","1090234.4593499051"
"622","1083488.9925541098","1083488.9925541098","1083488.9925541098"
"625","1130779.1798031295","1130779.1798031295","1130779.1798031295"
"628","1145782.9254368413","1145782.9254368413","1145782.9254368413"
"629","1139697.3565686091","1139697.3565686091","1139697.3565686091"
"631","1137013.3604389029","1137013.3604389029","1137013.3604389029"
"632","1146126.104618994","1146126.104618994","1146126.104618994"
"633","1140583.270974961","1140583.270974961","1140583.270974961"
"634","1146217.7068966236","1146217.7068966236","1146217.7068966236"
"635","1147985.706912273","1147985.706912273","1147985.706912273"
"636","1145015.2991060053","1145015.2991060053","1145015.2991060053"
"638","1150557.2507633676","1150557.2507633676","1150557.2507633676"
"639","1150202.5894986584","1150202.5894986584","1150202.5894986584"
"640","1149039.8410861786","1149039.8410861786","1149039.8410861786"
"649","1148418.1636951205","1148418.1636951205","1148418.1636951205"
"655","1154430.988375666","1154430.988375666","1154430.988375666"
"659","1154925.7344661767","1154925.7344661767","1154925.7344661767"
"660","1152593.958328849","1152593.958328849","1152593.958328849"
"662","1145180.6694186355","1145180.6694186355","1145180.6694186355"
"666","1149391.3824706166","1149391.3824706166","1149391.3824706166"
"671","1157222.3040804942","1157222.3040804942","1157222.3040804942"
"677","1148315.015954047","1148315.015954047","1148315.015954047"
"683","1152763.1366176745","1152763.1366176745","1152763.1366176745"
"684","1154069.8974898676","1154069.8974898676","1154069.8974898676"
"685","1150850.2920717946","1150850.2920717946","1150850.2920717946"
"687","1154077.9731155331","1154077.9731155331","1154077.9731155331"
"691","1147648.6006830498","1147648.6006830498","1147648.6006830498"
"698","1156014.535569194","1156014.535569194","1156014.535569194"
"699","1150264.3586513193","1150264.3586513193","1150264.3586513193"
"700","1155055.958718873","1155055.958718873","1155055.958718873"
"701","1157993.3815253826","1157993.3815253826","1157993.3815253826"
"703","1148863.7508770071","1148863.7508770071","1148863.7508770071"
"706","1154591.8151832556","1154591.8151832556","1154591.8151832556"
"707","1143790.8205482787","1143790.8205482787","1143790.8205482787"
"709","1155166.7937895865","1155166.7937895865","1155166.7937895865"
"711","1147911.3987172483","1147911.3987172483","1147911.3987172483"
"712","1154541.7035332068","1154541.7035332068","1154541.7035332068"
"714","1154731.6658584622","1154731.6658584622","1154731.6658584622"
"715","1151923.3733128177","1151923.3733128177","1151923.3733128177"
"718","1158092.5829941775","1158092.5829941775","1158092.5829941775"
"719","1160071.21194349","1160071.21194349","1160071.21194349"
"720","1145864.123291383","1145864.123291383","1145864.123291383"
"724","1144393.203353937","1144393.203353937","1144393.203353937"
"725","1157158.1616334824","1157158.1616334824","1157158.1616334824"
"727","1159006.523301108","1159006.523301108","1159006.523301108"
"729","1157192.2617959743","1157192.2617959743","1157192.2617959743"
"730","1157295.386419948","1157295.386419948","1157295.386419948"
"732","1155101.260995145","1155101.260995145","1155101.260995145"
"734","1159356.8557660743","1159356.8557660743","1159356.8557660743"
"735","1151933.0280616789","1151933.0280616789","1151933.0280616789"
"736","1154734.0913135228","1154734.0913135228","1154734.0913135228"
"739","1159294.9211322274","1159294.9211322274","1159294.9211322274"
"741","1157286.4536388617","1157286.4536388617","1157286.4536388617"
"743","1159064.3542999304","1159064.3542999304","1159064.3542999304"
"746","1152713.9892351595","1152713.9892351595","1152713.9892351595"
"752","1154916.0294865484","1154916.0294865484","1154916.0294865484"
"755","1153104.060843818","1153104.060843818","1153104.060843818"
"756","1157018.5343141726","1157018.5343141726","1157018.5343141726"
"757","1145995.497130612","1145995.497130612","1145995.497130612"
"761","1157187.390221142","1157187.390221142","1157187.390221142"
"762","439284.304209254","439284.304209254","439284.304209254"
"763","1143168.4695144435","1143168.4695144435","1143168.4695144435"
"764","1144713.3035649713","1144713.3035649713","1144713.3035649713"
"765","1146839.395968842","1146839.395968842","1146839.395968842"
"766","1144042.3314867918","1144042.3314867918","1144042.3314867918"
"768","1149183.9550490398","1149183.9550490398","1149183.9550490398"
"769","1145374.7224107722","1145374.7224107722","1145374.7224107722"
"771","1141102.5328949552","1141102.5328949552","1141102.5328949552"
"773","1150247.511860832","1150247.511860832","1150247.511860832"
"782","1151477.0179444896","1151477.0179444896","1151477.0179444896"
"783","1149467.484659293","1149467.484659293","1149467.484659293"
"785","1151973.2579240324","1151973.2579240324","1151973.2579240324"
"788","1148746.9208015546","1148746.9208015546","1148746.9208015546"
"789","1152884.8145610415","1152884.8145610415","1152884.8145610415"
"790","1151738.3552323668","1151738.3552323668","1151738.3552323668"
"792","1150640.732260925","1150640.732260925","1150640.732260925"
"793","1153225.004397487","1153225.004397487","1153225.004397487"
"799","1154420.4836608444","1154420.4836608444","1154420.4836608444"
"801","1154018.216161752","1154018.216161752","1154018.216161752"
"806","1150593.3710783964","1150593.3710783964","1150593.3710783964"
"809","1155655.692635624","1155655.692635624","1155655.692635624"
"812","1149706.2706090992","1149706.2706090992","1149706.2706090992"
"815","1155639.4973075653","1155639.4973075653","1155639.4973075653"
"816","1146165.9298971538","1146165.9298971538","1146165.9298971538"
"817","1153784.0931384414","1153784.0931384414","1153784.0931384414"
"818","1153933.4365086195","1153933.4365086195","1153933.4365086195"
"819","1153943.9323614442","1153943.9323614442","1153943.9323614442"
"820","1148441.3544981799","1148441.3544981799","1148441.3544981799"
"821","1155625.7316356073","1155625.7316356073","1155625.7316356073"
"822","1152416.7771829132","1152416.7771829132","1152416.7771829132"
"826","1155773.1223407162","1155773.1223407162","1155773.1223407162"
"828","1149789.628657955","1149789.628657955","1149789.628657955"
"829","1154094.9322973122","1154094.9322973122","1154094.9322973122"
"830","1152351.556026017","1152351.556026017","1152351.556026017"
"835","1151683.665617587","1151683.665617587","1151683.665617587"
"836","1150643.9433296844","1150643.9433296844","1150643.9433296844"
"837","1152987.9788958416","1152987.9788958416","1152987.9788958416"
"839","1155120.6773442556","1155120.6773442556","1155120.6773442556"
"840","1142365.568121463","1142365.568121463","1142365.568121463"
"841","1154308.9838576925","1154308.9838576925","1154308.9838576925"
"843","1153828.4884807263","1153828.4884807263","1153828.4884807263"
"844","1146254.3519076584","1146254.3519076584","1146254.3519076584"
"846","1153454.060362933","1153454.060362933","1153454.060362933"
"848","1146414.5021649054","1146414.5021649054","1146414.5021649054"
"849","1148675.7141243308","1148675.7141243308","1148675.7141243308"
"850","1153610.5804846897","1153610.5804846897","1153610.5804846897"
"851","1157692.6285146314","1157692.6285146314","1157692.6285146314"
"853","1155109.3510612815","1155109.3510612815","1155109.3510612815"
"855","1156399.5470958324","1156399.5470958324","1156399.5470958324"
"856","1155127.9586434595","1155127.9586434595","1155127.9586434595"
"859","1157057.4966879427","1157057.4966879427","1157057.4966879427"
"860","1151309.8243116646","1151309.8243116646","1151309.8243116646"
"862","1150718.605731031","1150718.605731031","1150718.605731031"
"863","1155322.1604901862","1155322.1604901862","1155322.1604901862"
"864","1153375.0096430012","1153375.0096430012","1153375.0096430012"
"865","1150830.2159874567","1150830.2159874567","1150830.2159874567"
"866","1155062.430255067","1155062.430255067","1155062.430255067"
"869","1147286.1528975235","1147286.1528975235","1147286.1528975235"
"870","1154153.8895215061","1154153.8895215061","1154153.8895215061"
"871","1152535.9657747434","1152535.9657747434","1152535.9657747434"
"872","1155603.0594790329","1155603.0594790329","1155603.0594790329"
"873","1146130.0870222684","1146130.0870222684","1146130.0870222684"
"875","1153133.8912300523","1153133.8912300523","1153133.8912300523"
"877","1152674.5132253019","1152674.5132253019","1152674.5132253019"
"880","1155385.2901508342","1155385.2901508342","1155385.2901508342"
"881","1153110.5105262827","1153110.5105262827","1153110.5105262827"
"882","1156144.19502511","1156144.19502511","1156144.19502511"
"883","1156145.0054881694","1156145.0054881694","1156145.0054881694"
"884","1155955.38810323","1155955.38810323","1155955.38810323"
"885","1155562.5756977443","1155562.5756977443","1155562.5756977443"
"887","1157534.9988166844","1157534.9988166844","1157534.9988166844"
"889","1156256.860289473","1156256.860289473","1156256.860289473"
"891","1156115.0191117092","1156115.0191117092","1156115.0191117092"
"893","1146704.639447335","1146704.639447335","1146704.639447335"
"896","1155683.2257351133","1155683.2257351133","1155683.2257351133"
"898","1149712.6823375884","1149712.6823375884","1149712.6823375884"
"899","1157905.5780122075","1157905.5780122075","1157905.5780122075"
"900","1156995.8074745664","1156995.8074745664","1156995.8074745664"
"910","1153728.401994808","1153728.401994808","1153728.401994808"
"912","1157625.9962911438","1157625.9962911438","1157625.9962911438"
"913","1160054.892621939","1160054.892621939","1160054.892621939"
"915","1149793.6365609944","1149793.6365609944","1149793.6365609944"
"916","1160166.6891749871","1160166.6891749871","1160166.6891749871"
