"Step","prime-snowball-26 - global gradient norm","prime-snowball-26 - global gradient norm__MIN","prime-snowball-26 - global gradient norm__MAX"
"1","15.391361236572266","15.391361236572266","15.391361236572266"
"2","14.759193420410156","14.759193420410156","14.759193420410156"
"3","14.447400093078613","14.447400093078613","14.447400093078613"
"4","12.815631866455078","12.815631866455078","12.815631866455078"
"5","10.687582015991211","10.687582015991211","10.687582015991211"
"8","6.530925750732422","6.530925750732422","6.530925750732422"
"10","4.549591064453125","4.549591064453125","4.549591064453125"
"15","2.540207862854004","2.540207862854004","2.540207862854004"
"19","2.245940923690796","2.245940923690796","2.245940923690796"
"21","2.3800535202026367","2.3800535202026367","2.3800535202026367"
"23","2.2660751342773438","2.2660751342773438","2.2660751342773438"
"24","2.240844249725342","2.240844249725342","2.240844249725342"
"25","2.2103259563446045","2.2103259563446045","2.2103259563446045"
"27","2.087841272354126","2.087841272354126","2.087841272354126"
"31","2.0154290199279785","2.0154290199279785","2.0154290199279785"
"41","1.8648680448532104","1.8648680448532104","1.8648680448532104"
"43","2.0020692348480225","2.0020692348480225","2.0020692348480225"
"45","1.8986788988113403","1.8986788988113403","1.8986788988113403"
"48","1.7875295877456665","1.7875295877456665","1.7875295877456665"
"49","1.6199150085449219","1.6199150085449219","1.6199150085449219"
"51","1.707837462425232","1.707837462425232","1.707837462425232"
"53","1.5873535871505737","1.5873535871505737","1.5873535871505737"
"54","1.5488698482513428","1.5488698482513428","1.5488698482513428"
"57","1.6785683631896973","1.6785683631896973","1.6785683631896973"
"62","1.7984659671783447","1.7984659671783447","1.7984659671783447"
"63","1.5219786167144775","1.5219786167144775","1.5219786167144775"
"64","1.3885053396224976","1.3885053396224976","1.3885053396224976"
"68","1.3358193635940552","1.3358193635940552","1.3358193635940552"
"71","1.3570640087127686","1.3570640087127686","1.3570640087127686"
"72","1.2575080394744873","1.2575080394744873","1.2575080394744873"
"73","1.152611255645752","1.152611255645752","1.152611255645752"
"74","1.2284754514694214","1.2284754514694214","1.2284754514694214"
"75","1.503712773323059","1.503712773323059","1.503712773323059"
"76","1.7789169549942017","1.7789169549942017","1.7789169549942017"
"77","1.324131965637207","1.324131965637207","1.324131965637207"
"80","1.1868577003479004","1.1868577003479004","1.1868577003479004"
"82","1.2546470165252686","1.2546470165252686","1.2546470165252686"
"84","1.0021328926086426","1.0021328926086426","1.0021328926086426"
"89","1.1239570379257202","1.1239570379257202","1.1239570379257202"
"91","0.8869217038154602","0.8869217038154602","0.8869217038154602"
"92","0.679669201374054","0.679669201374054","0.679669201374054"
"94","0.7007001042366028","0.7007001042366028","0.7007001042366028"
"96","1.0109318494796753","1.0109318494796753","1.0109318494796753"
"97","0.9923121333122253","0.9923121333122253","0.9923121333122253"
"99","0.8634898662567139","0.8634898662567139","0.8634898662567139"
"100","1.101543664932251","1.101543664932251","1.101543664932251"
"102","0.9907106161117554","0.9907106161117554","0.9907106161117554"
"104","1.0231579542160034","1.0231579542160034","1.0231579542160034"
"106","0.9089899659156799","0.9089899659156799","0.9089899659156799"
"108","0.8104991912841797","0.8104991912841797","0.8104991912841797"
"109","0.9117714166641235","0.9117714166641235","0.9117714166641235"
"112","0.9725500345230103","0.9725500345230103","0.9725500345230103"
"113","1.0650334358215332","1.0650334358215332","1.0650334358215332"
"114","1.0957775115966797","1.0957775115966797","1.0957775115966797"
"118","1.5068341493606567","1.5068341493606567","1.5068341493606567"
"122","1.205999732017517","1.205999732017517","1.205999732017517"
"123","0.8498863577842712","0.8498863577842712","0.8498863577842712"
"124","1.0414752960205078","1.0414752960205078","1.0414752960205078"
"125","0.8811419606208801","0.8811419606208801","0.8811419606208801"
"129","1.6644517183303833","1.6644517183303833","1.6644517183303833"
"130","0.9437255263328552","0.9437255263328552","0.9437255263328552"
"132","1.1377605199813843","1.1377605199813843","1.1377605199813843"
"136","0.7302197217941284","0.7302197217941284","0.7302197217941284"
"137","0.6981928944587708","0.6981928944587708","0.6981928944587708"
"138","0.7342822551727295","0.7342822551727295","0.7342822551727295"
"139","0.8519274592399597","0.8519274592399597","0.8519274592399597"
"140","1.0262404680252075","1.0262404680252075","1.0262404680252075"
"141","1.0430679321289062","1.0430679321289062","1.0430679321289062"
"142","1.1726133823394775","1.1726133823394775","1.1726133823394775"
"146","0.8045834302902222","0.8045834302902222","0.8045834302902222"
"148","1.45522141456604","1.45522141456604","1.45522141456604"
"151","0.6954213976860046","0.6954213976860046","0.6954213976860046"
"153","0.7327401041984558","0.7327401041984558","0.7327401041984558"
"155","0.903715968132019","0.903715968132019","0.903715968132019"
"157","1.493802547454834","1.493802547454834","1.493802547454834"
"163","1.1571485996246338","1.1571485996246338","1.1571485996246338"
"164","1.3689934015274048","1.3689934015274048","1.3689934015274048"
"172","0.7112849354743958","0.7112849354743958","0.7112849354743958"
"174","0.9277209639549255","0.9277209639549255","0.9277209639549255"
"181","0.6980378031730652","0.6980378031730652","0.6980378031730652"
"184","1.5163625478744507","1.5163625478744507","1.5163625478744507"
"185","0.7976125478744507","0.7976125478744507","0.7976125478744507"
"187","0.6866689324378967","0.6866689324378967","0.6866689324378967"
"188","0.8072421550750732","0.8072421550750732","0.8072421550750732"
"191","1.1006982326507568","1.1006982326507568","1.1006982326507568"
"192","0.9454950094223022","0.9454950094223022","0.9454950094223022"
"196","0.9986425638198853","0.9986425638198853","0.9986425638198853"
"197","0.7393077611923218","0.7393077611923218","0.7393077611923218"
"202","1.05323326587677","1.05323326587677","1.05323326587677"
"207","0.7406156063079834","0.7406156063079834","0.7406156063079834"
"211","0.8706018328666687","0.8706018328666687","0.8706018328666687"
"212","1.0961837768554688","1.0961837768554688","1.0961837768554688"
"213","1.2405039072036743","1.2405039072036743","1.2405039072036743"
"216","0.8328794836997986","0.8328794836997986","0.8328794836997986"
"217","0.8952954411506653","0.8952954411506653","0.8952954411506653"
"219","0.8420730829238892","0.8420730829238892","0.8420730829238892"
"222","0.8313984274864197","0.8313984274864197","0.8313984274864197"
"223","1.1510107517242432","1.1510107517242432","1.1510107517242432"
"224","1.220664143562317","1.220664143562317","1.220664143562317"
"225","1.2880486249923706","1.2880486249923706","1.2880486249923706"
"226","1.052343726158142","1.052343726158142","1.052343726158142"
"229","0.8657664656639099","0.8657664656639099","0.8657664656639099"
"230","0.7166545987129211","0.7166545987129211","0.7166545987129211"
"231","0.6906244158744812","0.6906244158744812","0.6906244158744812"
"232","0.6112878322601318","0.6112878322601318","0.6112878322601318"
"233","0.5944860577583313","0.5944860577583313","0.5944860577583313"
