"Step","sleek-thunder-73 - global gradient norm","sleek-thunder-73 - global gradient norm__MIN","sleek-thunder-73 - global gradient norm__MAX"
"1","14.95006275177002","14.95006275177002","14.95006275177002"
"2","13.1852445602417","13.1852445602417","13.1852445602417"
"5","9.887373924255371","9.887373924255371","9.887373924255371"
"8","7.184410572052002","7.184410572052002","7.184410572052002"
"10","5.444180488586426","5.444180488586426","5.444180488586426"
"11","4.920426845550537","4.920426845550537","4.920426845550537"
"13","4.002470016479492","4.002470016479492","4.002470016479492"
"14","3.709050178527832","3.709050178527832","3.709050178527832"
"18","3.0090606212615967","3.0090606212615967","3.0090606212615967"
"19","2.8383755683898926","2.8383755683898926","2.8383755683898926"
"22","2.7351644039154053","2.7351644039154053","2.7351644039154053"
"24","2.5634796619415283","2.5634796619415283","2.5634796619415283"
"25","2.4351065158843994","2.4351065158843994","2.4351065158843994"
"27","2.373880624771118","2.373880624771118","2.373880624771118"
"28","2.280818462371826","2.280818462371826","2.280818462371826"
"29","2.5631461143493652","2.5631461143493652","2.5631461143493652"
"31","2.417335033416748","2.417335033416748","2.417335033416748"
"32","2.202768564224243","2.202768564224243","2.202768564224243"
"33","2.128403663635254","2.128403663635254","2.128403663635254"
"36","2.1663804054260254","2.1663804054260254","2.1663804054260254"
"38","2.1703665256500244","2.1703665256500244","2.1703665256500244"
"39","2.255939483642578","2.255939483642578","2.255939483642578"
"40","2.033755302429199","2.033755302429199","2.033755302429199"
"41","2.9298312664031982","2.9298312664031982","2.9298312664031982"
"43","2.2367444038391113","2.2367444038391113","2.2367444038391113"
"44","1.9227126836776733","1.9227126836776733","1.9227126836776733"
"47","2.0736517906188965","2.0736517906188965","2.0736517906188965"
"51","1.9898182153701782","1.9898182153701782","1.9898182153701782"
"52","1.847398042678833","1.847398042678833","1.847398042678833"
"60","1.6932605504989624","1.6932605504989624","1.6932605504989624"
"61","1.6411552429199219","1.6411552429199219","1.6411552429199219"
"62","1.589857816696167","1.589857816696167","1.589857816696167"
"63","1.456332802772522","1.456332802772522","1.456332802772522"
"66","1.4685066938400269","1.4685066938400269","1.4685066938400269"
"67","2.2417118549346924","2.2417118549346924","2.2417118549346924"
"69","1.4734506607055664","1.4734506607055664","1.4734506607055664"
"72","1.3812658786773682","1.3812658786773682","1.3812658786773682"
"73","1.3951562643051147","1.3951562643051147","1.3951562643051147"
"74","1.2623662948608398","1.2623662948608398","1.2623662948608398"
"75","1.2534490823745728","1.2534490823745728","1.2534490823745728"
"83","1.3216081857681274","1.3216081857681274","1.3216081857681274"
"84","1.1456209421157837","1.1456209421157837","1.1456209421157837"
"86","1.3947678804397583","1.3947678804397583","1.3947678804397583"
"87","1.7496261596679688","1.7496261596679688","1.7496261596679688"
"90","4.5399394035339355","4.5399394035339355","4.5399394035339355"
"91","1.604085087776184","1.604085087776184","1.604085087776184"
"92","1.9748775959014893","1.9748775959014893","1.9748775959014893"
"93","2.244999647140503","2.244999647140503","2.244999647140503"
"94","1.162070631980896","1.162070631980896","1.162070631980896"
"95","1.5805963277816772","1.5805963277816772","1.5805963277816772"
"96","2.0246381759643555","2.0246381759643555","2.0246381759643555"
"97","1.6029002666473389","1.6029002666473389","1.6029002666473389"
"98","2.235105037689209","2.235105037689209","2.235105037689209"
"99","1.3117997646331787","1.3117997646331787","1.3117997646331787"
"100","2.4590201377868652","2.4590201377868652","2.4590201377868652"
"104","1.7846019268035889","1.7846019268035889","1.7846019268035889"
"105","1.7198692560195923","1.7198692560195923","1.7198692560195923"
"106","1.7312289476394653","1.7312289476394653","1.7312289476394653"
"108","2.4316558837890625","2.4316558837890625","2.4316558837890625"
"111","3.949512004852295","3.949512004852295","3.949512004852295"
"113","2.623063564300537","2.623063564300537","2.623063564300537"
"114","2.6156458854675293","2.6156458854675293","2.6156458854675293"
"118","1.8551841974258423","1.8551841974258423","1.8551841974258423"
"119","1.4085932970046997","1.4085932970046997","1.4085932970046997"
"121","2.121067523956299","2.121067523956299","2.121067523956299"
"124","2.3639681339263916","2.3639681339263916","2.3639681339263916"
"125","1.4818233251571655","1.4818233251571655","1.4818233251571655"
"126","1.9696160554885864","1.9696160554885864","1.9696160554885864"
"127","1.0521048307418823","1.0521048307418823","1.0521048307418823"
"129","1.504847764968872","1.504847764968872","1.504847764968872"
"130","2.451347827911377","2.451347827911377","2.451347827911377"
"131","2.1785457134246826","2.1785457134246826","2.1785457134246826"
"133","2.069209575653076","2.069209575653076","2.069209575653076"
"134","1.1969480514526367","1.1969480514526367","1.1969480514526367"
"138","1.6988439559936523","1.6988439559936523","1.6988439559936523"
"140","1.9522792100906372","1.9522792100906372","1.9522792100906372"
"145","0.8363649249076843","0.8363649249076843","0.8363649249076843"
"146","2.2400152683258057","2.2400152683258057","2.2400152683258057"
"151","1.667464256286621","1.667464256286621","1.667464256286621"
"154","1.029279351234436","1.029279351234436","1.029279351234436"
"155","1.7833971977233887","1.7833971977233887","1.7833971977233887"
"156","1.0705888271331787","1.0705888271331787","1.0705888271331787"
"158","1.1418417692184448","1.1418417692184448","1.1418417692184448"
"159","1.6411373615264893","1.6411373615264893","1.6411373615264893"
"163","1.5339007377624512","1.5339007377624512","1.5339007377624512"
"165","2.594525098800659","2.594525098800659","2.594525098800659"
"167","1.3312913179397583","1.3312913179397583","1.3312913179397583"
"168","1.1181386709213257","1.1181386709213257","1.1181386709213257"
"169","1.6330366134643555","1.6330366134643555","1.6330366134643555"
"170","1.9217811822891235","1.9217811822891235","1.9217811822891235"
"173","1.3042166233062744","1.3042166233062744","1.3042166233062744"
"174","1.7060426473617554","1.7060426473617554","1.7060426473617554"
"176","1.4151747226715088","1.4151747226715088","1.4151747226715088"
"177","1.401686191558838","1.401686191558838","1.401686191558838"
"178","1.1122032403945923","1.1122032403945923","1.1122032403945923"
"179","1.6935431957244873","1.6935431957244873","1.6935431957244873"
"180","1.1780235767364502","1.1780235767364502","1.1780235767364502"
"181","1.2461084127426147","1.2461084127426147","1.2461084127426147"
"184","1.2574080228805542","1.2574080228805542","1.2574080228805542"
"185","1.2293434143066406","1.2293434143066406","1.2293434143066406"
"186","1.1669028997421265","1.1669028997421265","1.1669028997421265"
"187","1.0769435167312622","1.0769435167312622","1.0769435167312622"
"188","0.7707794308662415","0.7707794308662415","0.7707794308662415"
"189","0.9296797513961792","0.9296797513961792","0.9296797513961792"
"191","1.0893288850784302","1.0893288850784302","1.0893288850784302"
"194","1.8642946481704712","1.8642946481704712","1.8642946481704712"
"195","1.3412790298461914","1.3412790298461914","1.3412790298461914"
"196","1.3715146780014038","1.3715146780014038","1.3715146780014038"
"198","1.1358047723770142","1.1358047723770142","1.1358047723770142"
"207","1.0768656730651855","1.0768656730651855","1.0768656730651855"
"208","0.8726109266281128","0.8726109266281128","0.8726109266281128"
"209","0.8706129789352417","0.8706129789352417","0.8706129789352417"
"210","0.6672694087028503","0.6672694087028503","0.6672694087028503"
"211","0.822446882724762","0.822446882724762","0.822446882724762"
"212","0.7894724011421204","0.7894724011421204","0.7894724011421204"
"214","1.5569032430648804","1.5569032430648804","1.5569032430648804"
"217","0.7051170468330383","0.7051170468330383","0.7051170468330383"
"218","1.0357575416564941","1.0357575416564941","1.0357575416564941"
"219","1.2153089046478271","1.2153089046478271","1.2153089046478271"
"221","0.9333769083023071","0.9333769083023071","0.9333769083023071"
"222","0.9453697800636292","0.9453697800636292","0.9453697800636292"
"223","0.9115266799926758","0.9115266799926758","0.9115266799926758"
"225","0.9572680592536926","0.9572680592536926","0.9572680592536926"
"227","0.9857565760612488","0.9857565760612488","0.9857565760612488"
"228","0.9254338145256042","0.9254338145256042","0.9254338145256042"
"229","0.9579628705978394","0.9579628705978394","0.9579628705978394"
"232","0.6097397804260254","0.6097397804260254","0.6097397804260254"
"233","0.8153344988822937","0.8153344988822937","0.8153344988822937"
"234","0.979253351688385","0.979253351688385","0.979253351688385"
"235","1.459180235862732","1.459180235862732","1.459180235862732"
"236","0.9192272424697876","0.9192272424697876","0.9192272424697876"
"238","0.9446696043014526","0.9446696043014526","0.9446696043014526"
"244","1.2960917949676514","1.2960917949676514","1.2960917949676514"
"245","1.0086787939071655","1.0086787939071655","1.0086787939071655"
"246","1.0820857286453247","1.0820857286453247","1.0820857286453247"
"247","1.2983735799789429","1.2983735799789429","1.2983735799789429"
"248","1.068268895149231","1.068268895149231","1.068268895149231"
