"Step","sleek-thunder-73 - loss/train","sleek-thunder-73 - loss/train__MIN","sleek-thunder-73 - loss/train__MAX"
"1","10.952949523925781","10.952949523925781","10.952949523925781"
"2","10.921143531799316","10.921143531799316","10.921143531799316"
"3","10.85472297668457","10.85472297668457","10.85472297668457"
"4","10.762229919433594","10.762229919433594","10.762229919433594"
"5","10.648427963256836","10.648427963256836","10.648427963256836"
"6","10.53934383392334","10.53934383392334","10.53934383392334"
"7","10.43768310546875","10.43768310546875","10.43768310546875"
"8","10.350593566894531","10.350593566894531","10.350593566894531"
"9","10.267427444458008","10.267427444458008","10.267427444458008"
"10","10.19072437286377","10.19072437286377","10.19072437286377"
"11","10.134757995605469","10.134757995605469","10.134757995605469"
"12","10.070043563842773","10.070043563842773","10.070043563842773"
"13","10.028154373168945","10.028154373168945","10.028154373168945"
"14","9.970476150512695","9.970476150512695","9.970476150512695"
"15","9.938398361206055","9.938398361206055","9.938398361206055"
"16","9.90572738647461","9.90572738647461","9.90572738647461"
"17","9.8388671875","9.8388671875","9.8388671875"
"18","9.800167083740234","9.800167083740234","9.800167083740234"
"19","9.790914535522461","9.790914535522461","9.790914535522461"
"20","9.731253623962402","9.731253623962402","9.731253623962402"
"21","9.713496208190918","9.713496208190918","9.713496208190918"
"22","9.759117126464844","9.759117126464844","9.759117126464844"
"23","9.723541259765625","9.723541259765625","9.723541259765625"
"24","9.620939254760742","9.620939254760742","9.620939254760742"
"25","9.571344375610352","9.571344375610352","9.571344375610352"
"26","9.527219772338867","9.527219772338867","9.527219772338867"
"27","9.51067066192627","9.51067066192627","9.51067066192627"
"28","9.455211639404297","9.455211639404297","9.455211639404297"
"29","9.384352684020996","9.384352684020996","9.384352684020996"
"30","9.34374713897705","9.34374713897705","9.34374713897705"
"31","9.305334091186523","9.305334091186523","9.305334091186523"
"32","9.242734909057617","9.242734909057617","9.242734909057617"
"33","9.200774192810059","9.200774192810059","9.200774192810059"
"34","9.157752990722656","9.157752990722656","9.157752990722656"
"35","9.164977073669434","9.164977073669434","9.164977073669434"
"36","9.133085250854492","9.133085250854492","9.133085250854492"
"37","9.088356018066406","9.088356018066406","9.088356018066406"
"38","9.04665756225586","9.04665756225586","9.04665756225586"
