"Step","sleek-thunder-73 - tok per sec","sleek-thunder-73 - tok per sec__MIN","sleek-thunder-73 - tok per sec__MAX"
"399","963006.7908911644","963006.7908911644","963006.7908911644"
"400","959870.2520107613","959870.2520107613","959870.2520107613"
"401","960836.5580720403","960836.5580720403","960836.5580720403"
"404","960726.2165115591","960726.2165115591","960726.2165115591"
"405","961373.2752462584","961373.2752462584","961373.2752462584"
"407","961179.2581835184","961179.2581835184","961179.2581835184"
"409","959260.6018496776","959260.6018496776","959260.6018496776"
"412","961975.9957164305","961975.9957164305","961975.9957164305"
"417","963645.3435045995","963645.3435045995","963645.3435045995"
"419","962815.4864517975","962815.4864517975","962815.4864517975"
"420","960059.4296799612","960059.4296799612","960059.4296799612"
"421","963051.6162719404","963051.6162719404","963051.6162719404"
"422","963583.5733470081","963583.5733470081","963583.5733470081"
"423","963547.8660869792","963547.8660869792","963547.8660869792"
"426","961950.5065896631","961950.5065896631","961950.5065896631"
"429","961435.2427380646","961435.2427380646","961435.2427380646"
"430","960209.8671617063","960209.8671617063","960209.8671617063"
"431","960086.2558406657","960086.2558406657","960086.2558406657"
"432","962031.3069578009","962031.3069578009","962031.3069578009"
"433","960649.9517254946","960649.9517254946","960649.9517254946"
"435","389276.31808998727","389276.31808998727","389276.31808998727"
"436","962664.2314742409","962664.2314742409","962664.2314742409"
"442","962883.9039931142","962883.9039931142","962883.9039931142"
"443","963757.3221030361","963757.3221030361","963757.3221030361"
"444","961927.4232630873","961927.4232630873","961927.4232630873"
"445","960345.9722459018","960345.9722459018","960345.9722459018"
"446","960856.2303164194","960856.2303164194","960856.2303164194"
"448","961319.0002078371","961319.0002078371","961319.0002078371"
"450","959795.0805777889","959795.0805777889","959795.0805777889"
"451","961461.1849903461","961461.1849903461","961461.1849903461"
"454","960707.508933805","960707.508933805","960707.508933805"
"457","962454.7688472323","962454.7688472323","962454.7688472323"
"458","960551.1612645569","960551.1612645569","960551.1612645569"
"459","958852.3686239764","958852.3686239764","958852.3686239764"
"463","958840.901047021","958840.901047021","958840.901047021"
"465","959877.9134548854","959877.9134548854","959877.9134548854"
"469","961650.5097302285","961650.5097302285","961650.5097302285"
"470","961580.8257116484","961580.8257116484","961580.8257116484"
"473","961441.9683727475","961441.9683727475","961441.9683727475"
"476","961953.3920833817","961953.3920833817","961953.3920833817"
"477","960513.280992309","960513.280992309","960513.280992309"
"478","960675.3719754617","960675.3719754617","960675.3719754617"
"480","959537.0975237933","959537.0975237933","959537.0975237933"
"484","961783.1775675522","961783.1775675522","961783.1775675522"
"485","962357.0508125151","962357.0508125151","962357.0508125151"
"489","960743.0059837186","960743.0059837186","960743.0059837186"
"490","961819.715718766","961819.715718766","961819.715718766"
"491","960112.1253440474","960112.1253440474","960112.1253440474"
"492","955168.2406762716","955168.2406762716","955168.2406762716"
"493","958201.5400820684","958201.5400820684","958201.5400820684"
"495","960080.986297925","960080.986297925","960080.986297925"
"496","960083.8605867944","960083.8605867944","960083.8605867944"
"503","944256.443723819","944256.443723819","944256.443723819"
"504","939011.4910942172","939011.4910942172","939011.4910942172"
"507","949633.4260560912","949633.4260560912","949633.4260560912"
"509","953130.8769815972","953130.8769815972","953130.8769815972"
"510","950676.4404738201","950676.4404738201","950676.4404738201"
"511","949820.9340753619","949820.9340753619","949820.9340753619"
"512","951334.0159321578","951334.0159321578","951334.0159321578"
"513","950039.4743222346","950039.4743222346","950039.4743222346"
"514","950101.3967055106","950101.3967055106","950101.3967055106"
"516","953575.364233317","953575.364233317","953575.364233317"
"518","954865.8244936343","954865.8244936343","954865.8244936343"
"519","953911.9575075231","953911.9575075231","953911.9575075231"
"520","951545.7239598323","951545.7239598323","951545.7239598323"
"526","946366.7713664032","946366.7713664032","946366.7713664032"
"527","953188.9532596203","953188.9532596203","953188.9532596203"
"530","954975.7718554562","954975.7718554562","954975.7718554562"
"534","953972.0208886242","953972.0208886242","953972.0208886242"
"535","951402.222675582","951402.222675582","951402.222675582"
"536","944933.9350569054","944933.9350569054","944933.9350569054"
"537","943456.3927620199","943456.3927620199","943456.3927620199"
"544","950480.1432370098","950480.1432370098","950480.1432370098"
"545","949208.0575006931","949208.0575006931","949208.0575006931"
"546","947257.5659721949","947257.5659721949","947257.5659721949"
"550","953889.2583565591","953889.2583565591","953889.2583565591"
"551","953706.7586174081","953706.7586174081","953706.7586174081"
"553","951537.2538295987","951537.2538295987","951537.2538295987"
"554","944828.1434439331","944828.1434439331","944828.1434439331"
"558","949949.888798103","949949.888798103","949949.888798103"
"559","951427.1558571147","951427.1558571147","951427.1558571147"
"560","948478.604702107","948478.604702107","948478.604702107"
"562","949990.2236445765","949990.2236445765","949990.2236445765"
"565","947123.280445449","947123.280445449","947123.280445449"
"567","949583.748839266","949583.748839266","949583.748839266"
"569","948964.1579087278","948964.1579087278","948964.1579087278"
"570","942846.6175031838","942846.6175031838","942846.6175031838"
"572","946455.6823179133","946455.6823179133","946455.6823179133"
"573","530134.914821965","530134.914821965","530134.914821965"
"577","948481.8774815666","948481.8774815666","948481.8774815666"
"578","948028.5789356473","948028.5789356473","948028.5789356473"
"579","941258.6223871529","941258.6223871529","941258.6223871529"
"580","947049.159955053","947049.159955053","947049.159955053"
"581","947245.4414096153","947245.4414096153","947245.4414096153"
"583","944141.0749382356","944141.0749382356","944141.0749382356"
"587","949827.0293283839","949827.0293283839","949827.0293283839"
"589","950758.1766230968","950758.1766230968","950758.1766230968"
"590","953671.3069256386","953671.3069256386","953671.3069256386"
"591","950849.324304571","950849.324304571","950849.324304571"
"592","952900.5302500778","952900.5302500778","952900.5302500778"
"593","953069.9753171542","953069.9753171542","953069.9753171542"
"595","953004.8333150077","953004.8333150077","953004.8333150077"
"596","948623.5637292288","948623.5637292288","948623.5637292288"
"598","949550.94597937","949550.94597937","949550.94597937"
"608","941795.8105038521","941795.8105038521","941795.8105038521"
"609","946491.5307252017","946491.5307252017","946491.5307252017"
"611","950468.4055407529","950468.4055407529","950468.4055407529"
"612","952511.3652199224","952511.3652199224","952511.3652199224"
"613","953787.5983310969","953787.5983310969","953787.5983310969"
"614","940688.4735783795","940688.4735783795","940688.4735783795"
"616","954010.8059879984","954010.8059879984","954010.8059879984"
"618","950984.668560914","950984.668560914","950984.668560914"
"620","951645.0239540238","951645.0239540238","951645.0239540238"
"621","953332.5217446451","953332.5217446451","953332.5217446451"
"622","949164.0433149171","949164.0433149171","949164.0433149171"
"623","951358.0047752191","951358.0047752191","951358.0047752191"
"625","950579.6905553406","950579.6905553406","950579.6905553406"
"628","944643.0651096617","944643.0651096617","944643.0651096617"
"629","950488.1250360605","950488.1250360605","950488.1250360605"
"631","943919.219867508","943919.219867508","943919.219867508"
"632","950903.8333296268","950903.8333296268","950903.8333296268"
"633","949127.5240041079","949127.5240041079","949127.5240041079"
"635","942799.4956148926","942799.4956148926","942799.4956148926"
"637","942224.2493787127","942224.2493787127","942224.2493787127"
"639","943983.588783928","943983.588783928","943983.588783928"
"642","947292.0760415241","947292.0760415241","947292.0760415241"
"645","945939.2081395754","945939.2081395754","945939.2081395754"
"646","943017.58938411","943017.58938411","943017.58938411"
"648","945333.186897021","945333.186897021","945333.186897021"
"649","940553.7451682946","940553.7451682946","940553.7451682946"
"650","943517.9225971655","943517.9225971655","943517.9225971655"
"651","937542.8043704515","937542.8043704515","937542.8043704515"
"652","943770.602887504","943770.602887504","943770.602887504"
"653","945934.5577809777","945934.5577809777","945934.5577809777"
"654","382217.30245049525","382217.30245049525","382217.30245049525"
"656","933869.3529113993","933869.3529113993","933869.3529113993"
"657","952622.6575411914","952622.6575411914","952622.6575411914"
"660","949670.9217370361","949670.9217370361","949670.9217370361"
"661","948804.5909047874","948804.5909047874","948804.5909047874"
"664","946601.4206843352","946601.4206843352","946601.4206843352"
"665","949822.3406652696","949822.3406652696","949822.3406652696"
"666","951368.3532771027","951368.3532771027","951368.3532771027"
"668","942424.0747691382","942424.0747691382","942424.0747691382"
"670","944053.061492757","944053.061492757","944053.061492757"
"671","940759.3019389227","940759.3019389227","940759.3019389227"
"674","942617.9817780822","942617.9817780822","942617.9817780822"
"676","945749.9754772383","945749.9754772383","945749.9754772383"
"677","935292.4457060973","935292.4457060973","935292.4457060973"
"678","945326.2203111873","945326.2203111873","945326.2203111873"
"680","948436.995618","948436.995618","948436.995618"
"681","949725.2957341602","949725.2957341602","949725.2957341602"
"682","951760.350901977","951760.350901977","951760.350901977"
"684","950275.479365418","950275.479365418","950275.479365418"
"685","947579.4466672248","947579.4466672248","947579.4466672248"
"687","950914.171953215","950914.171953215","950914.171953215"
"689","950023.525924697","950023.525924697","950023.525924697"
"691","947405.8838166347","947405.8838166347","947405.8838166347"
"692","951388.5805444855","951388.5805444855","951388.5805444855"
"693","947536.5166027965","947536.5166027965","947536.5166027965"
"694","947718.5294568466","947718.5294568466","947718.5294568466"
"695","949908.6194772837","949908.6194772837","949908.6194772837"
"698","950488.5945578265","950488.5945578265","950488.5945578265"
"699","948130.8837242763","948130.8837242763","948130.8837242763"
"700","950351.0445208795","950351.0445208795","950351.0445208795"
"702","949041.3870188443","949041.3870188443","949041.3870188443"
"703","949268.4665923688","949268.4665923688","949268.4665923688"
"709","948343.972782021","948343.972782021","948343.972782021"
"711","949536.4197226122","949536.4197226122","949536.4197226122"
"712","949640.4562707318","949640.4562707318","949640.4562707318"
"713","947188.5533762457","947188.5533762457","947188.5533762457"
"717","722667.6849632253","722667.6849632253","722667.6849632253"
"718","715308.4324954498","715308.4324954498","715308.4324954498"
"719","710665.2486228207","710665.2486228207","710665.2486228207"
"721","930241.6650106651","930241.6650106651","930241.6650106651"
"722","881533.5640577718","881533.5640577718","881533.5640577718"
"724","928454.27351432","928454.27351432","928454.27351432"
"729","921960.9205343137","921960.9205343137","921960.9205343137"
"730","921435.5247897236","921435.5247897236","921435.5247897236"
"732","920313.0112615037","920313.0112615037","920313.0112615037"
"737","923972.2179122783","923972.2179122783","923972.2179122783"
"738","922866.0926566224","922866.0926566224","922866.0926566224"
"740","926415.4084408171","926415.4084408171","926415.4084408171"
"741","925501.0380355079","925501.0380355079","925501.0380355079"
"742","930385.151617631","930385.151617631","930385.151617631"
"743","930076.1931086753","930076.1931086753","930076.1931086753"
"745","927023.759986433","927023.759986433","927023.759986433"
"747","922744.8283474188","922744.8283474188","922744.8283474188"
"748","919259.9792885924","919259.9792885924","919259.9792885924"
"749","927631.5693954844","927631.5693954844","927631.5693954844"
"751","926792.0191162906","926792.0191162906","926792.0191162906"
"752","924519.6121769832","924519.6121769832","924519.6121769832"
"753","922761.201593705","922761.201593705","922761.201593705"
"756","924717.7750625723","924717.7750625723","924717.7750625723"
"758","912123.4272430307","912123.4272430307","912123.4272430307"
"760","913659.2415814608","913659.2415814608","913659.2415814608"
"761","917130.0899415492","917130.0899415492","917130.0899415492"
"762","916818.9493724505","916818.9493724505","916818.9493724505"
"765","922672.7044774059","922672.7044774059","922672.7044774059"
"767","920353.9500999207","920353.9500999207","920353.9500999207"
"769","924183.0188953293","924183.0188953293","924183.0188953293"
"772","917522.8128857394","917522.8128857394","917522.8128857394"
"773","921293.4618041624","921293.4618041624","921293.4618041624"
"774","920243.467605716","920243.467605716","920243.467605716"
"776","920908.5237467808","920908.5237467808","920908.5237467808"
"777","921728.6129166387","921728.6129166387","921728.6129166387"
"779","920692.6054962728","920692.6054962728","920692.6054962728"
"780","925121.9172463067","925121.9172463067","925121.9172463067"
"781","928952.722875326","928952.722875326","928952.722875326"
"782","931169.4869556591","931169.4869556591","931169.4869556591"
"783","932451.4878882539","932451.4878882539","932451.4878882539"
"786","926957.6640735652","926957.6640735652","926957.6640735652"
"787","928078.101523303","928078.101523303","928078.101523303"
"788","931750.2597265878","931750.2597265878","931750.2597265878"
"790","929441.8305181682","929441.8305181682","929441.8305181682"
"791","927842.2539501443","927842.2539501443","927842.2539501443"
"792","929474.6056712024","929474.6056712024","929474.6056712024"
"796","927991.2670310189","927991.2670310189","927991.2670310189"
"797","930242.564475347","930242.564475347","930242.564475347"
"799","927159.1073770559","927159.1073770559","927159.1073770559"
"800","926783.9839395266","926783.9839395266","926783.9839395266"
"805","921154.5295252247","921154.5295252247","921154.5295252247"
"806","922221.191084271","922221.191084271","922221.191084271"
"809","930364.458027728","930364.458027728","930364.458027728"
"811","926205.3713003923","926205.3713003923","926205.3713003923"
"812","928079.4444523226","928079.4444523226","928079.4444523226"
"813","930292.0377116931","930292.0377116931","930292.0377116931"
"815","931201.4827479402","931201.4827479402","931201.4827479402"
"816","923909.6618131462","923909.6618131462","923909.6618131462"
"820","930896.0351894695","930896.0351894695","930896.0351894695"
"821","930177.8074638713","930177.8074638713","930177.8074638713"
"824","927841.8065354862","927841.8065354862","927841.8065354862"
"825","927121.1346488722","927121.1346488722","927121.1346488722"
"826","923812.0734691996","923812.0734691996","923812.0734691996"
"827","924056.0829935619","924056.0829935619","924056.0829935619"
"829","924890.2369962757","924890.2369962757","924890.2369962757"
"830","930457.1364917163","930457.1364917163","930457.1364917163"
"832","924629.346598808","924629.346598808","924629.346598808"
"834","927298.9631845783","927298.9631845783","927298.9631845783"
"835","929643.4567794346","929643.4567794346","929643.4567794346"
"839","929822.2543239027","929822.2543239027","929822.2543239027"
"840","930987.0177803152","930987.0177803152","930987.0177803152"
"841","932840.7113526962","932840.7113526962","932840.7113526962"
"842","926586.2732125074","926586.2732125074","926586.2732125074"
"843","932073.8765860772","932073.8765860772","932073.8765860772"
"844","931836.8966015221","931836.8966015221","931836.8966015221"
"845","931618.9814203501","931618.9814203501","931618.9814203501"
"847","904402.1167276842","904402.1167276842","904402.1167276842"
"848","927407.5704325855","927407.5704325855","927407.5704325855"
"851","921894.6611804343","921894.6611804343","921894.6611804343"
"852","916390.6027565843","916390.6027565843","916390.6027565843"
"856","929241.637992101","929241.637992101","929241.637992101"
"857","929792.1504255265","929792.1504255265","929792.1504255265"
"858","933305.4019011994","933305.4019011994","933305.4019011994"
"859","929196.7636106901","929196.7636106901","929196.7636106901"
"861","929859.5499162513","929859.5499162513","929859.5499162513"
"862","928876.0380192491","928876.0380192491","928876.0380192491"
"863","930470.1849426092","930470.1849426092","930470.1849426092"
"864","928529.0964308861","928529.0964308861","928529.0964308861"
"865","925167.2885789417","925167.2885789417","925167.2885789417"
"866","927437.0730908844","927437.0730908844","927437.0730908844"
"868","923586.8118540421","923586.8118540421","923586.8118540421"
"869","927185.4667467211","927185.4667467211","927185.4667467211"
"870","926200.9129456163","926200.9129456163","926200.9129456163"
"872","928489.2192439465","928489.2192439465","928489.2192439465"
"873","927920.5581608885","927920.5581608885","927920.5581608885"
"874","926807.1970525519","926807.1970525519","926807.1970525519"
"875","924939.5871677692","924939.5871677692","924939.5871677692"
"876","913693.516308957","913693.516308957","913693.516308957"
"878","924176.804438019","924176.804438019","924176.804438019"
"879","922964.3666769797","922964.3666769797","922964.3666769797"
"880","926990.7108518131","926990.7108518131","926990.7108518131"
"881","930370.7559793806","930370.7559793806","930370.7559793806"
"883","926381.5106523419","926381.5106523419","926381.5106523419"
"885","928746.0166167334","928746.0166167334","928746.0166167334"
"887","925179.7442330893","925179.7442330893","925179.7442330893"
"890","922334.8017072451","922334.8017072451","922334.8017072451"
"891","926325.3171524291","926325.3171524291","926325.3171524291"
"894","927143.0244301079","927143.0244301079","927143.0244301079"
"895","926816.1254825799","926816.1254825799","926816.1254825799"
"899","929120.4871082199","929120.4871082199","929120.4871082199"
"900","926480.9809402012","926480.9809402012","926480.9809402012"
"902","925078.329373201","925078.329373201","925078.329373201"
"903","928018.1213238982","928018.1213238982","928018.1213238982"
"904","926849.1621694918","926849.1621694918","926849.1621694918"
"906","926481.4270434137","926481.4270434137","926481.4270434137"
"908","927548.8426077194","927548.8426077194","927548.8426077194"
"910","926487.2264242702","926487.2264242702","926487.2264242702"
"912","924291.7854287088","924291.7854287088","924291.7854287088"
"913","928526.8560486735","928526.8560486735","928526.8560486735"
