"Step","sleek-thunder-73 - tok per sec","sleek-thunder-73 - tok per sec__MIN","sleek-thunder-73 - tok per sec__MAX"
"1","13549.996446619893","13549.996446619893","13549.996446619893"
"5","961576.500829572","961576.500829572","961576.500829572"
"8","960246.7650802","960246.7650802","960246.7650802"
"9","959774.0155367894","959774.0155367894","959774.0155367894"
"10","960232.3889306145","960232.3889306145","960232.3889306145"
"11","961281.5395969118","961281.5395969118","961281.5395969118"
"12","962823.6767718821","962823.6767718821","962823.6767718821"
"13","961524.6052789909","961524.6052789909","961524.6052789909"
"14","961732.7017939158","961732.7017939158","961732.7017939158"
"15","961583.7089879796","961583.7089879796","961583.7089879796"
"16","963975.5620635133","963975.5620635133","963975.5620635133"
"17","963800.2863172236","963800.2863172236","963800.2863172236"
"18","964122.3985232605","964122.3985232605","964122.3985232605"
"19","962521.6906726988","962521.6906726988","962521.6906726988"
"23","962441.2893178087","962441.2893178087","962441.2893178087"
"25","963586.4686462432","963586.4686462432","963586.4686462432"
"28","957842.8403211419","957842.8403211419","957842.8403211419"
"31","963327.8905453807","963327.8905453807","963327.8905453807"
"34","961223.4334005906","961223.4334005906","961223.4334005906"
"36","962602.1054620041","962602.1054620041","962602.1054620041"
"37","960156.2025237626","960156.2025237626","960156.2025237626"
"38","962876.6763287345","962876.6763287345","962876.6763287345"
"42","959840.5650699299","959840.5650699299","959840.5650699299"
"43","959007.2077643812","959007.2077643812","959007.2077643812"
"44","960622.6144674614","960622.6144674614","960622.6144674614"
"45","958785.956046672","958785.956046672","958785.956046672"
"47","963856.2903693285","963856.2903693285","963856.2903693285"
"50","959933.4625826346","959933.4625826346","959933.4625826346"
"56","964402.6711575165","964402.6711575165","964402.6711575165"
"57","961474.1566414906","961474.1566414906","961474.1566414906"
"58","962183.8065336547","962183.8065336547","962183.8065336547"
"59","952320.4368702304","952320.4368702304","952320.4368702304"
"60","962070.2691283271","962070.2691283271","962070.2691283271"
"62","962238.1792708345","962238.1792708345","962238.1792708345"
"72","963036.1920141102","963036.1920141102","963036.1920141102"
"76","964344.1870365646","964344.1870365646","964344.1870365646"
"78","961294.5064010683","961294.5064010683","961294.5064010683"
"80","961919.7290670783","961919.7290670783","961919.7290670783"
"84","964466.9635409905","964466.9635409905","964466.9635409905"
"85","963327.4082532498","963327.4082532498","963327.4082532498"
"88","962002.4481252868","962002.4481252868","962002.4481252868"
"89","951579.1353885033","951579.1353885033","951579.1353885033"
"90","945228.698889784","945228.698889784","945228.698889784"
"91","960753.5596665778","960753.5596665778","960753.5596665778"
"92","962766.347457343","962766.347457343","962766.347457343"
"94","960689.7613924756","960689.7613924756","960689.7613924756"
"95","963400.7221995521","963400.7221995521","963400.7221995521"
"96","965666.4018183671","965666.4018183671","965666.4018183671"
"97","963380.945628163","963380.945628163","963380.945628163"
"102","962679.162176171","962679.162176171","962679.162176171"
"104","961529.4101872442","961529.4101872442","961529.4101872442"
"110","961410.7430074394","961410.7430074394","961410.7430074394"
"111","961664.4477459318","961664.4477459318","961664.4477459318"
"113","961465.9892647739","961465.9892647739","961465.9892647739"
"116","960333.5103168163","960333.5103168163","960333.5103168163"
"117","963709.534949111","963709.534949111","963709.534949111"
"118","959695.5085293727","959695.5085293727","959695.5085293727"
"119","960597.6765716242","960597.6765716242","960597.6765716242"
"121","962244.9161439898","962244.9161439898","962244.9161439898"
"122","963385.2867572067","963385.2867572067","963385.2867572067"
"123","961822.6004278888","961822.6004278888","961822.6004278888"
"127","963925.3388051835","963925.3388051835","963925.3388051835"
"133","963830.7015035425","963830.7015035425","963830.7015035425"
"134","962426.3659935027","962426.3659935027","962426.3659935027"
"136","963275.805785426","963275.805785426","963275.805785426"
"137","963119.1032096372","963119.1032096372","963119.1032096372"
"138","961620.7125690925","961620.7125690925","961620.7125690925"
"142","962245.8785621412","962245.8785621412","962245.8785621412"
"144","961058.7573150326","961058.7573150326","961058.7573150326"
"146","961500.1009938582","961500.1009938582","961500.1009938582"
"148","962041.8889635531","962041.8889635531","962041.8889635531"
"149","960741.0871572001","960741.0871572001","960741.0871572001"
"151","959475.3744653224","959475.3744653224","959475.3744653224"
"152","960746.363948569","960746.363948569","960746.363948569"
"153","961282.9803356542","961282.9803356542","961282.9803356542"
"154","961946.6592916328","961946.6592916328","961946.6592916328"
"156","963000.5253101363","963000.5253101363","963000.5253101363"
"157","963216.0117098996","963216.0117098996","963216.0117098996"
"158","960738.6886348305","960738.6886348305","960738.6886348305"
"163","959509.3450885959","959509.3450885959","959509.3450885959"
"166","961162.4534605729","961162.4534605729","961162.4534605729"
"167","959794.1230558654","959794.1230558654","959794.1230558654"
"169","962070.7501624997","962070.7501624997","962070.7501624997"
"171","960738.6886348305","960738.6886348305","960738.6886348305"
"172","961361.7472918776","961361.7472918776","961361.7472918776"
"175","959685.9353827032","959685.9353827032","959685.9353827032"
"177","960105.8973732309","960105.8973732309","960105.8973732309"
"179","960647.5536581482","960647.5536581482","960647.5536581482"
"180","959051.6615700544","959051.6615700544","959051.6615700544"
"182","957904.3535097025","957904.3535097025","957904.3535097025"
"183","957735.5687807762","957735.5687807762","957735.5687807762"
"187","960831.2802898654","960831.2802898654","960831.2802898654"
"190","959979.4391369618","959979.4391369618","959979.4391369618"
"191","957564.9373613714","957564.9373613714","957564.9373613714"
"192","960079.0701149064","960079.0701149064","960079.0701149064"
"193","959864.9848388706","959864.9848388706","959864.9848388706"
"194","961359.3456695132","961359.3456695132","961359.3456695132"
"195","957274.812941537","957274.812941537","957274.812941537"
"196","961106.2819375119","961106.2819375119","961106.2819375119"
"200","961696.6509134928","961696.6509134928","961696.6509134928"
"202","961672.1378585818","961672.1378585818","961672.1378585818"
"204","943697.9318725104","943697.9318725104","943697.9318725104"
"205","953962.5615866709","953962.5615866709","953962.5615866709"
"206","962090.9540321266","962090.9540321266","962090.9540321266"
"207","957086.7309789651","957086.7309789651","957086.7309789651"
"208","959107.1151040981","959107.1151040981","959107.1151040981"
"209","956954.8796078572","956954.8796078572","956954.8796078572"
"210","961193.6626994613","961193.6626994613","961193.6626994613"
"211","958608.7416161699","958608.7416161699","958608.7416161699"
"214","960679.6887553048","960679.6887553048","960679.6887553048"
"215","960208.4296378581","960208.4296378581","960208.4296378581"
"216","960101.1066814297","960101.1066814297","960101.1066814297"
"218","399037.105077571","399037.105077571","399037.105077571"
"220","961187.4206895449","961187.4206895449","961187.4206895449"
"221","955523.9906341886","955523.9906341886","955523.9906341886"
"223","958662.7110408278","958662.7110408278","958662.7110408278"
"226","955602.765778298","955602.765778298","955602.765778298"
"227","959760.1322653068","959760.1322653068","959760.1322653068"
"230","962639.1874658236","962639.1874658236","962639.1874658236"
"233","961187.4206895449","961187.4206895449","961187.4206895449"
"235","961212.8693923285","961212.8693923285","961212.8693923285"
"236","959538.533038246","959538.533038246","959538.533038246"
"238","945962.4606184377","945962.4606184377","945962.4606184377"
"239","961938.483885498","961938.483885498","961938.483885498"
"240","956764.5446105009","956764.5446105009","956764.5446105009"
"241","958255.9408914294","958255.9408914294","958255.9408914294"
"243","958290.302480111","958290.302480111","958290.302480111"
"244","963546.418551174","963546.418551174","963546.418551174"
"246","943728.0172408635","943728.0172408635","943728.0172408635"
"247","943654.8899886466","943654.8899886466","943654.8899886466"
"248","960278.8733685475","960278.8733685475","960278.8733685475"
"249","963289.7909548715","963289.7909548715","963289.7909548715"
"251","959478.7235748154","959478.7235748154","959478.7235748154"
"252","961608.2175349307","961608.2175349307","961608.2175349307"
"253","960349.3274359163","960349.3274359163","960349.3274359163"
"254","953796.1085718676","953796.1085718676","953796.1085718676"
"256","962532.7649656535","962532.7649656535","962532.7649656535"
"257","963947.5522932103","963947.5522932103","963947.5522932103"
"261","961303.6313988809","961303.6313988809","961303.6313988809"
"262","959978.0023029749","959978.0023029749","959978.0023029749"
"263","952684.4454364466","952684.4454364466","952684.4454364466"
"264","955723.3263851602","955723.3263851602","955723.3263851602"
"265","956778.341352128","956778.341352128","956778.341352128"
"267","960861.9881988694","960861.9881988694","960861.9881988694"
"270","960481.6364731821","960481.6364731821","960481.6364731821"
"271","962118.374926809","962118.374926809","962118.374926809"
"273","956992.0037560591","956992.0037560591","956992.0037560591"
"274","958371.9211305544","958371.9211305544","958371.9211305544"
"276","963199.6178568925","963199.6178568925","963199.6178568925"
"278","959002.4280306598","959002.4280306598","959002.4280306598"
"279","962387.8563269471","962387.8563269471","962387.8563269471"
"281","962350.7936833745","962350.7936833745","962350.7936833745"
"282","961206.6271329533","961206.6271329533","961206.6271329533"
"283","961345.4164964205","961345.4164964205","961345.4164964205"
"285","955679.6552502038","955679.6552502038","955679.6552502038"
"286","958041.2367796313","958041.2367796313","958041.2367796313"
"291","962375.8226881467","962375.8226881467","962375.8226881467"
"297","962255.5028495414","962255.5028495414","962255.5028495414"
"300","963907.4721772894","963907.4721772894","963907.4721772894"
"301","963933.065119681","963933.065119681","963933.065119681"
"302","962549.6176395403","962549.6176395403","962549.6176395403"
"305","963018.8403146091","963018.8403146091","963018.8403146091"
"306","960994.4385439537","960994.4385439537","960994.4385439537"
"308","959999.5552644065","959999.5552644065","959999.5552644065"
"309","960556.9154913547","960556.9154913547","960556.9154913547"
"312","960868.2259827306","960868.2259827306","960868.2259827306"
"313","959513.6513957276","959513.6513957276","959513.6513957276"
"317","960644.1963839771","960644.1963839771","960644.1963839771"
"320","962297.3707400678","962297.3707400678","962297.3707400678"
"322","962440.8079130268","962440.8079130268","962440.8079130268"
"323","963503.9594357418","963503.9594357418","963503.9594357418"
"324","964337.9040405913","964337.9040405913","964337.9040405913"
"325","960921.4903585505","960921.4903585505","960921.4903585505"
"327","960232.3889306145","960232.3889306145","960232.3889306145"
"329","962766.347457343","962766.347457343","962766.347457343"
"332","959157.3156431027","959157.3156431027","959157.3156431027"
"334","961028.5168204745","961028.5168204745","961028.5168204745"
"337","955767.0015115277","955767.0015115277","955767.0015115277"
"338","958764.9352772933","958764.9352772933","958764.9352772933"
"340","961622.6349108617","961622.6349108617","961622.6349108617"
"341","961821.6388562585","961821.6388562585","961821.6388562585"
"342","959575.3793791657","959575.3793791657","959575.3793791657"
"343","959049.271475673","959049.271475673","959049.271475673"
"345","958591.0715321951","958591.0715321951","958591.0715321951"
"347","960879.7421041777","960879.7421041777","960879.7421041777"
"350","961217.1910040064","961217.1910040064","961217.1910040064"
"353","960299.0020472187","960299.0020472187","960299.0020472187"
"355","960316.7351537714","960316.7351537714","960316.7351537714"
"358","953137.4869327489","953137.4869327489","953137.4869327489"
"359","961269.53360867","961269.53360867","961269.53360867"
"360","959073.6509973314","959073.6509973314","959073.6509973314"
"361","956901.1022966378","956901.1022966378","956901.1022966378"
"363","960145.1828494298","960145.1828494298","960145.1828494298"
"368","960343.0963874062","960343.0963874062","960343.0963874062"
"369","957377.2177395961","957377.2177395961","957377.2177395961"
"370","957865.7280265075","957865.7280265075","957865.7280265075"
"372","960331.1138290709","960331.1138290709","960331.1138290709"
"373","955316.2004761326","955316.2004761326","955316.2004761326"
"374","949023.5998066585","949023.5998066585","949023.5998066585"
"377","950955.0587125911","950955.0587125911","950955.0587125911"
"378","950737.5063841351","950737.5063841351","950737.5063841351"
"379","941679.6595957935","941679.6595957935","941679.6595957935"
"380","948448.2156856753","948448.2156856753","948448.2156856753"
"382","959341.9075641187","959341.9075641187","959341.9075641187"
"383","958135.2176271612","958135.2176271612","958135.2176271612"
"384","961616.3873282127","961616.3873282127","961616.3873282127"
"386","957060.0721759783","957060.0721759783","957060.0721759783"
"388","958036.9436787532","958036.9436787532","958036.9436787532"
"389","956002.061215283","956002.061215283","956002.061215283"
"395","961489.530903507","961489.530903507","961489.530903507"
"396","961741.8351127212","961741.8351127212","961741.8351127212"
"397","958067.9502718636","958067.9502718636","958067.9502718636"
"398","957265.2880275258","957265.2880275258","957265.2880275258"
