"Relative Time (Process)","sleek-thunder-73 - system/gpu.process.0.memory","sleek-thunder-73 - system/gpu.process.0.memory__MIN","sleek-thunder-73 - system/gpu.process.0.memory__MAX"
"4860.337744","66.87","66.87","66.87"
"4890.33835","67.93","67.93","67.93"
"4920.339106","68.07","68.07","68.07"
"4950.339718","67","67","67"
"4980.340236","66.4","66.4","66.4"
"5010.340751","68.67","68.67","68.67"
"5040.341283","66.07","66.07","66.07"
"5070.341846","66.53","66.53","66.53"
"5100.342408","66.8","66.8","66.8"
"5130.34294","66.47","66.47","66.47"
"5160.343492","69.27","69.27","69.27"
"5190.344019","68.27","68.27","68.27"
"5220.344575","68.33","68.33","68.33"
"5250.345144","9.73","9.73","9.73"
"5280.345688","23.47","23.47","23.47"
"5310.346221","69.2","69.2","69.2"
"5340.346772","68.33","68.33","68.33"
"5370.347296","70.53","70.53","70.53"
"5400.347983","69.27","69.27","69.27"
"5430.348853","68.67","68.67","68.67"
"5460.349697","69.6","69.6","69.6"
"5490.350416","67.27","67.27","67.27"
"5520.351166","68.87","68.87","68.87"
"5550.352086","68.87","68.87","68.87"
"5580.352796","68.2","68.2","68.2"
"5610.353342","63.53","63.53","63.53"
"5640.353889","69.4","69.4","69.4"
"5670.354424","69.27","69.27","69.27"
"5700.354986","67.8","67.8","67.8"
"5730.355596","66.07","66.07","66.07"
"5760.356206","65.87","65.87","65.87"
"5790.356776","73.93","73.93","73.93"
"5820.357329","70.67","70.67","70.67"
"5850.357909","70.13","70.13","70.13"
"5880.358448","68.93","68.93","68.93"
"5910.359295","67.13","67.13","67.13"
"5940.360223","60.53","60.53","60.53"
"5970.361257","66.8","66.8","66.8"
"6000.362212","68.53","68.53","68.53"
"6030.362938","66.73","66.73","66.73"
"6060.363529","69.13","69.13","69.13"
"6090.364079","70.27","70.27","70.27"
"6120.364689","66.6","66.6","66.6"
"6150.365625","70.2","70.2","70.2"
"6180.366735","70.53","70.53","70.53"
"6210.367645","68.6","68.6","68.6"
"6240.368488","66.93","66.93","66.93"
"6270.369589","46.73","46.73","46.73"
"6300.370214","0","0","0"
"6330.370741","55.6","55.6","55.6"
"6360.371313","67.8","67.8","67.8"
"6390.371897","68.47","68.47","68.47"
"6420.372667","68.87","68.87","68.87"
"6450.373432","73.53","73.53","73.53"
"6480.374136","67.87","67.87","67.87"
"6540.375111","72.93","72.93","72.93"
"6570.375843","68.33","68.33","68.33"
"6600.376579","72.53","72.53","72.53"
"6630.377147","67.6","67.6","67.6"
"6660.377717","70.87","70.87","70.87"
"6690.378239","66.27","66.27","66.27"
"6720.378818","68.33","68.33","68.33"
"6750.379365","65.6","65.6","65.6"
"6780.379949","69.6","69.6","69.6"
"6810.380695","68.53","68.53","68.53"
"6840.381436","61","61","61"
"6870.382002","69.67","69.67","69.67"
"6900.382725","68.73","68.73","68.73"
"6930.383521","69.87","69.87","69.87"
"6960.384281","70.33","70.33","70.33"
"6990.385055","64.93","64.93","64.93"
"7020.385826","64.73","64.73","64.73"
"7050.386603","68.47","68.47","68.47"
"7080.387348","67.47","67.47","67.47"
"7110.387857","67.27","67.27","67.27"
"7140.388435","67.6","67.6","67.6"
"7170.389015","68.87","68.87","68.87"
"7200.389578","71.2","71.2","71.2"
"7230.390159","67.73","67.73","67.73"
"7260.390704","69.6","69.6","69.6"
"7290.391315","70","70","70"
"7320.391861","68.2","68.2","68.2"
"7350.392409","29.87","29.87","29.87"
"7380.392964","20.13","20.13","20.13"
"7410.393512","69.27","69.27","69.27"
"7440.394564","63.87","63.87","63.87"
"7470.395342","66.27","66.27","66.27"
"7500.395914","66.2","66.2","66.2"
"7530.39651","68.27","68.27","68.27"
"7560.39712","68.87","68.87","68.87"
"7590.397911","72.07","72.07","72.07"
"7620.398492","67.93","67.93","67.93"
"7650.399088","69.07","69.07","69.07"
"7680.399691","64.73","64.73","64.73"
"7710.400327","68.07","68.07","68.07"
"7740.400969","67.4","67.4","67.4"
"7770.401661","67.4","67.4","67.4"
"7800.402456","68.27","68.27","68.27"
"7830.403014","69.2","69.2","69.2"
"7860.40361","70.33","70.33","70.33"
"7890.404223","62","62","62"
"7920.405015","67.33","67.33","67.33"
"7950.406078","69.2","69.2","69.2"
"7980.40694","65","65","65"
"8010.407743","66.67","66.67","66.67"
"8040.408655","67.8","67.8","67.8"
"8070.409534","71.33","71.33","71.33"
"8100.410255","71.13","71.13","71.13"
"8130.410826","69.13","69.13","69.13"
"8160.411431","67.07","67.07","67.07"
"8190.412027","66.33","66.33","66.33"
"8220.412905","66.33","66.33","66.33"
"8250.413571","68.8","68.8","68.8"
"8280.414164","67.47","67.47","67.47"
"8310.414901","69.87","69.87","69.87"
"8340.415801","67.8","67.8","67.8"
"8370.416474","54.53","54.53","54.53"
"8397.966201","0","0","0"
"8428.600484","3.13","3.13","3.13"
"8541.583618","10.6","10.6","10.6"
"8571.5842","61.87","61.87","61.87"
"8601.584799","65.67","65.67","65.67"
"8631.585373","67.8","67.8","67.8"
"8661.58595","65.13","65.13","65.13"
"8691.586542","62.93","62.93","62.93"
"8721.587112","63.53","63.53","63.53"
"8751.58768","65.47","65.47","65.47"
"8781.588507","43.47","43.47","43.47"
"8811.589239","65.33","65.33","65.33"
"8841.589775","64.93","64.93","64.93"
"8871.590347","67.8","67.8","67.8"
"8901.591083","64.27","64.27","64.27"
"8931.591825","61.4","61.4","61.4"
"8961.592661","68.8","68.8","68.8"
"8991.593425","61.2","61.2","61.2"
"9021.594011","64.93","64.93","64.93"
"9051.594719","68.27","68.27","68.27"
"9081.595273","64.93","64.93","64.93"
"9111.595839","67.13","67.13","67.13"
"9141.596413","61.67","61.67","61.67"
"9171.596981","63.27","63.27","63.27"
"9201.597836","66.07","66.07","66.07"
"9231.598646","65.73","65.73","65.73"
"9261.599219","59.87","59.87","59.87"
"9291.599979","65.47","65.47","65.47"
"9321.600954","65.47","65.47","65.47"
"9351.601723","64.8","64.8","64.8"
"9381.602308","66.67","66.67","66.67"
"9411.602877","63.93","63.93","63.93"
"9441.603446","22","22","22"
