Metric,F-value,p-value
Overall Score,0.5738601823708209,0.7766562438948884
Relevance Score,1.8151260504201678,0.08635712246477789
Conciseness Score,1.1743532058492694,0.31926199893458346
Fluency Score,1.8827415359207258,0.07430749776853374
Accuracy Score,1.3296167247386765,0.23819001275437157
Coherence Score,1.0803376055017193,0.3774735035104682
