"Step","lemon-disco-5 - train/grad_norm","lemon-disco-5 - train/grad_norm__MIN","lemon-disco-5 - train/grad_norm__MAX"
"0","Infinity","",""
"1","Infinity","",""
"2","Infinity","",""
"3","Infinity","",""
"4","22.44195556640625","22.44195556640625","22.44195556640625"
"5","22.44195556640625","22.44195556640625","22.44195556640625"
"6","23.22633171081543","23.22633171081543","23.22633171081543"
"7","23.22633171081543","23.22633171081543","23.22633171081543"
"8","23.421812057495117","23.421812057495117","23.421812057495117"
"9","23.421812057495117","23.421812057495117","23.421812057495117"
"10","23.51194190979004","23.51194190979004","23.51194190979004"
"11","23.51194190979004","23.51194190979004","23.51194190979004"
"12","22.410337448120117","22.410337448120117","22.410337448120117"
"13","22.410337448120117","22.410337448120117","22.410337448120117"
"14","21.92523956298828","21.92523956298828","21.92523956298828"
"15","21.92523956298828","21.92523956298828","21.92523956298828"
"16","22.098037719726562","22.098037719726562","22.098037719726562"
"17","22.098037719726562","22.098037719726562","22.098037719726562"
"18","20.864728927612305","20.864728927612305","20.864728927612305"
"19","20.864728927612305","20.864728927612305","20.864728927612305"
"20","20.307775497436523","20.307775497436523","20.307775497436523"
"21","20.307775497436523","20.307775497436523","20.307775497436523"
"22","18.700292587280273","18.700292587280273","18.700292587280273"
"23","18.700292587280273","18.700292587280273","18.700292587280273"
"24","18.49099349975586","18.49099349975586","18.49099349975586"
"25","18.49099349975586","18.49099349975586","18.49099349975586"
"26","17.45998764038086","17.45998764038086","17.45998764038086"
"27","17.45998764038086","17.45998764038086","17.45998764038086"
"28","16.273996353149414","16.273996353149414","16.273996353149414"
"29","16.273996353149414","16.273996353149414","16.273996353149414"
"30","15.645468711853027","15.645468711853027","15.645468711853027"
"31","15.645468711853027","15.645468711853027","15.645468711853027"
"32","14.633257865905762","14.633257865905762","14.633257865905762"
"33","14.633257865905762","14.633257865905762","14.633257865905762"
"34","13.732783317565918","13.732783317565918","13.732783317565918"
"35","13.732783317565918","13.732783317565918","13.732783317565918"
"36","13.299829483032227","13.299829483032227","13.299829483032227"
"37","13.299829483032227","13.299829483032227","13.299829483032227"
"38","12.901037216186523","12.901037216186523","12.901037216186523"
"39","12.901037216186523","12.901037216186523","12.901037216186523"
"40","11.807644844055176","11.807644844055176","11.807644844055176"
"41","11.807644844055176","11.807644844055176","11.807644844055176"
"42","11.091169357299805","11.091169357299805","11.091169357299805"
"43","11.091169357299805","11.091169357299805","11.091169357299805"
