"Step","lemon-disco-5 - train/loss","lemon-disco-5 - train/loss__MIN","lemon-disco-5 - train/loss__MAX"
"54","4.2399","4.2399","4.2399"
"55","4.2399","4.2399","4.2399"
"56","4.4491","4.4491","4.4491"
"57","4.4491","4.4491","4.4491"
"58","4.5605","4.5605","4.5605"
"59","4.5605","4.5605","4.5605"
"60","4.0555","4.0555","4.0555"
"61","4.0555","4.0555","4.0555"
"62","4.4322","4.4322","4.4322"
"63","4.4322","4.4322","4.4322"
"64","4.3768","4.3768","4.3768"
"65","4.3768","4.3768","4.3768"
"66","4.2661","4.2661","4.2661"
"67","4.2661","4.2661","4.2661"
"68","4.098","4.098","4.098"
"69","4.098","4.098","4.098"
"70","4.0596","4.0596","4.0596"
"71","4.0596","4.0596","4.0596"
"72","3.8665","3.8665","3.8665"
"73","3.8665","3.8665","3.8665"
"74","3.8857","3.8857","3.8857"
"75","3.8857","3.8857","3.8857"
"76","3.9873","3.9873","3.9873"
"77","3.9873","3.9873","3.9873"
"78","4.095","4.095","4.095"
"79","4.095","4.095","4.095"
"80","3.7988","3.7988","3.7988"
"81","3.7988","3.7988","3.7988"
"82","3.9619","3.9619","3.9619"
"83","3.9619","3.9619","3.9619"
"84","3.8779","3.8779","3.8779"
"85","3.8779","3.8779","3.8779"
"86","3.6766","3.6766","3.6766"
"87","3.6766","3.6766","3.6766"
"88","3.8323","3.8323","3.8323"
"89","3.8323","3.8323","3.8323"
"90","3.705","3.705","3.705"
"91","3.705","3.705","3.705"
"92","3.7798","3.7798","3.7798"
"93","3.7798","3.7798","3.7798"
"94","3.7065","3.7065","3.7065"
"95","3.7065","3.7065","3.7065"
"96","3.5248","3.5248","3.5248"
"97","3.5248","3.5248","3.5248"
"98","3.4551","3.4551","3.4551"
"99","3.4551","3.4551","3.4551"
"100","3.7347","3.7347","3.7347"
"101","3.7347","3.7347","3.7347"
"102","3.642","3.642","3.642"
"103","3.642","3.642","3.642"
"104","3.6338","3.6338","3.6338"
"105","3.6338","3.6338","3.6338"
"106","3.5717","3.5717","3.5717"
"107","3.5717","3.5717","3.5717"
"108","3.5898","3.5898","3.5898"
"109","3.5898","3.5898","3.5898"
"110","3.6315","3.6315","3.6315"
"111","3.6315","3.6315","3.6315"
"112","3.4697","3.4697","3.4697"
"113","3.4697","3.4697","3.4697"
"114","3.5011","3.5011","3.5011"
"115","3.5011","3.5011","3.5011"
"116","3.3733","3.3733","3.3733"
"117","3.3733","3.3733","3.3733"
"118","3.6435","3.6435","3.6435"
"119","3.6435","3.6435","3.6435"
"120","3.4067","3.4067","3.4067"
"121","3.4067","3.4067","3.4067"
"122","3.4592","3.4592","3.4592"
"123","3.4592","3.4592","3.4592"
"124","3.2775","3.2775","3.2775"
"125","3.2775","3.2775","3.2775"
"126","3.306","3.306","3.306"
"127","3.306","3.306","3.306"
"128","3.382","3.382","3.382"
"129","3.382","3.382","3.382"
"130","3.201","3.201","3.201"
"131","3.201","3.201","3.201"
"132","3.6699","3.6699","3.6699"
"133","3.6699","3.6699","3.6699"
"134","3.2663","3.2663","3.2663"
"135","3.2663","3.2663","3.2663"
"136","3.0357","3.0357","3.0357"
"137","3.0357","3.0357","3.0357"
"138","3.0936","3.0936","3.0936"
"139","3.0936","3.0936","3.0936"
"140","3.1502","3.1502","3.1502"
"141","3.1502","3.1502","3.1502"
"142","3.0454","3.0454","3.0454"
"143","3.0454","3.0454","3.0454"
"144","3.0943","3.0943","3.0943"
"145","3.0943","3.0943","3.0943"
"146","3.1881","3.1881","3.1881"
"147","3.1881","3.1881","3.1881"
"148","3.0743","3.0743","3.0743"
"149","3.0743","3.0743","3.0743"
"150","3.1419","3.1419","3.1419"
"151","3.1419","3.1419","3.1419"
"152","2.9259","2.9259","2.9259"
"153","2.9259","2.9259","2.9259"
"154","3.0747","3.0747","3.0747"
"155","3.0747","3.0747","3.0747"
"156","3.1747","3.1747","3.1747"
"157","3.1747","3.1747","3.1747"
"158","2.8583","2.8583","2.8583"
"159","2.8583","2.8583","2.8583"
"160","2.858","2.858","2.858"
"161","2.858","2.858","2.858"
"162","3.0231","3.0231","3.0231"
"163","3.0231","3.0231","3.0231"
"164","2.8558","2.8558","2.8558"
"165","2.8558","2.8558","2.8558"
"166","2.9803","2.9803","2.9803"
"167","2.9803","2.9803","2.9803"
"168","2.7625","2.7625","2.7625"
"169","2.7625","2.7625","2.7625"
"170","2.8104","2.8104","2.8104"
"171","2.8104","2.8104","2.8104"
"172","2.8406","2.8406","2.8406"
"173","2.8406","2.8406","2.8406"
"174","2.9074","2.9074","2.9074"
"175","2.9074","2.9074","2.9074"
"176","2.8137","2.8137","2.8137"
"177","2.8137","2.8137","2.8137"
"178","2.9295","2.9295","2.9295"
"179","2.9295","2.9295","2.9295"
"180","2.6611","2.6611","2.6611"
"181","2.6611","2.6611","2.6611"
"182","2.649","2.649","2.649"
"183","2.649","2.649","2.649"
"184","2.7458","2.7458","2.7458"
"185","2.7458","2.7458","2.7458"
"186","2.5623","2.5623","2.5623"
"187","2.5623","2.5623","2.5623"
"188","2.7686","2.7686","2.7686"
"189","2.7686","2.7686","2.7686"
"190","2.7094","2.7094","2.7094"
"191","2.7094","2.7094","2.7094"
"192","2.7725","2.7725","2.7725"
"193","2.7725","2.7725","2.7725"
"194","2.6991","2.6991","2.6991"
"195","2.6991","2.6991","2.6991"
"196","2.6763","2.6763","2.6763"
"197","2.6763","2.6763","2.6763"
"198","2.6811","2.6811","2.6811"
"199","2.6811","2.6811","2.6811"
"200","2.5447","2.5447","2.5447"
"201","2.5447","2.5447","2.5447"
"202","2.6592","2.6592","2.6592"
"203","2.6592","2.6592","2.6592"
"204","2.7139","2.7139","2.7139"
"205","2.7139","2.7139","2.7139"
"206","2.6279","2.6279","2.6279"
"207","2.6279","2.6279","2.6279"
"208","2.4899","2.4899","2.4899"
"209","2.4899","2.4899","2.4899"
"210","2.5402","2.5402","2.5402"
"211","2.5402","2.5402","2.5402"
"212","2.6724","2.6724","2.6724"
"213","2.6724","2.6724","2.6724"
"214","2.7427","2.7427","2.7427"
"215","2.7427","2.7427","2.7427"
"216","2.4794","2.4794","2.4794"
"217","2.4794","2.4794","2.4794"
"218","2.4868","2.4868","2.4868"
"219","2.4868","2.4868","2.4868"
"220","2.6043","2.6043","2.6043"
"221","2.6043","2.6043","2.6043"
"222","2.4608","2.4608","2.4608"
"223","2.4608","2.4608","2.4608"
"224","2.2876","2.2876","2.2876"
"225","2.2876","2.2876","2.2876"
"226","2.4855","2.4855","2.4855"
"227","2.4855","2.4855","2.4855"
"228","2.5503","2.5503","2.5503"
"229","2.5503","2.5503","2.5503"
"230","2.2143","2.2143","2.2143"
"231","2.2143","2.2143","2.2143"
"232","2.4166","2.4166","2.4166"
"233","2.4166","2.4166","2.4166"
"234","2.4293","2.4293","2.4293"
"235","2.4293","2.4293","2.4293"
"236","2.3661","2.3661","2.3661"
"237","2.3661","2.3661","2.3661"
"238","2.5679","2.5679","2.5679"
"239","2.5679","2.5679","2.5679"
"240","2.3204","2.3204","2.3204"
"241","2.3204","2.3204","2.3204"
"242","2.425","2.425","2.425"
"243","2.425","2.425","2.425"
"244","2.2819","2.2819","2.2819"
"245","2.2819","2.2819","2.2819"
"246","2.41","2.41","2.41"
"247","2.41","2.41","2.41"
"248","2.4217","2.4217","2.4217"
"249","2.4217","2.4217","2.4217"
"250","2.2438","2.2438","2.2438"
"251","2.2438","2.2438","2.2438"
"252","2.1404","2.1404","2.1404"
"253","2.1404","2.1404","2.1404"
"254","2.2154","2.2154","2.2154"
"255","2.2154","2.2154","2.2154"
"256","2.2865","2.2865","2.2865"
"257","2.2865","2.2865","2.2865"
"258","2.1212","2.1212","2.1212"
"259","2.1212","2.1212","2.1212"
"260","2.2942","2.2942","2.2942"
"261","2.2942","2.2942","2.2942"
"262","2.2904","2.2904","2.2904"
"263","2.2904","2.2904","2.2904"
"264","2.2485","2.2485","2.2485"
"265","2.2485","2.2485","2.2485"
"266","2.334","2.334","2.334"
"267","2.334","2.334","2.334"
"268","2.2518","2.2518","2.2518"
"269","2.2518","2.2518","2.2518"
