group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,0.0,1.0,-0.3291,0.3291,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,0.0,1.0,-0.3291,0.3291,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.08,0.9955,-0.2491,0.4091,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,-0.2,0.5784,-0.5291,0.1291,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.12,0.9524,-0.4491,0.2091,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.2,0.5784,-0.5291,0.1291,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.12,0.9524,-0.4491,0.2091,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,0.0,1.0,-0.3291,0.3291,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.08,0.9955,-0.2491,0.4091,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,-0.2,0.5784,-0.5291,0.1291,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.12,0.9524,-0.4491,0.2091,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.2,0.5784,-0.5291,0.1291,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.12,0.9524,-0.4491,0.2091,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.08,0.9955,-0.2491,0.4091,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,-0.2,0.5784,-0.5291,0.1291,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.12,0.9524,-0.4491,0.2091,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.2,0.5784,-0.5291,0.1291,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.12,0.9524,-0.4491,0.2091,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,-0.28,0.1597,-0.6091,0.0491,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.2,0.5784,-0.5291,0.1291,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.28,0.1597,-0.6091,0.0491,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.2,0.5784,-0.5291,0.1291,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.08,0.9955,-0.2491,0.4091,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.0,1.0,-0.3291,0.3291,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.08,0.9955,-0.2491,0.4091,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.08,0.9955,-0.4091,0.2491,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.0,1.0,-0.3291,0.3291,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.08,0.9955,-0.2491,0.4091,False
