,Effect Size
Overall Score,0.7931921207662949
Creativity Score,0.8355405910961464
Coherence Score,0.554913294797688
Fluency Score,0.8483353884093713
Relevance Score,0.6077328646748679
Engagement Score,0.6259120489055418
