group1,group2,meandiff,p-adj,lower,upper,reject
LN_AttnOnly,LN_FFNonly,0.0,1.0,-0.2934,0.2934,False
LN_AttnOnly,LN_baseModel,0.8,0.0,0.5066,1.0934,True
LN_AttnOnly,LN_noNorm,0.0,1.0,-0.2934,0.2934,False
LN_AttnOnly,RMSN_AttnOnly,0.0,1.0,-0.2934,0.2934,False
LN_AttnOnly,RMSN_FFNonly,0.0,1.0,-0.2934,0.2934,False
LN_AttnOnly,RMSN_baseModel,0.8,0.0,0.5066,1.0934,True
LN_AttnOnly,RMSN_noNorm,0.0,1.0,-0.2934,0.2934,False
LN_FFNonly,LN_baseModel,0.8,0.0,0.5066,1.0934,True
LN_FFNonly,LN_noNorm,0.0,1.0,-0.2934,0.2934,False
LN_FFNonly,RMSN_AttnOnly,0.0,1.0,-0.2934,0.2934,False
LN_FFNonly,RMSN_FFNonly,0.0,1.0,-0.2934,0.2934,False
LN_FFNonly,RMSN_baseModel,0.8,0.0,0.5066,1.0934,True
LN_FFNonly,RMSN_noNorm,0.0,1.0,-0.2934,0.2934,False
LN_baseModel,LN_noNorm,-0.8,0.0,-1.0934,-0.5066,True
LN_baseModel,RMSN_AttnOnly,-0.8,0.0,-1.0934,-0.5066,True
LN_baseModel,RMSN_FFNonly,-0.8,0.0,-1.0934,-0.5066,True
LN_baseModel,RMSN_baseModel,0.0,1.0,-0.2934,0.2934,False
LN_baseModel,RMSN_noNorm,-0.8,0.0,-1.0934,-0.5066,True
LN_noNorm,RMSN_AttnOnly,0.0,1.0,-0.2934,0.2934,False
LN_noNorm,RMSN_FFNonly,0.0,1.0,-0.2934,0.2934,False
LN_noNorm,RMSN_baseModel,0.8,0.0,0.5066,1.0934,True
LN_noNorm,RMSN_noNorm,0.0,1.0,-0.2934,0.2934,False
RMSN_AttnOnly,RMSN_FFNonly,0.0,1.0,-0.2934,0.2934,False
RMSN_AttnOnly,RMSN_baseModel,0.8,0.0,0.5066,1.0934,True
RMSN_AttnOnly,RMSN_noNorm,0.0,1.0,-0.2934,0.2934,False
RMSN_FFNonly,RMSN_baseModel,0.8,0.0,0.5066,1.0934,True
RMSN_FFNonly,RMSN_noNorm,0.0,1.0,-0.2934,0.2934,False
RMSN_baseModel,RMSN_noNorm,-0.8,0.0,-1.0934,-0.5066,True
