"Step","autumn-energy-2 - loss/train","autumn-energy-2 - loss/train__MIN","autumn-energy-2 - loss/train__MAX"
"2","10.903202056884766","10.903202056884766","10.903202056884766"
"4","10.662296295166016","10.662296295166016","10.662296295166016"
"7","10.257678985595703","10.257678985595703","10.257678985595703"
"9","10.036554336547852","10.036554336547852","10.036554336547852"
"10","9.962065696716309","9.962065696716309","9.962065696716309"
"13","9.782222747802734","9.782222747802734","9.782222747802734"
"16","9.664224624633789","9.664224624633789","9.664224624633789"
"18","9.62778091430664","9.62778091430664","9.62778091430664"
"19","9.677936553955078","9.677936553955078","9.677936553955078"
"20","9.672574996948242","9.672574996948242","9.672574996948242"
"21","9.57179069519043","9.57179069519043","9.57179069519043"
"23","9.52314567565918","9.52314567565918","9.52314567565918"
"24","9.511711120605469","9.511711120605469","9.511711120605469"
"26","9.412457466125488","9.412457466125488","9.412457466125488"
"28","9.35306167602539","9.35306167602539","9.35306167602539"
"29","9.32327651977539","9.32327651977539","9.32327651977539"
"31","9.309497833251953","9.309497833251953","9.309497833251953"
"33","9.20973014831543","9.20973014831543","9.20973014831543"
"35","9.061482429504395","9.061482429504395","9.061482429504395"
"36","9.072015762329102","9.072015762329102","9.072015762329102"
"37","9.037811279296875","9.037811279296875","9.037811279296875"
"40","8.923627853393555","8.923627853393555","8.923627853393555"
"42","8.81633472442627","8.81633472442627","8.81633472442627"
"43","8.770562171936035","8.770562171936035","8.770562171936035"
"44","8.78146743774414","8.78146743774414","8.78146743774414"
"47","8.662951469421387","8.662951469421387","8.662951469421387"
"49","8.663331985473633","8.663331985473633","8.663331985473633"
"58","8.358220100402832","8.358220100402832","8.358220100402832"
"60","8.248302459716797","8.248302459716797","8.248302459716797"
"61","8.232524871826172","8.232524871826172","8.232524871826172"
"63","8.130108833312988","8.130108833312988","8.130108833312988"
"65","8.063468933105469","8.063468933105469","8.063468933105469"
"68","7.988148212432861","7.988148212432861","7.988148212432861"
"69","7.948800563812256","7.948800563812256","7.948800563812256"
"70","7.857995986938477","7.857995986938477","7.857995986938477"
"71","7.813239097595215","7.813239097595215","7.813239097595215"
"72","7.82585334777832","7.82585334777832","7.82585334777832"
"73","7.756688117980957","7.756688117980957","7.756688117980957"
"74","7.7313971519470215","7.7313971519470215","7.7313971519470215"
"77","7.616884231567383","7.616884231567383","7.616884231567383"
"83","7.443824768066406","7.443824768066406","7.443824768066406"
"86","7.339529991149902","7.339529991149902","7.339529991149902"
"87","7.325013160705566","7.325013160705566","7.325013160705566"
"89","7.302894592285156","7.302894592285156","7.302894592285156"
"90","7.336639881134033","7.336639881134033","7.336639881134033"
"91","7.251590251922607","7.251590251922607","7.251590251922607"
"93","7.265248775482178","7.265248775482178","7.265248775482178"
"97","7.262551784515381","7.262551784515381","7.262551784515381"
"104","7.029841423034668","7.029841423034668","7.029841423034668"
"107","7.078094005584717","7.078094005584717","7.078094005584717"
"108","7.01792049407959","7.01792049407959","7.01792049407959"
"110","7.092759609222412","7.092759609222412","7.092759609222412"
"111","7.022698879241943","7.022698879241943","7.022698879241943"
"114","7.026763916015625","7.026763916015625","7.026763916015625"
"116","6.980781555175781","6.980781555175781","6.980781555175781"
"117","6.9072113037109375","6.9072113037109375","6.9072113037109375"
"122","6.830632209777832","6.830632209777832","6.830632209777832"
"123","6.815141677856445","6.815141677856445","6.815141677856445"
"125","6.81947135925293","6.81947135925293","6.81947135925293"
"127","6.804032325744629","6.804032325744629","6.804032325744629"
"131","6.754770278930664","6.754770278930664","6.754770278930664"
"132","6.708981513977051","6.708981513977051","6.708981513977051"
"134","6.624012470245361","6.624012470245361","6.624012470245361"
"136","6.691591739654541","6.691591739654541","6.691591739654541"
"139","6.611031532287598","6.611031532287598","6.611031532287598"
"140","6.70460319519043","6.70460319519043","6.70460319519043"
"141","6.812154769897461","6.812154769897461","6.812154769897461"
"142","6.692939758300781","6.692939758300781","6.692939758300781"
"143","6.75731086730957","6.75731086730957","6.75731086730957"
"146","6.694581031799316","6.694581031799316","6.694581031799316"
"147","6.696811676025391","6.696811676025391","6.696811676025391"
"149","6.690054893493652","6.690054893493652","6.690054893493652"
"150","6.68557071685791","6.68557071685791","6.68557071685791"
"154","6.6669921875","6.6669921875","6.6669921875"
"156","6.538137435913086","6.538137435913086","6.538137435913086"
"157","6.609356880187988","6.609356880187988","6.609356880187988"
"158","6.654201984405518","6.654201984405518","6.654201984405518"
"161","6.495826244354248","6.495826244354248","6.495826244354248"
"162","6.5833892822265625","6.5833892822265625","6.5833892822265625"
"167","6.354629993438721","6.354629993438721","6.354629993438721"
"168","6.462152481079102","6.462152481079102","6.462152481079102"
"169","6.426419258117676","6.426419258117676","6.426419258117676"
"170","6.453795433044434","6.453795433044434","6.453795433044434"
"171","6.427603244781494","6.427603244781494","6.427603244781494"
"173","6.444153308868408","6.444153308868408","6.444153308868408"
"174","6.396512985229492","6.396512985229492","6.396512985229492"
"176","6.436960220336914","6.436960220336914","6.436960220336914"
"180","6.315567970275879","6.315567970275879","6.315567970275879"
"181","6.306389808654785","6.306389808654785","6.306389808654785"
"183","6.328286647796631","6.328286647796631","6.328286647796631"
"184","6.320525169372559","6.320525169372559","6.320525169372559"
"187","6.415550231933594","6.415550231933594","6.415550231933594"
"188","6.4827094078063965","6.4827094078063965","6.4827094078063965"
"189","6.430756568908691","6.430756568908691","6.430756568908691"
"192","6.420242786407471","6.420242786407471","6.420242786407471"
"195","6.351803302764893","6.351803302764893","6.351803302764893"
"198","6.404394626617432","6.404394626617432","6.404394626617432"
"200","6.354277610778809","6.354277610778809","6.354277610778809"
"201","6.310934543609619","6.310934543609619","6.310934543609619"
"205","6.34771728515625","6.34771728515625","6.34771728515625"
"206","6.342716693878174","6.342716693878174","6.342716693878174"
"210","6.194535255432129","6.194535255432129","6.194535255432129"
"211","6.242980003356934","6.242980003356934","6.242980003356934"
"214","6.270961761474609","6.270961761474609","6.270961761474609"
"215","6.280595302581787","6.280595302581787","6.280595302581787"
"216","6.242364406585693","6.242364406585693","6.242364406585693"
"217","6.217357635498047","6.217357635498047","6.217357635498047"
"223","6.167513847351074","6.167513847351074","6.167513847351074"
"227","6.0907087326049805","6.0907087326049805","6.0907087326049805"
"229","6.1224365234375","6.1224365234375","6.1224365234375"
"230","6.132831573486328","6.132831573486328","6.132831573486328"
"233","6.303784370422363","6.303784370422363","6.303784370422363"
"238","6.24873685836792","6.24873685836792","6.24873685836792"
"239","6.228209018707275","6.228209018707275","6.228209018707275"
"240","6.226839065551758","6.226839065551758","6.226839065551758"
"241","6.226663589477539","6.226663589477539","6.226663589477539"
"242","6.244653701782227","6.244653701782227","6.244653701782227"
"246","6.1473002433776855","6.1473002433776855","6.1473002433776855"
"247","6.137855529785156","6.137855529785156","6.137855529785156"
"250","6.118613243103027","6.118613243103027","6.118613243103027"
"252","6.157557010650635","6.157557010650635","6.157557010650635"
"254","6.174903869628906","6.174903869628906","6.174903869628906"
"255","6.095017433166504","6.095017433166504","6.095017433166504"
"258","6.057967185974121","6.057967185974121","6.057967185974121"
"259","6.087172508239746","6.087172508239746","6.087172508239746"
"260","6.027345657348633","6.027345657348633","6.027345657348633"
"261","6.066179275512695","6.066179275512695","6.066179275512695"
"266","6.055594444274902","6.055594444274902","6.055594444274902"
"269","6.048287868499756","6.048287868499756","6.048287868499756"
"270","6.013395309448242","6.013395309448242","6.013395309448242"
"272","5.972873687744141","5.972873687744141","5.972873687744141"
"273","5.99055290222168","5.99055290222168","5.99055290222168"
"275","5.9455246925354","5.9455246925354","5.9455246925354"
"276","6.036297798156738","6.036297798156738","6.036297798156738"
"279","6.069880485534668","6.069880485534668","6.069880485534668"
"281","6.076319694519043","6.076319694519043","6.076319694519043"
"284","6.1064605712890625","6.1064605712890625","6.1064605712890625"
"287","6.052403450012207","6.052403450012207","6.052403450012207"
"288","6.040288925170898","6.040288925170898","6.040288925170898"
"289","6.015634536743164","6.015634536743164","6.015634536743164"
"291","5.9834113121032715","5.9834113121032715","5.9834113121032715"
"292","5.953916549682617","5.953916549682617","5.953916549682617"
"296","5.9906697273254395","5.9906697273254395","5.9906697273254395"
"298","5.987342834472656","5.987342834472656","5.987342834472656"
"299","5.975488662719727","5.975488662719727","5.975488662719727"
"303","5.945206165313721","5.945206165313721","5.945206165313721"
"304","5.911114692687988","5.911114692687988","5.911114692687988"
"305","5.896077632904053","5.896077632904053","5.896077632904053"
"306","5.898133754730225","5.898133754730225","5.898133754730225"
"309","5.882904052734375","5.882904052734375","5.882904052734375"
"316","5.8164825439453125","5.8164825439453125","5.8164825439453125"
"318","5.787396430969238","5.787396430969238","5.787396430969238"
"319","5.863452911376953","5.863452911376953","5.863452911376953"
"320","5.778082847595215","5.778082847595215","5.778082847595215"
"324","5.855948448181152","5.855948448181152","5.855948448181152"
"325","5.906684875488281","5.906684875488281","5.906684875488281"
"327","5.942757606506348","5.942757606506348","5.942757606506348"
