"Step","autumn-energy-2 - tok per sec","autumn-energy-2 - tok per sec__MIN","autumn-energy-2 - tok per sec__MAX"
"154","1206985.8744912627","1206985.8744912627","1206985.8744912627"
"156","1206706.3715244452","1206706.3715244452","1206706.3715244452"
"157","1205415.18716737","1205415.18716737","1205415.18716737"
"159","1194901.186983485","1194901.186983485","1194901.186983485"
"161","1207648.0578171182","1207648.0578171182","1207648.0578171182"
"163","1207127.6624469794","1207127.6624469794","1207127.6624469794"
"164","1207790.6647677622","1207790.6647677622","1207790.6647677622"
"166","1191440.8184456278","1191440.8184456278","1191440.8184456278"
"170","1200467.9840659895","1200467.9840659895","1200467.9840659895"
"172","1200534.8331863845","1200534.8331863845","1200534.8331863845"
"174","1193416.1763176417","1193416.1763176417","1193416.1763176417"
"175","1203347.9179411859","1203347.9179411859","1203347.9179411859"
"177","1199790.0829052182","1199790.0829052182","1199790.0829052182"
"180","1194305.442179989","1194305.442179989","1194305.442179989"
"181","1202410.2934593728","1202410.2934593728","1202410.2934593728"
"184","1200015.9648741197","1200015.9648741197","1200015.9648741197"
"185","1203511.9055852431","1203511.9055852431","1203511.9055852431"
"187","1193434.311363122","1193434.311363122","1193434.311363122"
"188","1193916.3874024965","1193916.3874024965","1193916.3874024965"
"190","543482.9338653265","543482.9338653265","543482.9338653265"
"192","1204426.8410458192","1204426.8410458192","1204426.8410458192"
"195","1197949.5371420353","1197949.5371420353","1197949.5371420353"
"197","1197671.5939440613","1197671.5939440613","1197671.5939440613"
"198","1201679.6317467396","1201679.6317467396","1201679.6317467396"
"199","1198705.7252458166","1198705.7252458166","1198705.7252458166"
"200","1202718.0679006202","1202718.0679006202","1202718.0679006202"
"201","1200745.2598922562","1200745.2598922562","1200745.2598922562"
"205","1201928.5614625004","1201928.5614625004","1201928.5614625004"
"206","1194963.521421899","1194963.521421899","1194963.521421899"
"208","1198885.4438920459","1198885.4438920459","1198885.4438920459"
"209","1200492.887770115","1200492.887770115","1200492.887770115"
"210","1201604.1193722873","1201604.1193722873","1201604.1193722873"
"211","1197568.539816146","1197568.539816146","1197568.539816146"
"213","1195630.777218119","1195630.777218119","1195630.777218119"
"215","1202151.3063086309","1202151.3063086309","1202151.3063086309"
"216","1203338.6990793105","1203338.6990793105","1203338.6990793105"
"217","1199920.3638639536","1199920.3638639536","1199920.3638639536"
"220","1197256.8764241436","1197256.8764241436","1197256.8764241436"
"221","1200791.1571332465","1200791.1571332465","1200791.1571332465"
"222","1201508.921643214","1201508.921643214","1201508.921643214"
"223","1196479.7291881924","1196479.7291881924","1196479.7291881924"
"226","1201123.6890613693","1201123.6890613693","1201123.6890613693"
"227","1197679.4215645373","1197679.4215645373","1197679.4215645373"
"229","1198638.4263128603","1198638.4263128603","1198638.4263128603"
"230","1197682.0307941","1197682.0307941","1197682.0307941"
"236","1199214.3051021965","1199214.3051021965","1199214.3051021965"
"241","1197448.5497641067","1197448.5497641067","1197448.5497641067"
"242","1193265.2882049768","1193265.2882049768","1193265.2882049768"
"244","1202578.6291907972","1202578.6291907972","1202578.6291907972"
"250","1188223.8243932908","1188223.8243932908","1188223.8243932908"
"258","1160920.2455444415","1160920.2455444415","1160920.2455444415"
"259","1163732.1886041183","1163732.1886041183","1163732.1886041183"
"260","1171931.1107657708","1171931.1107657708","1171931.1107657708"
"261","1161502.159532404","1161502.159532404","1161502.159532404"
"265","1154624.753838601","1154624.753838601","1154624.753838601"
"266","1160751.1155032797","1160751.1155032797","1160751.1155032797"
"269","1187643.6974548833","1187643.6974548833","1187643.6974548833"
"270","1162937.666646042","1162937.666646042","1162937.666646042"
"271","1171585.8307020436","1171585.8307020436","1171585.8307020436"
"272","1163030.5407595846","1163030.5407595846","1163030.5407595846"
"273","1167789.9718501335","1167789.9718501335","1167789.9718501335"
"274","1173787.7423224205","1173787.7423224205","1173787.7423224205"
"279","1159275.7716308872","1159275.7716308872","1159275.7716308872"
"280","1185012.6613152155","1185012.6613152155","1185012.6613152155"
"281","1155255.598544782","1155255.598544782","1155255.598544782"
"282","1171371.1479006896","1171371.1479006896","1171371.1479006896"
"288","1156771.2250293398","1156771.2250293398","1156771.2250293398"
"290","1136342.7696250884","1136342.7696250884","1136342.7696250884"
"292","1159805.8759458594","1159805.8759458594","1159805.8759458594"
"294","1129145.4864963535","1129145.4864963535","1129145.4864963535"
"297","1158493.4242374913","1158493.4242374913","1158493.4242374913"
"302","1145021.6586194902","1145021.6586194902","1145021.6586194902"
"308","1135798.6922968458","1135798.6922968458","1135798.6922968458"
"310","1124394.4775645025","1124394.4775645025","1124394.4775645025"
"312","1132998.5323996027","1132998.5323996027","1132998.5323996027"
"315","1185077.800182583","1185077.800182583","1185077.800182583"
"316","1157980.3727572595","1157980.3727572595","1157980.3727572595"
"317","1154940.09004761","1154940.09004761","1154940.09004761"
"318","1153977.64148776","1153977.64148776","1153977.64148776"
"321","1151795.6642616617","1151795.6642616617","1151795.6642616617"
"322","1159270.8824978834","1159270.8824978834","1159270.8824978834"
"323","1155868.90595826","1155868.90595826","1155868.90595826"
"325","1162505.4744240928","1162505.4744240928","1162505.4744240928"
"326","1154442.9074182278","1154442.9074182278","1154442.9074182278"
"328","1153647.6997337039","1153647.6997337039","1153647.6997337039"
"329","1168176.455757179","1168176.455757179","1168176.455757179"
"331","1163496.3651318802","1163496.3651318802","1163496.3651318802"
"334","1159768.5632481193","1159768.5632481193","1159768.5632481193"
"339","1157445.84329328","1157445.84329328","1157445.84329328"
"342","1189453.3308408626","1189453.3308408626","1189453.3308408626"
"345","1145265.5595112543","1145265.5595112543","1145265.5595112543"
"346","1166721.8040182767","1166721.8040182767","1166721.8040182767"
"347","1160495.67552483","1160495.67552483","1160495.67552483"
"348","1153493.3880989486","1153493.3880989486","1153493.3880989486"
"349","1164059.91407116","1164059.91407116","1164059.91407116"
"350","1148331.2065245828","1148331.2065245828","1148331.2065245828"
"351","1160653.7042628634","1160653.7042628634","1160653.7042628634"
"352","1155646.5827077369","1155646.5827077369","1155646.5827077369"
"354","1168638.9595088686","1168638.9595088686","1168638.9595088686"
"356","1188996.0662175673","1188996.0662175673","1188996.0662175673"
"358","1196182.2962279588","1196182.2962279588","1196182.2962279588"
"359","1197744.655714418","1197744.655714418","1197744.655714418"
"360","1198954.0779557258","1198954.0779557258","1198954.0779557258"
"363","1195938.342417619","1195938.342417619","1195938.342417619"
"364","1194577.2824941685","1194577.2824941685","1194577.2824941685"
"373","1199150.2185887585","1199150.2185887585","1199150.2185887585"
"375","1200186.250973265","1200186.250973265","1200186.250973265"
"376","1200498.7861671683","1200498.7861671683","1200498.7861671683"
"378","1195659.3812606977","1195659.3812606977","1195659.3812606977"
"380","512509.8044843551","512509.8044843551","512509.8044843551"
"381","623244.6115849717","623244.6115849717","623244.6115849717"
"382","1206008.8415318946","1206008.8415318946","1206008.8415318946"
"387","1194294.4154710271","1194294.4154710271","1194294.4154710271"
"389","1206298.6089872958","1206298.6089872958","1206298.6089872958"
"395","1195046.6441238727","1195046.6441238727","1195046.6441238727"
"397","1199191.4162753476","1199191.4162753476","1199191.4162753476"
"399","1203308.4095276503","1203308.4095276503","1203308.4095276503"
"400","1201259.509489249","1201259.509489249","1201259.509489249"
"404","1200612.177732401","1200612.177732401","1200612.177732401"
"405","1202260.4091206808","1202260.4091206808","1202260.4091206808"
"406","1194646.722172876","1194646.722172876","1194646.722172876"
"407","1196413.3308915661","1196413.3308915661","1196413.3308915661"
"409","1193014.1085322122","1193014.1085322122","1193014.1085322122"
"410","1199048.2174512835","1199048.2174512835","1199048.2174512835"
"414","1195598.274285503","1195598.274285503","1195598.274285503"
"416","1194090.7822770348","1194090.7822770348","1194090.7822770348"
"417","1201636.9496733102","1201636.9496733102","1201636.9496733102"
"420","1191409.8339043804","1191409.8339043804","1191409.8339043804"
"423","1203898.6718668991","1203898.6718668991","1203898.6718668991"
"424","1199096.6004427723","1199096.6004427723","1199096.6004427723"
"425","1189958.5956970383","1189958.5956970383","1189958.5956970383"
"427","1203137.2363764888","1203137.2363764888","1203137.2363764888"
"428","1198337.96018334","1198337.96018334","1198337.96018334"
"429","1200454.877268298","1200454.877268298","1200454.877268298"
"430","1198472.4981276449","1198472.4981276449","1198472.4981276449"
"432","1190717.620729855","1190717.620729855","1190717.620729855"
"438","1197496.151635499","1197496.151635499","1197496.151635499"
"441","1204506.0074318165","1204506.0074318165","1204506.0074318165"
"444","1197048.9737288905","1197048.9737288905","1197048.9737288905"
"446","1203670.0082717913","1203670.0082717913","1203670.0082717913"
"447","1206069.0329019174","1206069.0329019174","1206069.0329019174"
"448","1205846.156468811","1205846.156468811","1205846.156468811"
"449","1200976.0929924687","1200976.0929924687","1200976.0929924687"
"450","1202852.9332574105","1202852.9332574105","1202852.9332574105"
"455","1200371.655781374","1200371.655781374","1200371.655781374"
"457","1199221.4989139498","1199221.4989139498","1199221.4989139498"
"460","1202572.0526916767","1202572.0526916767","1202572.0526916767"
"462","1207075.9788667879","1207075.9788667879","1207075.9788667879"
"463","1199827.3966705278","1199827.3966705278","1199827.3966705278"
"464","1200750.5051136469","1200750.5051136469","1200750.5051136469"
"465","1200342.1706214584","1200342.1706214584","1200342.1706214584"
"466","1203431.552641228","1203431.552641228","1203431.552641228"
"467","1196050.2235442635","1196050.2235442635","1196050.2235442635"
"468","1199878.4613737618","1199878.4613737618","1199878.4613737618"
"469","1205509.683200449","1205509.683200449","1205509.683200449"
"471","1204983.205238964","1204983.205238964","1204983.205238964"
"475","1198080.7241539564","1198080.7241539564","1198080.7241539564"
"480","1207324.4981349532","1207324.4981349532","1207324.4981349532"
"481","1194456.593478412","1194456.593478412","1194456.593478412"
"482","1198571.7882142232","1198571.7882142232","1198571.7882142232"
"484","1199718.080445184","1199718.080445184","1199718.080445184"
"486","1204145.8844010273","1204145.8844010273","1204145.8844010273"
"487","1204571.327535311","1204571.327535311","1204571.327535311"
"492","1206357.5056981824","1206357.5056981824","1206357.5056981824"
"494","1199656.5579178678","1199656.5579178678","1199656.5579178678"
"496","1204521.182177657","1204521.182177657","1204521.182177657"
"497","1193789.3510946753","1193789.3510946753","1193789.3510946753"
"498","1197803.3725254375","1197803.3725254375","1197803.3725254375"
"500","1194513.6906182508","1194513.6906182508","1194513.6906182508"
"501","273216.88489229727","273216.88489229727","273216.88489229727"
"502","1191876.063301554","1191876.063301554","1191876.063301554"
"503","1196578.0382378548","1196578.0382378548","1196578.0382378548"
"507","1193828.885007101","1193828.885007101","1193828.885007101"
"510","1198144.0435882264","1198144.0435882264","1198144.0435882264"
"514","1198933.1600752391","1198933.1600752391","1198933.1600752391"
"521","1202360.327860893","1202360.327860893","1202360.327860893"
"525","1201052.1824356578","1201052.1824356578","1201052.1824356578"
"528","1199572.138337189","1199572.138337189","1199572.138337189"
"529","1196422.4439469227","1196422.4439469227","1196422.4439469227"
"530","1196315.6997241268","1196315.6997241268","1196315.6997241268"
"531","1202068.5065492636","1202068.5065492636","1202068.5065492636"
"533","1193100.1968686741","1193100.1968686741","1193100.1968686741"
"534","1195597.6242448757","1195597.6242448757","1195597.6242448757"
"535","1194351.497106756","1194351.497106756","1194351.497106756"
"542","1194453.9982835676","1194453.9982835676","1194453.9982835676"
"545","1187549.4161962962","1187549.4161962962","1187549.4161962962"
"549","1162061.935582605","1162061.935582605","1162061.935582605"
"550","1161966.146166292","1161966.146166292","1161966.146166292"
"551","1176255.8527614975","1176255.8527614975","1176255.8527614975"
"552","1198243.9321776042","1198243.9321776042","1198243.9321776042"
"555","1155234.3569851802","1155234.3569851802","1155234.3569851802"
"556","1197261.43936199","1197261.43936199","1197261.43936199"
"558","1153399.0060375787","1153399.0060375787","1153399.0060375787"
"561","1162426.2023382545","1162426.2023382545","1162426.2023382545"
"564","1156102.8629157247","1156102.8629157247","1156102.8629157247"
"565","1162065.6201063234","1162065.6201063234","1162065.6201063234"
"578","1114677.9357700879","1114677.9357700879","1114677.9357700879"
"583","1132463.4840017406","1132463.4840017406","1132463.4840017406"
"584","1141300.9320536088","1141300.9320536088","1141300.9320536088"
"585","1134150.8634474108","1134150.8634474108","1134150.8634474108"
"586","1133671.414848206","1133671.414848206","1133671.414848206"
"588","1136665.2360129368","1136665.2360129368","1136665.2360129368"
"589","1118398.015056255","1118398.015056255","1118398.015056255"
"591","1153375.4129355007","1153375.4129355007","1153375.4129355007"
"593","1129460.3997353835","1129460.3997353835","1129460.3997353835"
"606","1151213.7903127354","1151213.7903127354","1151213.7903127354"
"607","1129646.6465424907","1129646.6465424907","1129646.6465424907"
"608","1121066.9424112116","1121066.9424112116","1121066.9424112116"
"612","1162485.8090223593","1162485.8090223593","1162485.8090223593"
"613","1134613.15495071","1134613.15495071","1134613.15495071"
"615","1130771.8145903503","1130771.8145903503","1130771.8145903503"
"616","1121997.5813028913","1121997.5813028913","1121997.5813028913"
"617","1146692.879655881","1146692.879655881","1146692.879655881"
"619","1132324.11600973","1132324.11600973","1132324.11600973"
"620","1132493.8112890774","1132493.8112890774","1132493.8112890774"
"621","1125536.8536751026","1125536.8536751026","1125536.8536751026"
"623","1149755.9633755097","1149755.9633755097","1149755.9633755097"
"626","1121627.8864408405","1121627.8864408405","1121627.8864408405"
"627","1129869.5271666779","1129869.5271666779","1129869.5271666779"
"637","1123763.5693664984","1123763.5693664984","1123763.5693664984"
"638","1131065.5283532343","1131065.5283532343","1131065.5283532343"
"639","1134624.8634243947","1134624.8634243947","1134624.8634243947"
"640","1124496.822679107","1124496.822679107","1124496.822679107"
"644","1181620.6761292042","1181620.6761292042","1181620.6761292042"
"645","1179757.5570489098","1179757.5570489098","1179757.5570489098"
"647","1148362.9893426357","1148362.9893426357","1148362.9893426357"
"649","1189496.4386085148","1189496.4386085148","1189496.4386085148"
"651","1148284.435010869","1148284.435010869","1148284.435010869"
"653","1160130.169318126","1160130.169318126","1160130.169318126"
"656","1160987.05323167","1160987.05323167","1160987.05323167"
"658","1171271.946097559","1171271.946097559","1171271.946097559"
"665","1159137.669494813","1159137.669494813","1159137.669494813"
"668","1171872.4050425685","1171872.4050425685","1171872.4050425685"
"670","1153167.3514726718","1153167.3514726718","1153167.3514726718"
"671","1152969.0371850866","1152969.0371850866","1152969.0371850866"
"676","1168231.068004779","1168231.068004779","1168231.068004779"
"678","1152193.9687040392","1152193.9687040392","1152193.9687040392"
"681","1166979.373261755","1166979.373261755","1166979.373261755"
"682","1160139.9621267635","1160139.9621267635","1160139.9621267635"
"685","1191598.3481186058","1191598.3481186058","1191598.3481186058"
"686","1192755.2710937543","1192755.2710937543","1192755.2710937543"
"687","1186403.2053329851","1186403.2053329851","1186403.2053329851"
"694","1193054.885669224","1193054.885669224","1193054.885669224"
"695","1198417.6343475177","1198417.6343475177","1198417.6343475177"
"696","1194541.592342412","1194541.592342412","1194541.592342412"
"698","1199514.5566026878","1199514.5566026878","1199514.5566026878"
"699","1192312.2727443767","1192312.2727443767","1192312.2727443767"
"704","1201071.2063029627","1201071.2063029627","1201071.2063029627"
"706","1199298.0202531426","1199298.0202531426","1199298.0202531426"
"710","1201062.6782879222","1201062.6782879222","1201062.6782879222"
"711","1199630.3800327755","1199630.3800327755","1199630.3800327755"
"713","1196009.8918881582","1196009.8918881582","1196009.8918881582"
"716","1197002.0589698271","1197002.0589698271","1197002.0589698271"
"718","1196310.4931760973","1196310.4931760973","1196310.4931760973"
"719","1191938.082507911","1191938.082507911","1191938.082507911"
"723","1202312.9958611126","1202312.9958611126","1202312.9958611126"
"724","1197260.1356619133","1197260.1356619133","1197260.1356619133"
"727","1200127.3003162649","1200127.3003162649","1200127.3003162649"
"728","1202875.9620728851","1202875.9620728851","1202875.9620728851"
"729","1205334.5798842255","1205334.5798842255","1205334.5798842255"
"733","1199383.709580951","1199383.709580951","1199383.709580951"
"734","1208186.1606469525","1208186.1606469525","1208186.1606469525"
"738","1203962.607776235","1203962.607776235","1203962.607776235"
"739","1201369.7631441792","1201369.7631441792","1201369.7631441792"
"741","1195948.0986595082","1195948.0986595082","1195948.0986595082"
"743","1207842.4095690427","1207842.4095690427","1207842.4095690427"
"744","1201248.3539968808","1201248.3539968808","1201248.3539968808"
"746","1202989.1450672497","1202989.1450672497","1202989.1450672497"
"749","1205231.5239807845","1205231.5239807845","1205231.5239807845"
"751","1203853.8548657026","1203853.8548657026","1203853.8548657026"
"752","1204933.0255838712","1204933.0255838712","1204933.0255838712"
"756","1201779.4539705303","1201779.4539705303","1201779.4539705303"
"757","1200821.3200878517","1200821.3200878517","1200821.3200878517"
"764","1199072.4084589602","1199072.4084589602","1199072.4084589602"
"766","1200523.035741797","1200523.035741797","1200523.035741797"
"767","1210168.863577054","1210168.863577054","1210168.863577054"
"769","1203521.7857863337","1203521.7857863337","1203521.7857863337"
"774","1196217.4337746436","1196217.4337746436","1196217.4337746436"
"775","1208095.890458341","1208095.890458341","1208095.890458341"
"776","1200680.354069739","1200680.354069739","1200680.354069739"
"779","1200712.4782967644","1200712.4782967644","1200712.4782967644"
"781","1202911.4939751127","1202911.4939751127","1202911.4939751127"
"783","1198819.4318735404","1198819.4318735404","1198819.4318735404"
"786","1206744.7789507303","1206744.7789507303","1206744.7789507303"
"787","1198275.2732065977","1198275.2732065977","1198275.2732065977"
"789","1205713.9245337434","1205713.9245337434","1205713.9245337434"
"790","1200916.408883957","1200916.408883957","1200916.408883957"
"793","1199058.0244989118","1199058.0244989118","1199058.0244989118"
"798","1198618.1727736134","1198618.1727736134","1198618.1727736134"
"799","1195973.4656333942","1195973.4656333942","1195973.4656333942"
"805","1197845.782691611","1197845.782691611","1197845.782691611"
"806","1199459.5973763803","1199459.5973763803","1199459.5973763803"
"807","1201344.166741966","1201344.166741966","1201344.166741966"
"809","1207356.9788788883","1207356.9788788883","1207356.9788788883"
"810","1198705.7252458166","1198705.7252458166","1198705.7252458166"
"813","1205728.4686269918","1205728.4686269918","1205728.4686269918"
"816","1198515.6089076183","1198515.6089076183","1198515.6089076183"
"817","1199940.6614347843","1199940.6614347843","1199940.6614347843"
"820","1199137.1405500376","1199137.1405500376","1199137.1405500376"
"821","1202539.8288856966","1202539.8288856966","1202539.8288856966"
"823","1200128.6102679495","1200128.6102679495","1200128.6102679495"
"824","1202474.7289139892","1202474.7289139892","1202474.7289139892"
"826","1193321.6239378112","1193321.6239378112","1193321.6239378112"
"829","1205990.9837096964","1205990.9837096964","1205990.9837096964"
"831","1195974.7665328574","1195974.7665328574","1195974.7665328574"
"834","1191930.975813109","1191930.975813109","1191930.975813109"
"836","1197049.6253486595","1197049.6253486595","1197049.6253486595"
"837","1193895.6449340866","1193895.6449340866","1193895.6449340866"
"838","1184887.51260957","1184887.51260957","1184887.51260957"
"839","1189910.9473095257","1189910.9473095257","1189910.9473095257"
"840","1173964.4534113477","1173964.4534113477","1173964.4534113477"
"841","1186115.2388856136","1186115.2388856136","1186115.2388856136"
"842","1194894.6941868092","1194894.6941868092","1194894.6941868092"
"844","1150509.0938709225","1150509.0938709225","1150509.0938709225"
"845","1160413.615561515","1160413.615561515","1160413.615561515"
"846","1159350.3360193002","1159350.3360193002","1159350.3360193002"
"849","1159009.984853444","1159009.984853444","1159009.984853444"
"850","1165963.9968292902","1165963.9968292902","1165963.9968292902"
"852","1159391.900661358","1159391.900661358","1159391.900661358"
"853","1163666.9119665392","1163666.9119665392","1163666.9119665392"
"858","1164558.6324720422","1164558.6324720422","1164558.6324720422"
"860","1140436.180098847","1140436.180098847","1140436.180098847"
"863","1157367.8688561863","1157367.8688561863","1157367.8688561863"
"865","1142344.4023129242","1142344.4023129242","1142344.4023129242"
"866","1123348.5217329115","1123348.5217329115","1123348.5217329115"
"871","1144296.533349985","1144296.533349985","1144296.533349985"
"873","1128528.9278329036","1128528.9278329036","1128528.9278329036"
"874","1107886.139101468","1107886.139101468","1107886.139101468"
"879","1116332.5262820174","1116332.5262820174","1116332.5262820174"
"880","1141731.72524379","1141731.72524379","1141731.72524379"
"882","1120974.363425323","1120974.363425323","1120974.363425323"
"885","1125724.6900460678","1125724.6900460678","1125724.6900460678"
"886","1132209.8481917786","1132209.8481917786","1132209.8481917786"
"890","1129291.0322976902","1129291.0322976902","1129291.0322976902"
"893","1127510.5330889309","1127510.5330889309","1127510.5330889309"
"896","1147637.8197470943","1147637.8197470943","1147637.8197470943"
"898","1111542.4070183632","1111542.4070183632","1111542.4070183632"
"899","1112301.9883399208","1112301.9883399208","1112301.9883399208"
"905","1128976.2134836018","1128976.2134836018","1128976.2134836018"
"910","1122619.0571386127","1122619.0571386127","1122619.0571386127"
"911","1121041.795988864","1121041.795988864","1121041.795988864"
"916","1161155.638912401","1161155.638912401","1161155.638912401"
"917","1178509.474897317","1178509.474897317","1178509.474897317"
"920","1160259.3252691152","1160259.3252691152","1160259.3252691152"
"921","1161615.0533745643","1161615.0533745643","1161615.0533745643"
"923","1169339.9311016672","1169339.9311016672","1169339.9311016672"
"925","1153615.6237206885","1153615.6237206885","1153615.6237206885"
"926","1163375.1041164738","1163375.1041164738","1163375.1041164738"
"927","1162918.6016101942","1162918.6016101942","1162918.6016101942"
"928","1156575.9274609983","1156575.9274609983","1156575.9274609983"
"930","1167850.129902436","1167850.129902436","1167850.129902436"
"932","1172192.8599614818","1172192.8599614818","1172192.8599614818"
"934","1188210.3415633636","1188210.3415633636","1188210.3415633636"
"937","1195898.6686737684","1195898.6686737684","1195898.6686737684"
"938","1186120.3570686146","1186120.3570686146","1186120.3570686146"
"939","1191528.6167317242","1191528.6167317242","1191528.6167317242"
"940","1191332.3796013983","1191332.3796013983","1191332.3796013983"
"941","1197440.0731154948","1197440.0731154948","1197440.0731154948"
"942","1197144.1177250037","1197144.1177250037","1197144.1177250037"
"946","1186973.7916108451","1186973.7916108451","1186973.7916108451"
"947","1195253.8518140055","1195253.8518140055","1195253.8518140055"
"950","548168.3184378041","548168.3184378041","548168.3184378041"
"951","1192805.0885709436","1192805.0885709436","1192805.0885709436"
"953","520281.6010478394","520281.6010478394","520281.6010478394"
"954","1179295.6989958663","1179295.6989958663","1179295.6989958663"
"955","1182918.6288359053","1182918.6288359053","1182918.6288359053"
"956","1156264.5612351026","1156264.5612351026","1156264.5612351026"
"957","1164422.3517757386","1164422.3517757386","1164422.3517757386"
"959","1158592.9148772506","1158592.9148772506","1158592.9148772506"
"960","1169925.3392040017","1169925.3392040017","1169925.3392040017"
"961","1156408.060774149","1156408.060774149","1156408.060774149"
"962","1166150.109641345","1166150.109641345","1166150.109641345"
"963","1191672.6081053473","1191672.6081053473","1191672.6081053473"
"965","1144693.8382662055","1144693.8382662055","1144693.8382662055"
"966","1168776.2290500803","1168776.2290500803","1168776.2290500803"
"972","1157544.5447550206","1157544.5447550206","1157544.5447550206"
"973","1160065.908113623","1160065.908113623","1160065.908113623"
"974","1147334.2398962348","1147334.2398962348","1147334.2398962348"
