"Step","autumn-energy-2 - tok per sec","autumn-energy-2 - tok per sec__MIN","autumn-energy-2 - tok per sec__MAX"
"1","6875.684522191755","6875.684522191755","6875.684522191755"
"2","1141613.1802504566","1141613.1802504566","1141613.1802504566"
"3","1139036.1833378223","1139036.1833378223","1139036.1833378223"
"5","1131918.4530879068","1131918.4530879068","1131918.4530879068"
"8","1163476.6661915458","1163476.6661915458","1163476.6661915458"
"9","1159213.4382739868","1159213.4382739868","1159213.4382739868"
"13","1172025.426954381","1172025.426954381","1172025.426954381"
"14","1171218.9205789883","1171218.9205789883","1171218.9205789883"
"17","1155848.2493746448","1155848.2493746448","1155848.2493746448"
"18","1187284.6108441835","1187284.6108441835","1187284.6108441835"
"20","1162568.7769535733","1162568.7769535733","1162568.7769535733"
"22","1170672.102179056","1170672.102179056","1170672.102179056"
"23","1170679.580855359","1170679.580855359","1170679.580855359"
"24","1173521.522899971","1173521.522899971","1173521.522899971"
"32","1186374.4023962459","1186374.4023962459","1186374.4023962459"
"33","1167413.659578557","1167413.659578557","1167413.659578557"
"37","1156930.6756750927","1156930.6756750927","1156930.6756750927"
"39","1167785.6307871556","1167785.6307871556","1167785.6307871556"
"41","1169314.4377975431","1169314.4377975431","1169314.4377975431"
"46","1169353.6108938574","1169353.6108938574","1169353.6108938574"
"48","1162095.7112579409","1162095.7112579409","1162095.7112579409"
"49","1157788.9337566404","1157788.9337566404","1157788.9337566404"
"50","1192064.0788933164","1192064.0788933164","1192064.0788933164"
"51","1189557.566919073","1189557.566919073","1189557.566919073"
"54","1198852.7637663533","1198852.7637663533","1198852.7637663533"
"55","1197994.5682509192","1197994.5682509192","1197994.5682509192"
"57","1193442.0836941933","1193442.0836941933","1193442.0836941933"
"60","1205879.880253391","1205879.880253391","1205879.880253391"
"63","1199139.756134961","1199139.756134961","1199139.756134961"
"65","1201969.2932899776","1201969.2932899776","1201969.2932899776"
"67","1207921.3621034198","1207921.3621034198","1207921.3621034198"
"68","1199244.388889192","1199244.388889192","1199244.388889192"
"72","1207016.3494656854","1207016.3494656854","1207016.3494656854"
"74","1196817.0421635436","1196817.0421635436","1196817.0421635436"
"76","1200156.1199139215","1200156.1199139215","1200156.1199139215"
"77","1202945.7118650002","1202945.7118650002","1202945.7118650002"
"79","1208311.6320617348","1208311.6320617348","1208311.6320617348"
"80","1200727.557608377","1200727.557608377","1200727.557608377"
"82","1199515.8652170806","1199515.8652170806","1199515.8652170806"
"83","1199598.9680786764","1199598.9680786764","1199598.9680786764"
"84","1199402.0264454714","1199402.0264454714","1199402.0264454714"
"85","1203997.5446988258","1203997.5446988258","1203997.5446988258"
"87","1202489.194965238","1202489.194965238","1202489.194965238"
"88","1199944.5900761976","1199944.5900761976","1199944.5900761976"
"90","1202533.2528109397","1202533.2528109397","1202533.2528109397"
"91","1198214.5514518458","1198214.5514518458","1198214.5514518458"
"92","1201776.8268574332","1201776.8268574332","1201776.8268574332"
"93","1200293.6870634381","1200293.6870634381","1200293.6870634381"
"96","1203557.3558535015","1203557.3558535015","1203557.3558535015"
"97","1200815.4185209759","1200815.4185209759","1200815.4185209759"
"100","1207402.057092657","1207402.057092657","1207402.057092657"
"101","1209701.5251495882","1209701.5251495882","1209701.5251495882"
"105","1197282.2989493536","1197282.2989493536","1197282.2989493536"
"106","1210171.5275086854","1210171.5275086854","1210171.5275086854"
"109","1203730.625315846","1203730.625315846","1203730.625315846"
"110","1199926.256636357","1199926.256636357","1199926.256636357"
"111","1204384.6232282205","1204384.6232282205","1204384.6232282205"
"112","1206275.4489348794","1206275.4489348794","1206275.4489348794"
"113","1203780.0459019085","1203780.0459019085","1203780.0459019085"
"114","1199082.2159023122","1199082.2159023122","1199082.2159023122"
"116","1200068.355450048","1200068.355450048","1200068.355450048"
"122","1207456.4205923227","1207456.4205923227","1207456.4205923227"
"123","1207647.394607656","1207647.394607656","1207647.394607656"
"124","1204366.1538636796","1204366.1538636796","1204366.1538636796"
"126","1207686.5252123177","1207686.5252123177","1207686.5252123177"
"127","1204683.5098989534","1204683.5098989534","1204683.5098989534"
"128","1199943.9353008422","1199943.9353008422","1199943.9353008422"
"130","1201195.2042021176","1201195.2042021176","1201195.2042021176"
"132","1198341.8783371616","1198341.8783371616","1198341.8783371616"
"133","1206133.1995495835","1206133.1995495835","1206133.1995495835"
"136","1201371.7321433742","1201371.7321433742","1201371.7321433742"
"138","1201306.7585775892","1201306.7585775892","1201306.7585775892"
"141","1199472.0281892037","1199472.0281892037","1199472.0281892037"
"142","1201800.471288804","1201800.471288804","1201800.471288804"
"143","1199691.8998750674","1199691.8998750674","1199691.8998750674"
"144","1200862.6326802655","1200862.6326802655","1200862.6326802655"
"146","1204498.7500798334","1204498.7500798334","1204498.7500798334"
"149","1203417.0639079392","1203417.0639079392","1203417.0639079392"
"150","1203374.2583248923","1203374.2583248923","1203374.2583248923"
"153","1202311.023775326","1202311.023775326","1202311.023775326"
