"Step","copper-serenity-10 - train/loss","copper-serenity-10 - train/loss__MIN","copper-serenity-10 - train/loss__MAX"
"166","3.4502","3.4502","3.4502"
"167","3.4502","3.4502","3.4502"
"168","3.2109","3.2109","3.2109"
"169","3.2109","3.2109","3.2109"
"170","3.2624","3.2624","3.2624"
"171","3.2624","3.2624","3.2624"
"172","3.2795","3.2795","3.2795"
"173","3.2795","3.2795","3.2795"
"174","3.3563","3.3563","3.3563"
"175","3.3563","3.3563","3.3563"
"176","3.2866","3.2866","3.2866"
"177","3.2866","3.2866","3.2866"
"178","3.3672","3.3672","3.3672"
"179","3.3672","3.3672","3.3672"
"180","3.0918","3.0918","3.0918"
"181","3.0918","3.0918","3.0918"
"182","3.0854","3.0854","3.0854"
"183","3.0854","3.0854","3.0854"
"184","3.1948","3.1948","3.1948"
"185","3.1948","3.1948","3.1948"
"186","2.9934","2.9934","2.9934"
"187","2.9934","2.9934","2.9934"
"188","3.21","3.21","3.21"
"189","3.21","3.21","3.21"
"190","3.1304","3.1304","3.1304"
"191","3.1304","3.1304","3.1304"
"192","3.2065","3.2065","3.2065"
"193","3.2065","3.2065","3.2065"
"194","3.1609","3.1609","3.1609"
"195","3.1609","3.1609","3.1609"
"196","3.1029","3.1029","3.1029"
"197","3.1029","3.1029","3.1029"
"198","3.0911","3.0911","3.0911"
"199","3.0911","3.0911","3.0911"
"200","2.9819","2.9819","2.9819"
"201","2.9819","2.9819","2.9819"
"202","3.0775","3.0775","3.0775"
"203","3.0775","3.0775","3.0775"
"204","3.1396","3.1396","3.1396"
"205","3.1396","3.1396","3.1396"
"206","3.059","3.059","3.059"
"207","3.059","3.059","3.059"
"208","2.9056","2.9056","2.9056"
"209","2.9056","2.9056","2.9056"
"210","2.958","2.958","2.958"
"211","2.958","2.958","2.958"
"212","3.1091","3.1091","3.1091"
"213","3.1091","3.1091","3.1091"
"214","3.1711","3.1711","3.1711"
"215","3.1711","3.1711","3.1711"
"216","2.8612","2.8612","2.8612"
"217","2.8612","2.8612","2.8612"
"218","2.9057","2.9057","2.9057"
"219","2.9057","2.9057","2.9057"
"220","3.049","3.049","3.049"
"221","3.049","3.049","3.049"
"222","2.8381","2.8381","2.8381"
"223","2.8381","2.8381","2.8381"
"224","2.67","2.67","2.67"
"225","2.67","2.67","2.67"
"226","2.8657","2.8657","2.8657"
"227","2.8657","2.8657","2.8657"
"228","2.9493","2.9493","2.9493"
"229","2.9493","2.9493","2.9493"
"230","2.5507","2.5507","2.5507"
"231","2.5507","2.5507","2.5507"
"232","2.8034","2.8034","2.8034"
"233","2.8034","2.8034","2.8034"
"234","2.8417","2.8417","2.8417"
"235","2.8417","2.8417","2.8417"
"236","2.7515","2.7515","2.7515"
"237","2.7515","2.7515","2.7515"
"238","2.9787","2.9787","2.9787"
"239","2.9787","2.9787","2.9787"
"240","2.6661","2.6661","2.6661"
"241","2.6661","2.6661","2.6661"
"242","2.7887","2.7887","2.7887"
"243","2.7887","2.7887","2.7887"
"244","2.6321","2.6321","2.6321"
"245","2.6321","2.6321","2.6321"
"246","2.7737","2.7737","2.7737"
"247","2.7737","2.7737","2.7737"
"248","2.7665","2.7665","2.7665"
"249","2.7665","2.7665","2.7665"
"250","2.6017","2.6017","2.6017"
"251","2.6017","2.6017","2.6017"
"252","2.4502","2.4502","2.4502"
"253","2.4502","2.4502","2.4502"
"254","2.5518","2.5518","2.5518"
"255","2.5518","2.5518","2.5518"
"256","2.6042","2.6042","2.6042"
"257","2.6042","2.6042","2.6042"
"258","2.4343","2.4343","2.4343"
"259","2.4343","2.4343","2.4343"
"260","2.6495","2.6495","2.6495"
"261","2.6495","2.6495","2.6495"
"262","2.6335","2.6335","2.6335"
"263","2.6335","2.6335","2.6335"
"264","2.5451","2.5451","2.5451"
"265","2.5451","2.5451","2.5451"
"266","2.6557","2.6557","2.6557"
"267","2.6557","2.6557","2.6557"
"268","2.5575","2.5575","2.5575"
"269","2.5575","2.5575","2.5575"
"270","2.4608","2.4608","2.4608"
"271","2.4608","2.4608","2.4608"
"272","2.4493","2.4493","2.4493"
"273","2.4493","2.4493","2.4493"
"274","2.4895","2.4895","2.4895"
"275","2.4895","2.4895","2.4895"
