"Step","copper-serenity-10 - train/grad_norm","copper-serenity-10 - train/grad_norm__MIN","copper-serenity-10 - train/grad_norm__MAX"
"0","Infinity","",""
"1","Infinity","",""
"2","Infinity","",""
"3","Infinity","",""
"4","Infinity","",""
"5","Infinity","",""
"6","Infinity","",""
"7","Infinity","",""
"8","49.66231155395508","49.66231155395508","49.66231155395508"
"9","49.66231155395508","49.66231155395508","49.66231155395508"
"10","49.797664642333984","49.797664642333984","49.797664642333984"
"11","49.797664642333984","49.797664642333984","49.797664642333984"
"12","43.776309967041016","43.776309967041016","43.776309967041016"
"13","43.776309967041016","43.776309967041016","43.776309967041016"
"14","51.508934020996094","51.508934020996094","51.508934020996094"
"15","51.508934020996094","51.508934020996094","51.508934020996094"
"16","50.2735710144043","50.2735710144043","50.2735710144043"
"17","50.2735710144043","50.2735710144043","50.2735710144043"
"18","38.216026306152344","38.216026306152344","38.216026306152344"
"19","38.216026306152344","38.216026306152344","38.216026306152344"
"20","45.0944709777832","45.0944709777832","45.0944709777832"
"21","45.0944709777832","45.0944709777832","45.0944709777832"
"22","45.8836555480957","45.8836555480957","45.8836555480957"
"23","45.8836555480957","45.8836555480957","45.8836555480957"
"24","39.80351638793945","39.80351638793945","39.80351638793945"
"25","39.80351638793945","39.80351638793945","39.80351638793945"
"26","44.17271041870117","44.17271041870117","44.17271041870117"
"27","44.17271041870117","44.17271041870117","44.17271041870117"
"28","43.36085510253906","43.36085510253906","43.36085510253906"
"29","43.36085510253906","43.36085510253906","43.36085510253906"
"30","37.21698760986328","37.21698760986328","37.21698760986328"
"31","37.21698760986328","37.21698760986328","37.21698760986328"
"32","37.6567497253418","37.6567497253418","37.6567497253418"
"33","37.6567497253418","37.6567497253418","37.6567497253418"
"34","26.89722442626953","26.89722442626953","26.89722442626953"
"35","26.89722442626953","26.89722442626953","26.89722442626953"
"36","27.43377685546875","27.43377685546875","27.43377685546875"
"37","27.43377685546875","27.43377685546875","27.43377685546875"
"38","18.981719970703125","18.981719970703125","18.981719970703125"
"39","18.981719970703125","18.981719970703125","18.981719970703125"
"40","16.25505256652832","16.25505256652832","16.25505256652832"
"41","16.25505256652832","16.25505256652832","16.25505256652832"
"42","12.23745346069336","12.23745346069336","12.23745346069336"
"43","12.23745346069336","12.23745346069336","12.23745346069336"
"44","17.160598754882812","17.160598754882812","17.160598754882812"
"45","17.160598754882812","17.160598754882812","17.160598754882812"
