"Step","gallant-terrain-3 - train/grad_norm","gallant-terrain-3 - train/grad_norm__MIN","gallant-terrain-3 - train/grad_norm__MAX"
"0","Infinity","",""
"1","Infinity","",""
"2","Infinity","",""
"3","Infinity","",""
"4","Infinity","",""
"5","Infinity","",""
"6","Infinity","",""
"7","Infinity","",""
"8","40.204978942871094","40.204978942871094","40.204978942871094"
"9","40.204978942871094","40.204978942871094","40.204978942871094"
"10","42.094383239746094","42.094383239746094","42.094383239746094"
"11","42.094383239746094","42.094383239746094","42.094383239746094"
"12","37.990806579589844","37.990806579589844","37.990806579589844"
"13","37.990806579589844","37.990806579589844","37.990806579589844"
"14","44.434268951416016","44.434268951416016","44.434268951416016"
"15","44.434268951416016","44.434268951416016","44.434268951416016"
"16","40.624874114990234","40.624874114990234","40.624874114990234"
"17","40.624874114990234","40.624874114990234","40.624874114990234"
"18","35.13572311401367","35.13572311401367","35.13572311401367"
"19","35.13572311401367","35.13572311401367","35.13572311401367"
"20","37.73025131225586","37.73025131225586","37.73025131225586"
"21","37.73025131225586","37.73025131225586","37.73025131225586"
"22","42.87636947631836","42.87636947631836","42.87636947631836"
"23","42.87636947631836","42.87636947631836","42.87636947631836"
"24","39.31949234008789","39.31949234008789","39.31949234008789"
"25","39.31949234008789","39.31949234008789","39.31949234008789"
"26","40.894996643066406","40.894996643066406","40.894996643066406"
"27","40.894996643066406","40.894996643066406","40.894996643066406"
"28","40.34490203857422","40.34490203857422","40.34490203857422"
"29","40.34490203857422","40.34490203857422","40.34490203857422"
"30","38.394412994384766","38.394412994384766","38.394412994384766"
"31","38.394412994384766","38.394412994384766","38.394412994384766"
"32","39.84971618652344","39.84971618652344","39.84971618652344"
"33","39.84971618652344","39.84971618652344","39.84971618652344"
"34","31.091110229492188","31.091110229492188","31.091110229492188"
"35","31.091110229492188","31.091110229492188","31.091110229492188"
"36","37.07019805908203","37.07019805908203","37.07019805908203"
"37","37.07019805908203","37.07019805908203","37.07019805908203"
"38","32.6330680847168","32.6330680847168","32.6330680847168"
"39","32.6330680847168","32.6330680847168","32.6330680847168"
"40","28.27028465270996","28.27028465270996","28.27028465270996"
"41","28.27028465270996","28.27028465270996","28.27028465270996"
"42","24.441946029663086","24.441946029663086","24.441946029663086"
"43","24.441946029663086","24.441946029663086","24.441946029663086"
"44","23.257984161376953","23.257984161376953","23.257984161376953"
"45","23.257984161376953","23.257984161376953","23.257984161376953"
