"Step","gallant-terrain-3 - train/loss","gallant-terrain-3 - train/loss__MIN","gallant-terrain-3 - train/loss__MAX"
"289","2.523","2.523","2.523"
"290","2.3217","2.3217","2.3217"
"291","2.3217","2.3217","2.3217"
"292","2.5898","2.5898","2.5898"
"293","2.5898","2.5898","2.5898"
"294","2.6141","2.6141","2.6141"
"295","2.6141","2.6141","2.6141"
"296","2.5772","2.5772","2.5772"
"297","2.5772","2.5772","2.5772"
"298","2.4957","2.4957","2.4957"
"299","2.4957","2.4957","2.4957"
"300","2.4779","2.4779","2.4779"
"301","2.4779","2.4779","2.4779"
"302","2.5013","2.5013","2.5013"
"303","2.5013","2.5013","2.5013"
"304","2.6445","2.6445","2.6445"
"305","2.6445","2.6445","2.6445"
"306","2.5669","2.5669","2.5669"
"307","2.5669","2.5669","2.5669"
"308","2.5297","2.5297","2.5297"
"309","2.5297","2.5297","2.5297"
"310","2.6493","2.6493","2.6493"
"311","2.6493","2.6493","2.6493"
"312","2.4002","2.4002","2.4002"
"313","2.4002","2.4002","2.4002"
"314","2.6915","2.6915","2.6915"
"315","2.6915","2.6915","2.6915"
"316","2.469","2.469","2.469"
"317","2.469","2.469","2.469"
"318","2.5044","2.5044","2.5044"
"319","2.5044","2.5044","2.5044"
"320","2.4868","2.4868","2.4868"
"321","2.4868","2.4868","2.4868"
"322","2.2603","2.2603","2.2603"
"323","2.2603","2.2603","2.2603"
"324","2.3951","2.3951","2.3951"
"325","2.3951","2.3951","2.3951"
"326","2.5479","2.5479","2.5479"
"327","2.5479","2.5479","2.5479"
"328","2.4243","2.4243","2.4243"
"329","2.4243","2.4243","2.4243"
"330","2.4581","2.4581","2.4581"
"331","2.4581","2.4581","2.4581"
"332","2.3599","2.3599","2.3599"
"333","2.3599","2.3599","2.3599"
"334","2.2475","2.2475","2.2475"
"335","2.2475","2.2475","2.2475"
"336","2.3421","2.3421","2.3421"
"337","2.3421","2.3421","2.3421"
"338","2.2226","2.2226","2.2226"
"339","2.2226","2.2226","2.2226"
"340","2.2396","2.2396","2.2396"
"341","2.2396","2.2396","2.2396"
"342","2.2691","2.2691","2.2691"
"343","2.2691","2.2691","2.2691"
"344","2.3131","2.3131","2.3131"
"345","2.3131","2.3131","2.3131"
"346","2.1018","2.1018","2.1018"
"347","2.1018","2.1018","2.1018"
"348","2.3057","2.3057","2.3057"
"349","2.3057","2.3057","2.3057"
"350","2.426","2.426","2.426"
"351","2.426","2.426","2.426"
"352","2.3224","2.3224","2.3224"
"353","2.3224","2.3224","2.3224"
"354","2.2718","2.2718","2.2718"
"355","2.2718","2.2718","2.2718"
"356","2.294","2.294","2.294"
"357","2.294","2.294","2.294"
"358","2.2519","2.2519","2.2519"
"359","2.2519","2.2519","2.2519"
"360","2.3498","2.3498","2.3498"
"361","2.3498","2.3498","2.3498"
"362","2.2281","2.2281","2.2281"
"363","2.2281","2.2281","2.2281"
"364","2.1521","2.1521","2.1521"
"365","2.1521","2.1521","2.1521"
"366","2.2276","2.2276","2.2276"
"367","2.2276","2.2276","2.2276"
"368","2.2533","2.2533","2.2533"
"369","2.2533","2.2533","2.2533"
"370","2.2503","2.2503","2.2503"
"371","2.2503","2.2503","2.2503"
"372","2.2493","2.2493","2.2493"
"373","2.2493","2.2493","2.2493"
"374","2.1902","2.1902","2.1902"
"375","2.1902","2.1902","2.1902"
"376","2.1864","2.1864","2.1864"
"377","2.1864","2.1864","2.1864"
"378","2.0175","2.0175","2.0175"
"379","2.0175","2.0175","2.0175"
