"Relative Time (Process)","denim-lake-75 - system/gpu.process.0.memory","denim-lake-75 - system/gpu.process.0.memory__MIN","denim-lake-75 - system/gpu.process.0.memory__MAX"
"4891.241488","70.2","70.2","70.2"
"4921.242208","69.33","69.33","69.33"
"4951.242726","56.2","56.2","56.2"
"4981.24328","0","0","0"
"5011.243813","32.13","32.13","32.13"
"5041.244402","69.07","69.07","69.07"
"5071.244998","70","70","70"
"5101.245599","69.8","69.8","69.8"
"5131.246155","69.07","69.07","69.07"
"5161.2467","70.33","70.33","70.33"
"5191.247259","70.47","70.47","70.47"
"5221.247794","68.87","68.87","68.87"
"5251.248337","68.53","68.53","68.53"
"5281.248887","68.93","68.93","68.93"
"5311.249461","65.47","65.47","65.47"
"5341.250038","73.07","73.07","73.07"
"5371.250631","70.2","70.2","70.2"
"5401.251159","70.67","70.67","70.67"
"5431.251747","69.33","69.33","69.33"
"5461.252449","69.87","69.87","69.87"
"5491.253104","69.53","69.53","69.53"
"5521.253818","66.47","66.47","66.47"
"5551.254565","70.13","70.13","70.13"
"5581.255294","69.27","69.27","69.27"
"5611.256092","71.13","71.13","71.13"
"5641.256876","70.13","70.13","70.13"
"5671.25747","70.2","70.2","70.2"
"5701.258203","69.93","69.93","69.93"
"5731.258768","70.73","70.73","70.73"
"5761.259438","69.87","69.87","69.87"
"5791.259994","70.33","70.33","70.33"
"5821.260714","69.6","69.6","69.6"
"5851.261419","69","69","69"
"5881.261977","69.67","69.67","69.67"
"5911.262577","65.93","65.93","65.93"
"5941.263166","33","33","33"
"5971.263857","5.13","5.13","5.13"
"6001.264383","73.27","73.27","73.27"
"6031.265027","70.53","70.53","70.53"
"6061.265709","73.07","73.07","73.07"
"6091.26624","70.73","70.73","70.73"
"6121.266838","69.67","69.67","69.67"
"6151.26763","69.4","69.4","69.4"
"6181.268318","67.73","67.73","67.73"
"6211.268859","69.8","69.8","69.8"
"6241.269541","71.2","71.2","71.2"
"6271.27027","70.53","70.53","70.53"
"6301.270996","70.93","70.93","70.93"
"6331.271601","69.07","69.07","69.07"
"6361.272139","70","70","70"
"6391.272826","71.6","71.6","71.6"
"6421.27351","69.4","69.4","69.4"
"6451.27405","68.27","68.27","68.27"
"6481.274604","66.2","66.2","66.2"
"6511.275154","69.2","69.2","69.2"
"6541.275757","70.13","70.13","70.13"
"6601.276683","69.87","69.87","69.87"
"6631.277222","70","70","70"
"6661.277784","69.67","69.67","69.67"
"6691.278514","67.13","67.13","67.13"
"6721.279225","65.47","65.47","65.47"
"6751.279952","70.53","70.53","70.53"
"6781.280657","69.8","69.8","69.8"
"6811.281208","70.2","70.2","70.2"
"6841.281752","70.73","70.73","70.73"
"6871.282508","69.93","69.93","69.93"
"6901.283336","69.53","69.53","69.53"
"6931.283951","54.27","54.27","54.27"
"6961.284547","0","0","0"
"6991.285088","42.53","42.53","42.53"
"7021.285816","69.27","69.27","69.27"
"7051.286607","66.6","66.6","66.6"
"7081.287365","69.53","69.53","69.53"
"7111.288324","69.2","69.2","69.2"
"7141.289029","66.93","66.93","66.93"
"7171.289769","68.4","68.4","68.4"
"7201.290483","70.27","70.27","70.27"
"7231.291021","67.4","67.4","67.4"
"7261.291544","72.07","72.07","72.07"
"7291.292261","70.53","70.53","70.53"
"7321.293091","70.2","70.2","70.2"
"7351.29376","71.8","71.8","71.8"
"7381.294525","68.93","68.93","68.93"
"7411.295196","69.87","69.87","69.87"
"7441.296097","70.8","70.8","70.8"
"7471.296883","70.2","70.2","70.2"
"7501.297473","70.8","70.8","70.8"
"7531.297994","70.87","70.87","70.87"
"7561.298748","65","65","65"
"7591.299645","70.93","70.93","70.93"
"7621.300189","71.33","71.33","71.33"
"7651.300768","65.2","65.2","65.2"
"7681.301515","70.73","70.73","70.73"
"7711.302302","69.47","69.47","69.47"
"7741.302894","71.87","71.87","71.87"
"7771.303468","67.07","67.07","67.07"
"7801.304003","70.4","70.4","70.4"
"7831.304536","70.6","70.6","70.6"
"7861.305238","72","72","72"
"7891.306024","70.6","70.6","70.6"
"7921.306562","14","14","14"
"7951.307102","9.13","9.13","9.13"
"7981.307807","69.4","69.4","69.4"
"8011.308649","68.53","68.53","68.53"
"8041.309206","70.73","70.73","70.73"
"8071.309983","69.93","69.93","69.93"
"8101.310681","69.33","69.33","69.33"
"8131.311254","73.2","73.2","73.2"
"8161.311969","69.27","69.27","69.27"
"8191.312719","71.4","71.4","71.4"
"8221.313321","69.73","69.73","69.73"
"8251.314056","69.33","69.33","69.33"
"8281.314785","70.67","70.67","70.67"
"8311.315505","65.8","65.8","65.8"
"8341.316249","70.4","70.4","70.4"
"8371.317756","71","71","71"
"8401.318451","70.27","70.27","70.27"
"8431.319094","66.13","66.13","66.13"
"8461.319663","71.4","71.4","71.4"
"8521.321153","69.33","69.33","69.33"
"8551.32178","69.67","69.67","69.67"
"8581.322337","72.53","72.53","72.53"
"8611.322898","66.2","66.2","66.2"
"8641.323434","64.33","64.33","64.33"
"8671.323985","70.27","70.27","70.27"
"8701.32454","69.53","69.53","69.53"
"8731.325236","70.6","70.6","70.6"
"8761.325919","72.4","72.4","72.4"
"8791.326572","70.53","70.53","70.53"
"8821.327193","69.2","69.2","69.2"
"8851.32774","70.67","70.67","70.67"
"8881.328345","42.27","42.27","42.27"
"8911.329084","0","0","0"
"8941.329797","41.53","41.53","41.53"
"8971.330355","67.4","67.4","67.4"
"9001.330931","69.6","69.6","69.6"
"9031.331529","70.13","70.13","70.13"
"9061.332104","71.4","71.4","71.4"
"9091.332639","70.93","70.93","70.93"
"9121.333363","70.33","70.33","70.33"
"9151.334047","67.47","67.47","67.47"
"9181.334783","70.87","70.87","70.87"
"9211.335735","69.27","69.27","69.27"
"9241.33648","69.27","69.27","69.27"
"9271.337181","67.2","67.2","67.2"
"9301.33774","71.27","71.27","71.27"
"9331.338276","69.93","69.93","69.93"
"9361.338806","71.27","71.27","71.27"
"9391.339372","67","67","67"
"9421.339911","71.2","71.2","71.2"
"9451.340453","70","70","70"
"9481.341013","69.53","69.53","69.53"
"9511.341613","68.8","68.8","68.8"
"9541.342156","69.8","69.8","69.8"
"9571.342705","70.53","70.53","70.53"
"9601.343255","72.33","72.33","72.33"
"9631.343802","64.47","64.47","64.47"
"9661.344324","67.8","67.8","67.8"
"9691.344997","67.07","67.07","67.07"
"9721.345892","69.13","69.13","69.13"
"9751.346616","68.93","68.93","68.93"
"9781.347291","69.07","69.07","69.07"
"9811.347851","69.73","69.73","69.73"
"9841.348457","69.53","69.53","69.53"
"9871.349071","10.07","10.07","10.07"
"9901.349623","13.27","13.27","13.27"
"9931.350231","60.8","60.8","60.8"
"9961.35086","69.8","69.8","69.8"
"9991.351421","70.13","70.13","70.13"
"10021.352005","64.87","64.87","64.87"
"10051.352718","69.07","69.07","69.07"
"10081.353456","71.07","71.07","71.07"
"10111.354018","65.4","65.4","65.4"
"10141.354617","64.6","64.6","64.6"
"10171.355193","70.87","70.87","70.87"
"10201.355802","69.07","69.07","69.07"
"10231.356392","62.67","62.67","62.67"
"10261.356925","70.67","70.67","70.67"
"10291.357527","73.4","73.4","73.4"
"10321.358452","68.13","68.13","68.13"
"10351.359308","69.67","69.67","69.67"
"10381.359906","70.2","70.2","70.2"
"10411.360462","70","70","70"
"10441.361045","69.13","69.13","69.13"
"10471.361802","69.8","69.8","69.8"
"10501.362532","69.67","69.67","69.67"
"10531.363193","70.87","70.87","70.87"
"10561.363777","70.6","70.6","70.6"
"10591.364329","70","70","70"
"10621.364871","70.67","70.67","70.67"
"10651.365388","74.4","74.4","74.4"
"10681.365935","69.53","69.53","69.53"
"10711.366461","72.2","72.2","72.2"
"10741.367028","42.27","42.27","42.27"
"10771.367659","0","0","0"
"10801.368292","0","0","0"
"10831.368879","0","0","0"
"10856.594283","0","0","0"
