"Step","denim-lake-75 - loss/train","denim-lake-75 - loss/train__MIN","denim-lake-75 - loss/train__MAX"
"2","10.921106338500977","10.921106338500977","10.921106338500977"
"3","10.854713439941406","10.854713439941406","10.854713439941406"
"5","10.64846420288086","10.64846420288086","10.64846420288086"
"8","10.350605964660645","10.350605964660645","10.350605964660645"
"11","10.134764671325684","10.134764671325684","10.134764671325684"
"12","10.070025444030762","10.070025444030762","10.070025444030762"
"13","10.028148651123047","10.028148651123047","10.028148651123047"
"15","9.938398361206055","9.938398361206055","9.938398361206055"
"16","9.90574836730957","9.90574836730957","9.90574836730957"
"17","9.838855743408203","9.838855743408203","9.838855743408203"
"19","9.790884017944336","9.790884017944336","9.790884017944336"
"20","9.731245040893555","9.731245040893555","9.731245040893555"
"23","9.723523139953613","9.723523139953613","9.723523139953613"
"26","9.527240753173828","9.527240753173828","9.527240753173828"
"30","9.343745231628418","9.343745231628418","9.343745231628418"
"31","9.30533218383789","9.30533218383789","9.30533218383789"
"34","9.157726287841797","9.157726287841797","9.157726287841797"
"35","9.164968490600586","9.164968490600586","9.164968490600586"
"36","9.133066177368164","9.133066177368164","9.133066177368164"
"39","8.992844581604004","8.992844581604004","8.992844581604004"
"41","8.915398597717285","8.915398597717285","8.915398597717285"
"42","8.867382049560547","8.867382049560547","8.867382049560547"
"44","8.766107559204102","8.766107559204102","8.766107559204102"
"47","8.71058177947998","8.71058177947998","8.71058177947998"
"49","8.593795776367188","8.593795776367188","8.593795776367188"
"56","8.448968887329102","8.448968887329102","8.448968887329102"
"57","8.36541748046875","8.36541748046875","8.36541748046875"
"59","8.356904983520508","8.356904983520508","8.356904983520508"
"60","8.291543960571289","8.291543960571289","8.291543960571289"
"66","8.11131477355957","8.11131477355957","8.11131477355957"
"69","7.976452827453613","7.976452827453613","7.976452827453613"
"72","7.829771995544434","7.829771995544434","7.829771995544434"
"73","7.7909464836120605","7.7909464836120605","7.7909464836120605"
"74","7.789837837219238","7.789837837219238","7.789837837219238"
"75","7.73933744430542","7.73933744430542","7.73933744430542"
"81","7.525639533996582","7.525639533996582","7.525639533996582"
"82","7.521103858947754","7.521103858947754","7.521103858947754"
"83","7.503268241882324","7.503268241882324","7.503268241882324"
"84","7.440886974334717","7.440886974334717","7.440886974334717"
"85","7.412402153015137","7.412402153015137","7.412402153015137"
"91","7.310389518737793","7.310389518737793","7.310389518737793"
"93","7.248100280761719","7.248100280761719","7.248100280761719"
"96","7.169579982757568","7.169579982757568","7.169579982757568"
"97","7.169971942901611","7.169971942901611","7.169971942901611"
"98","7.146036148071289","7.146036148071289","7.146036148071289"
"99","7.088654518127441","7.088654518127441","7.088654518127441"
"105","7.083426475524902","7.083426475524902","7.083426475524902"
"106","7.11958646774292","7.11958646774292","7.11958646774292"
"107","7.147862911224365","7.147862911224365","7.147862911224365"
"109","7.194592475891113","7.194592475891113","7.194592475891113"
"110","7.169841766357422","7.169841766357422","7.169841766357422"
"111","7.187458038330078","7.187458038330078","7.187458038330078"
"113","7.147019386291504","7.147019386291504","7.147019386291504"
"114","7.164739608764648","7.164739608764648","7.164739608764648"
"116","7.1097564697265625","7.1097564697265625","7.1097564697265625"
"117","7.069890975952148","7.069890975952148","7.069890975952148"
"118","7.102980136871338","7.102980136871338","7.102980136871338"
"119","6.951539039611816","6.951539039611816","6.951539039611816"
"120","7.041535377502441","7.041535377502441","7.041535377502441"
"122","7.0025529861450195","7.0025529861450195","7.0025529861450195"
"124","7.003121376037598","7.003121376037598","7.003121376037598"
"127","6.9947967529296875","6.9947967529296875","6.9947967529296875"
"128","6.962336540222168","6.962336540222168","6.962336540222168"
"131","7.029417037963867","7.029417037963867","7.029417037963867"
"134","6.831478118896484","6.831478118896484","6.831478118896484"
"135","6.807024955749512","6.807024955749512","6.807024955749512"
"142","6.748347282409668","6.748347282409668","6.748347282409668"
"144","6.776065826416016","6.776065826416016","6.776065826416016"
"146","6.687004089355469","6.687004089355469","6.687004089355469"
"149","6.710048675537109","6.710048675537109","6.710048675537109"
"150","6.677004814147949","6.677004814147949","6.677004814147949"
"151","6.671968460083008","6.671968460083008","6.671968460083008"
"153","6.564737319946289","6.564737319946289","6.564737319946289"
"154","6.5754852294921875","6.5754852294921875","6.5754852294921875"
"155","6.619928359985352","6.619928359985352","6.619928359985352"
"157","6.634965419769287","6.634965419769287","6.634965419769287"
"159","6.559063911437988","6.559063911437988","6.559063911437988"
"160","6.691824436187744","6.691824436187744","6.691824436187744"
"161","6.7711286544799805","6.7711286544799805","6.7711286544799805"
"162","6.658941268920898","6.658941268920898","6.658941268920898"
"163","6.735607624053955","6.735607624053955","6.735607624053955"
"166","6.676442623138428","6.676442623138428","6.676442623138428"
"172","6.667541027069092","6.667541027069092","6.667541027069092"
"174","6.526545524597168","6.526545524597168","6.526545524597168"
"175","6.603519439697266","6.603519439697266","6.603519439697266"
"176","6.653008460998535","6.653008460998535","6.653008460998535"
"178","6.5217671394348145","6.5217671394348145","6.5217671394348145"
"180","6.580999374389648","6.580999374389648","6.580999374389648"
"182","6.584646701812744","6.584646701812744","6.584646701812744"
"186","6.442141532897949","6.442141532897949","6.442141532897949"
"188","6.420310974121094","6.420310974121094","6.420310974121094"
"189","6.486542224884033","6.486542224884033","6.486542224884033"
"190","6.427913665771484","6.427913665771484","6.427913665771484"
"192","6.4375","6.4375","6.4375"
"193","6.42243766784668","6.42243766784668","6.42243766784668"
"194","6.416766166687012","6.416766166687012","6.416766166687012"
"196","6.376867294311523","6.376867294311523","6.376867294311523"
"199","6.34864616394043","6.34864616394043","6.34864616394043"
