"Step","denim-lake-75 - global gradient norm","denim-lake-75 - global gradient norm__MIN","denim-lake-75 - global gradient norm__MAX"
"1","14.950088500976562","14.950088500976562","14.950088500976562"
"2","13.185288429260254","13.185288429260254","13.185288429260254"
"4","11.248629570007324","11.248629570007324","11.248629570007324"
"5","9.887492179870605","9.887492179870605","9.887492179870605"
"6","8.683759689331055","8.683759689331055","8.683759689331055"
"7","7.867210388183594","7.867210388183594","7.867210388183594"
"9","6.248415946960449","6.248415946960449","6.248415946960449"
"11","4.920407772064209","4.920407772064209","4.920407772064209"
"12","4.51558256149292","4.51558256149292","4.51558256149292"
"13","4.0024003982543945","4.0024003982543945","4.0024003982543945"
"16","3.1094813346862793","3.1094813346862793","3.1094813346862793"
"19","2.838482618331909","2.838482618331909","2.838482618331909"
"21","2.5002729892730713","2.5002729892730713","2.5002729892730713"
"22","2.735246181488037","2.735246181488037","2.735246181488037"
"26","2.7221438884735107","2.7221438884735107","2.7221438884735107"
"29","2.5631260871887207","2.5631260871887207","2.5631260871887207"
"30","2.283052921295166","2.283052921295166","2.283052921295166"
"32","2.202730178833008","2.202730178833008","2.202730178833008"
"33","2.128356456756592","2.128356456756592","2.128356456756592"
"34","2.208979606628418","2.208979606628418","2.208979606628418"
"35","2.00663685798645","2.00663685798645","2.00663685798645"
"37","1.9855856895446777","1.9855856895446777","1.9855856895446777"
"38","2.171255111694336","2.171255111694336","2.171255111694336"
"40","2.033871650695801","2.033871650695801","2.033871650695801"
"41","2.926964282989502","2.926964282989502","2.926964282989502"
"43","2.236182689666748","2.236182689666748","2.236182689666748"
"46","1.9321924448013306","1.9321924448013306","1.9321924448013306"
"51","1.9897747039794922","1.9897747039794922","1.9897747039794922"
"52","1.8471736907958984","1.8471736907958984","1.8471736907958984"
"53","1.8379483222961426","1.8379483222961426","1.8379483222961426"
"54","2.6548640727996826","2.6548640727996826","2.6548640727996826"
"57","1.7538740634918213","1.7538740634918213","1.7538740634918213"
"60","1.6932450532913208","1.6932450532913208","1.6932450532913208"
"64","1.7898224592208862","1.7898224592208862","1.7898224592208862"
"66","1.4686415195465088","1.4686415195465088","1.4686415195465088"
"67","2.24072003364563","2.24072003364563","2.24072003364563"
"68","1.4023535251617432","1.4023535251617432","1.4023535251617432"
"69","1.4729713201522827","1.4729713201522827","1.4729713201522827"
"75","1.2534692287445068","1.2534692287445068","1.2534692287445068"
