"Step","denim-lake-75 - tok per sec","denim-lake-75 - tok per sec__MIN","denim-lake-75 - tok per sec__MAX"
"224","1003712.1757719888","1003712.1757719888","1003712.1757719888"
"226","1005576.4243630045","1005576.4243630045","1005576.4243630045"
"227","1002745.537420064","1002745.537420064","1002745.537420064"
"228","1004163.1780762438","1004163.1780762438","1004163.1780762438"
"230","1003493.8916704825","1003493.8916704825","1003493.8916704825"
"231","1006244.8089262443","1006244.8089262443","1006244.8089262443"
"232","1004495.5341998629","1004495.5341998629","1004495.5341998629"
"234","1004221.3507259962","1004221.3507259962","1004221.3507259962"
"235","1004619.3065559511","1004619.3065559511","1004619.3065559511"
"240","1003578.6814097442","1003578.6814097442","1003578.6814097442"
"241","1004272.1918035867","1004272.1918035867","1004272.1918035867"
"244","1004458.3035688464","1004458.3035688464","1004458.3035688464"
"250","1001553.9302338171","1001553.9302338171","1001553.9302338171"
"252","1003271.517535851","1003271.517535851","1003271.517535851"
"253","1002849.0167495449","1002849.0167495449","1002849.0167495449"
"255","1003856.1800877943","1003856.1800877943","1003856.1800877943"
"257","1004183.6163473336","1004183.6163473336","1004183.6163473336"
"258","1005094.7499822398","1005094.7499822398","1005094.7499822398"
"259","1004781.4105501389","1004781.4105501389","1004781.4105501389"
"262","1003503.8354044248","1003503.8354044248","1003503.8354044248"
"264","1003766.1070943793","1003766.1070943793","1003766.1070943793"
"266","1003386.616547015","1003386.616547015","1003386.616547015"
"268","1003372.489337626","1003372.489337626","1003372.489337626"
"272","1004496.0585946575","1004496.0585946575","1004496.0585946575"
"273","1005539.6390510806","1005539.6390510806","1005539.6390510806"
"277","1003823.7100525037","1003823.7100525037","1003823.7100525037"
"279","1003866.1310029817","1003866.1310029817","1003866.1310029817"
"281","1002924.2878592259","1002924.2878592259","1002924.2878592259"
"282","1003191.4869720087","1003191.4869720087","1003191.4869720087"
"289","1003031.4641422487","1003031.4641422487","1003031.4641422487"
"290","1003517.4429386446","1003517.4429386446","1003517.4429386446"
"292","1002608.6430466996","1002608.6430466996","1002608.6430466996"
"293","1004206.6759084279","1004206.6759084279","1004206.6759084279"
"296","1003803.2864290726","1003803.2864290726","1003803.2864290726"
"299","1003373.0125605094","1003373.0125605094","1003373.0125605094"
"300","1002626.4058548125","1002626.4058548125","1002626.4058548125"
"305","1004217.6819813952","1004217.6819813952","1004217.6819813952"
"309","1005481.3135735994","1005481.3135735994","1005481.3135735994"
"310","1004391.7148160599","1004391.7148160599","1004391.7148160599"
"311","1005783.52333644","1005783.52333644","1005783.52333644"
"314","1003633.1218810962","1003633.1218810962","1003633.1218810962"
"315","1005116.8013205527","1005116.8013205527","1005116.8013205527"
"316","1003769.7725402064","1003769.7725402064","1003769.7725402064"
"320","1005546.995898159","1005546.995898159","1005546.995898159"
"324","1003926.8882380901","1003926.8882380901","1003926.8882380901"
"327","1002914.8783525918","1002914.8783525918","1002914.8783525918"
"328","1001325.64074692","1001325.64074692","1001325.64074692"
"329","1001709.8314807786","1001709.8314807786","1001709.8314807786"
"333","1002106.842668611","1002106.842668611","1002106.842668611"
"342","1002274.9237713944","1002274.9237713944","1002274.9237713944"
"344","1001335.020456083","1001335.020456083","1001335.020456083"
"345","1001203.7205166736","1001203.7205166736","1001203.7205166736"
"346","1000408.3211712836","1000408.3211712836","1000408.3211712836"
"347","996032.9145417585","996032.9145417585","996032.9145417585"
"348","995108.7935879289","995108.7935879289","995108.7935879289"
"349","996094.7899004447","996094.7899004447","996094.7899004447"
"350","999981.471913505","999981.471913505","999981.471913505"
"351","997843.880659834","997843.880659834","997843.880659834"
"354","995927.2285853002","995927.2285853002","995927.2285853002"
"355","989677.2469135358","989677.2469135358","989677.2469135358"
"358","998059.7133896921","998059.7133896921","998059.7133896921"
"359","1001679.5859731722","1001679.5859731722","1001679.5859731722"
"363","998867.4553219677","998867.4553219677","998867.4553219677"
"365","998823.9003037254","998823.9003037254","998823.9003037254"
"367","997198.4926068293","997198.4926068293","997198.4926068293"
"369","1001722.8689008327","1001722.8689008327","1001722.8689008327"
"370","998705.6986846005","998705.6986846005","998705.6986846005"
"371","1000168.596042979","1000168.596042979","1000168.596042979"
"375","998077.8330939476","998077.8330939476","998077.8330939476"
"377","999296.4677268242","999296.4677268242","999296.4677268242"
"379","999695.7229909011","999695.7229909011","999695.7229909011"
"380","999389.8929050756","999389.8929050756","999389.8929050756"
"381","997763.6788605197","997763.6788605197","997763.6788605197"
"382","997556.7660283961","997556.7660283961","997556.7660283961"
"384","996242.2905048816","996242.2905048816","996242.2905048816"
"386","997993.4526450534","997993.4526450534","997993.4526450534"
"388","995468.1417907244","995468.1417907244","995468.1417907244"
"391","996727.9068989703","996727.9068989703","996727.9068989703"
"392","998188.1186239325","998188.1186239325","998188.1186239325"
"393","997529.3565167082","997529.3565167082","997529.3565167082"
"395","1001901.7765792429","1001901.7765792429","1001901.7765792429"
"396","999003.8485782404","999003.8485782404","999003.8485782404"
"397","1003378.244819356","1003378.244819356","1003378.244819356"
"398","1002704.7786988231","1002704.7786988231","1002704.7786988231"
"399","1002899.1962338872","1002899.1962338872","1002899.1962338872"
"407","995764.3614744893","995764.3614744893","995764.3614744893"
"409","1002732.4733665398","1002732.4733665398","1002732.4733665398"
"410","1002092.2295846944","1002092.2295846944","1002092.2295846944"
"411","1001578.4332353172","1001578.4332353172","1001578.4332353172"
"412","998695.3314561632","998695.3314561632","998695.3314561632"
"413","1002390.838614763","1002390.838614763","1002390.838614763"
"414","1001452.8028713084","1001452.8028713084","1001452.8028713084"
"416","1002886.6508920274","1002886.6508920274","1002886.6508920274"
"417","999094.6251876407","999094.6251876407","999094.6251876407"
"418","1002363.1628149274","1002363.1628149274","1002363.1628149274"
"419","999631.3221556948","999631.3221556948","999631.3221556948"
"420","999516.0446091248","999516.0446091248","999516.0446091248"
"421","1000999.0238437228","1000999.0238437228","1000999.0238437228"
"422","997904.9461581747","997904.9461581747","997904.9461581747"
"425","997888.9028034203","997888.9028034203","997888.9028034203"
"427","998650.2365169047","998650.2365169047","998650.2365169047"
"429","997751.2616700596","997751.2616700596","997751.2616700596"
"430","1000842.3025790028","1000842.3025790028","1000842.3025790028"
"431","1001242.7942804423","1001242.7942804423","1001242.7942804423"
"432","1001200.0737876586","1001200.0737876586","1001200.0737876586"
"434","1001944.0352424376","1001944.0352424376","1001944.0352424376"
"436","1004927.2963951217","1004927.2963951217","1004927.2963951217"
"437","1001976.3837883719","1001976.3837883719","1001976.3837883719"
"438","1003470.8648326718","1003470.8648326718","1003470.8648326718"
"442","1002552.2241837553","1002552.2241837553","1002552.2241837553"
"445","1003251.6394719457","1003251.6394719457","1003251.6394719457"
"447","1002281.1887532127","1002281.1887532127","1002281.1887532127"
"450","1003190.9639384262","1003190.9639384262","1003190.9639384262"
"452","1004064.1428543846","1004064.1428543846","1004064.1428543846"
"454","1003348.9448726432","1003348.9448726432","1003348.9448726432"
"456","1001329.2883907137","1001329.2883907137","1001329.2883907137"
"458","1003831.041812352","1003831.041812352","1003831.041812352"
"462","1002674.9955748062","1002674.9955748062","1002674.9955748062"
"466","1002534.4640039682","1002534.4640039682","1002534.4640039682"
"469","1002408.0714885938","1002408.0714885938","1002408.0714885938"
"471","1002644.1692923295","1002644.1692923295","1002644.1692923295"
"476","1002214.3663181405","1002214.3663181405","1002214.3663181405"
"480","1001830.8317785475","1001830.8317785475","1001830.8317785475"
"481","1003576.0642281888","1003576.0642281888","1003576.0642281888"
"482","1003945.7454271482","1003945.7454271482","1003945.7454271482"
"483","1003094.2121081634","1003094.2121081634","1003094.2121081634"
"485","1003262.6246204157","1003262.6246204157","1003262.6246204157"
"486","1003327.4942109665","1003327.4942109665","1003327.4942109665"
"487","1003124.5431060729","1003124.5431060729","1003124.5431060729"
"488","1003837.849970967","1003837.849970967","1003837.849970967"
"489","1002741.879450764","1002741.879450764","1002741.879450764"
"493","1003181.0264039824","1003181.0264039824","1003181.0264039824"
"495","1003954.1266274542","1003954.1266274542","1003954.1266274542"
"497","1002970.8152369157","1002970.8152369157","1002970.8152369157"
"499","1002877.7647981053","1002877.7647981053","1002877.7647981053"
"502","49900.13203106593","49900.13203106593","49900.13203106593"
"503","1004479.278232793","1004479.278232793","1004479.278232793"
"505","1002635.8099492103","1002635.8099492103","1002635.8099492103"
"506","1003162.1979312646","1003162.1979312646","1003162.1979312646"
"507","1002264.4823090762","1002264.4823090762","1002264.4823090762"
"508","1004165.7983209153","1004165.7983209153","1004165.7983209153"
"510","1004400.6277593484","1004400.6277593484","1004400.6277593484"
"511","1003224.9622557301","1003224.9622557301","1003224.9622557301"
"515","1005072.1746144424","1005072.1746144424","1005072.1746144424"
"516","1003873.4633825163","1003873.4633825163","1003873.4633825163"
"517","1003935.2691235483","1003935.2691235483","1003935.2691235483"
"518","1003773.4380128039","1003773.4380128039","1003773.4380128039"
"522","1004234.977726352","1004234.977726352","1004234.977726352"
"524","1004798.7257190243","1004798.7257190243","1004798.7257190243"
"525","1003955.6981180905","1003955.6981180905","1003955.6981180905"
"529","1003178.4112960618","1003178.4112960618","1003178.4112960618"
"530","1004175.7553753789","1004175.7553753789","1004175.7553753789"
"532","1003958.3172800838","1003958.3172800838","1003958.3172800838"
"533","998462.6438206888","998462.6438206888","998462.6438206888"
"534","1003472.4348107706","1003472.4348107706","1003472.4348107706"
"537","1001953.4265405954","1001953.4265405954","1001953.4265405954"
"545","1004777.7377122459","1004777.7377122459","1004777.7377122459"
"548","1001632.1354953904","1001632.1354953904","1001632.1354953904"
"550","1002174.6947129383","1002174.6947129383","1002174.6947129383"
"551","1002578.8656333173","1002578.8656333173","1002578.8656333173"
"552","1002965.5872263946","1002965.5872263946","1002965.5872263946"
"554","1005654.7334892225","1005654.7334892225","1005654.7334892225"
"555","1003201.9477581903","1003201.9477581903","1003201.9477581903"
"556","1002950.9490868832","1002950.9490868832","1002950.9490868832"
"557","1002911.7418896161","1002911.7418896161","1002911.7418896161"
"560","1003811.1415705015","1003811.1415705015","1003811.1415705015"
"561","1002188.7882129834","1002188.7882129834","1002188.7882129834"
"562","1002076.5731819986","1002076.5731819986","1002076.5731819986"
"566","1002615.4346343075","1002615.4346343075","1002615.4346343075"
"567","1002155.9039961334","1002155.9039961334","1002155.9039961334"
"569","1000814.1916632858","1000814.1916632858","1000814.1916632858"
"572","1003503.3120450937","1003503.3120450937","1003503.3120450937"
"573","1003519.5364382024","1003519.5364382024","1003519.5364382024"
"574","1001723.3904046938","1001723.3904046938","1001723.3904046938"
"579","1003060.7455493845","1003060.7455493845","1003060.7455493845"
"580","1003362.5482065206","1003362.5482065206","1003362.5482065206"
"587","1003154.3529428939","1003154.3529428939","1003154.3529428939"
"590","1000203.9495756471","1000203.9495756471","1000203.9495756471"
"591","1002118.8465920897","1002118.8465920897","1002118.8465920897"
"596","1003802.7627573485","1003802.7627573485","1003802.7627573485"
"598","1002068.2233005967","1002068.2233005967","1002068.2233005967"
"599","1002052.5676480207","1002052.5676480207","1002052.5676480207"
"600","1002666.6357176654","1002666.6357176654","1002666.6357176654"
"605","1004192.5255976686","1004192.5255976686","1004192.5255976686"
"606","1002768.5309810702","1002768.5309810702","1002768.5309810702"
"613","999359.7873290336","999359.7873290336","999359.7873290336"
"615","1004098.2003828227","1004098.2003828227","1004098.2003828227"
"616","1001565.3995746272","1001565.3995746272","1001565.3995746272"
"618","1001553.4089063853","1001553.4089063853","1001553.4089063853"
"624","998609.2917665071","998609.2917665071","998609.2917665071"
"629","1001365.7662903502","1001365.7662903502","1001365.7662903502"
"631","1002178.3485452584","1002178.3485452584","1002178.3485452584"
"633","1002279.6225004154","1002279.6225004154","1002279.6225004154"
"638","1001489.8110314826","1001489.8110314826","1001489.8110314826"
"640","1002917.4920867239","1002917.4920867239","1002917.4920867239"
"641","1001909.0802909066","1001909.0802909066","1001909.0802909066"
"642","1003216.0701655963","1003216.0701655963","1003216.0701655963"
"643","1002487.9771008196","1002487.9771008196","1002487.9771008196"
"644","1002547.5228984564","1002547.5228984564","1002547.5228984564"
"645","1003412.7790963814","1003412.7790963814","1003412.7790963814"
"646","1002152.7722785065","1002152.7722785065","1002152.7722785065"
"647","1003368.8267927214","1003368.8267927214","1003368.8267927214"
"649","1002713.1391920223","1002713.1391920223","1002713.1391920223"
"652","1002427.9161379224","1002427.9161379224","1002427.9161379224"
"653","1002756.511488095","1002756.511488095","1002756.511488095"
"654","370146.39850290556","370146.39850290556","370146.39850290556"
"655","1001217.2657427441","1001217.2657427441","1001217.2657427441"
"656","1001344.4003409726","1001344.4003409726","1001344.4003409726"
"657","998071.1028412792","998071.1028412792","998071.1028412792"
"662","997903.911087462","997903.911087462","997903.911087462"
"664","1002433.1385446541","1002433.1385446541","1002433.1385446541"
"670","1003881.3196223103","1003881.3196223103","1003881.3196223103"
"671","1001611.2795648213","1001611.2795648213","1001611.2795648213"
"675","999438.1694252158","999438.1694252158","999438.1694252158"
"679","1000411.4419955973","1000411.4419955973","1000411.4419955973"
"683","1000838.6584823251","1000838.6584823251","1000838.6584823251"
"684","1001815.7051427168","1001815.7051427168","1001815.7051427168"
"687","1000035.0030549697","1000035.0030549697","1000035.0030549697"
"689","999314.6323656883","999314.6323656883","999314.6323656883"
"691","1001363.6817673462","1001363.6817673462","1001363.6817673462"
"693","1003770.8198153598","1003770.8198153598","1003770.8198153598"
"695","1001546.1103793251","1001546.1103793251","1001546.1103793251"
"697","1001932.0355065389","1001932.0355065389","1001932.0355065389"
"698","999510.8525526379","999510.8525526379","999510.8525526379"
"700","1001881.4310868031","1001881.4310868031","1001881.4310868031"
"703","1004894.757032818","1004894.757032818","1004894.757032818"
"705","1003588.6268241479","1003588.6268241479","1003588.6268241479"
"707","1002085.9669649088","1002085.9669649088","1002085.9669649088"
"708","1003676.5738029948","1003676.5738029948","1003676.5738029948"
"709","1005465.5510924989","1005465.5510924989","1005465.5510924989"
"713","1001676.97868734","1001676.97868734","1001676.97868734"
"714","999174.0033981813","999174.0033981813","999174.0033981813"
"715","670643.7584331265","670643.7584331265","670643.7584331265"
"716","552048.2336100825","552048.2336100825","552048.2336100825"
"718","1003154.3529428939","1003154.3529428939","1003154.3529428939"
"721","998056.6072207364","998056.6072207364","998056.6072207364"
"723","1003805.904795889","1003805.904795889","1003805.904795889"
"724","1003443.12936294","1003443.12936294","1003443.12936294"
"726","1005084.2496850208","1005084.2496850208","1005084.2496850208"
"728","1003030.4184093265","1003030.4184093265","1003030.4184093265"
"738","1004341.910103574","1004341.910103574","1004341.910103574"
"739","1002656.1860922708","1002656.1860922708","1002656.1860922708"
"742","1001969.6008556716","1001969.6008556716","1001969.6008556716"
"743","1002298.4178570666","1002298.4178570666","1002298.4178570666"
"745","1002850.5847824229","1002850.5847824229","1002850.5847824229"
"747","1001436.6452366392","1001436.6452366392","1001436.6452366392"
"752","1001227.6853968132","1001227.6853968132","1001227.6853968132"
"758","1001876.7360905078","1001876.7360905078","1001876.7360905078"
"760","1001708.2670131774","1001708.2670131774","1001708.2670131774"
"763","1001313.6558187072","1001313.6558187072","1001313.6558187072"
"764","1000219.0275777606","1000219.0275777606","1000219.0275777606"
"768","1002592.9705033794","1002592.9705033794","1002592.9705033794"
"770","1000806.9039058689","1000806.9039058689","1000806.9039058689"
"773","999917.0342580827","999917.0342580827","999917.0342580827"
"776","1003543.0889101218","1003543.0889101218","1003543.0889101218"
"777","1002973.9520693898","1002973.9520693898","1002973.9520693898"
"779","1001746.3371121585","1001746.3371121585","1001746.3371121585"
"780","1003506.4522092685","1003506.4522092685","1003506.4522092685"
"781","1002693.283248314","1002693.283248314","1002693.283248314"
"786","1002165.8212310813","1002165.8212310813","1002165.8212310813"
"787","1001610.7581776851","1001610.7581776851","1001610.7581776851"
"789","1002433.6607883201","1002433.6607883201","1002433.6607883201"
"790","1003072.2494270826","1003072.2494270826","1003072.2494270826"
"791","999529.5442084392","999529.5442084392","999529.5442084392"
"792","1003206.1321337479","1003206.1321337479","1003206.1321337479"
"793","1003472.4348107706","1003472.4348107706","1003472.4348107706"
"795","999989.7870546444","999989.7870546444","999989.7870546444"
"798","1001524.2154363614","1001524.2154363614","1001524.2154363614"
"799","1002590.8808679571","1002590.8808679571","1002590.8808679571"
"802","1003428.4772808934","1003428.4772808934","1003428.4772808934"
"803","1003370.9196722499","1003370.9196722499","1003370.9196722499"
"804","1002244.6441300195","1002244.6441300195","1002244.6441300195"
"810","1003643.0683745393","1003643.0683745393","1003643.0683745393"
"812","1002677.0855608732","1002677.0855608732","1002677.0855608732"
"814","1002216.4543843658","1002216.4543843658","1002216.4543843658"
"815","1003489.1815495018","1003489.1815495018","1003489.1815495018"
"822","1003928.9834463364","1003928.9834463364","1003928.9834463364"
"824","1001801.1005484499","1001801.1005484499","1001801.1005484499"
"825","1003207.7012835813","1003207.7012835813","1003207.7012835813"
"828","1004022.2290677961","1004022.2290677961","1004022.2290677961"
"829","1002927.9471594889","1002927.9471594889","1002927.9471594889"
"832","1003031.9870095275","1003031.9870095275","1003031.9870095275"
"833","1001239.6682671069","1001239.6682671069","1001239.6682671069"
"835","1001831.8750116498","1001831.8750116498","1001831.8750116498"
"836","1000331.3470014161","1000331.3470014161","1000331.3470014161"
"838","1003878.7008620496","1003878.7008620496","1003878.7008620496"
"840","1003727.8833259693","1003727.8833259693","1003727.8833259693"
"841","1001517.9599142007","1001517.9599142007","1001517.9599142007"
"844","1003331.6796339054","1003331.6796339054","1003331.6796339054"
"848","1003551.4633887853","1003551.4633887853","1003551.4633887853"
"851","1002712.0941227479","1002712.0941227479","1002712.0941227479"
"856","1002907.0372319355","1002907.0372319355","1002907.0372319355"
"858","1004306.787644828","1004306.787644828","1004306.787644828"
"859","1002398.1494585688","1002398.1494585688","1002398.1494585688"
"860","1001216.2237892651","1001216.2237892651","1001216.2237892651"
"861","1000663.2526421443","1000663.2526421443","1000663.2526421443"
"865","1001971.1661396822","1001971.1661396822","1001971.1661396822"
"870","1004591.5075659761","1004591.5075659761","1004591.5075659761"
"874","1004466.1689651752","1004466.1689651752","1004466.1689651752"
"875","1001271.9713462188","1001271.9713462188","1001271.9713462188"
"879","1002566.328304207","1002566.328304207","1002566.328304207"
"881","1001486.6834755208","1001486.6834755208","1001486.6834755208"
"893","1002214.3663181405","1002214.3663181405","1002214.3663181405"
"894","1000963.6140838051","1000963.6140838051","1000963.6140838051"
"895","1003485.5181526414","1003485.5181526414","1003485.5181526414"
"896","1001826.6588678652","1001826.6588678652","1001826.6588678652"
"897","1002026.4759807817","1002026.4759807817","1002026.4759807817"
"899","1002525.0618105881","1002525.0618105881","1002525.0618105881"
"902","1000761.6180780899","1000761.6180780899","1000761.6180780899"
"907","1001816.2267432447","1001816.2267432447","1001816.2267432447"
"909","1002470.7414795121","1002470.7414795121","1002470.7414795121"
"910","1004509.6930515002","1004509.6930515002","1004509.6930515002"
"913","1002035.3469951886","1002035.3469951886","1002035.3469951886"
"915","1000869.8944578156","1000869.8944578156","1000869.8944578156"
"916","1002326.0900816803","1002326.0900816803","1002326.0900816803"
"917","1002065.6139911956","1002065.6139911956","1002065.6139911956"
"919","1003837.3262631795","1003837.3262631795","1003837.3262631795"
"921","1002902.3326183937","1002902.3326183937","1002902.3326183937"
"923","1003477.6681065797","1003477.6681065797","1003477.6681065797"
"925","1002266.5705841356","1002266.5705841356","1002266.5705841356"
"926","1002770.0987622666","1002770.0987622666","1002770.0987622666"
"932","1003052.9021476952","1003052.9021476952","1003052.9021476952"
"933","1002060.9172685174","1002060.9172685174","1002060.9172685174"
"935","1003189.3948409512","1003189.3948409512","1003189.3948409512"
"937","1003140.7552537093","1003140.7552537093","1003140.7552537093"
"938","1003432.1402612899","1003432.1402612899","1003432.1402612899"
"940","1004151.6491621395","1004151.6491621395","1004151.6491621395"
"941","1002801.9780432142","1002801.9780432142","1002801.9780432142"
"943","1005257.0074589242","1005257.0074589242","1005257.0074589242"
"944","1005530.1804058711","1005530.1804058711","1005530.1804058711"
"948","1003857.2275432607","1003857.2275432607","1003857.2275432607"
"950","1004930.9703264838","1004930.9703264838","1004930.9703264838"
"953","1002067.1795752057","1002067.1795752057","1002067.1795752057"
"956","1002118.8465920897","1002118.8465920897","1002118.8465920897"
"958","1002076.0513103342","1002076.0513103342","1002076.0513103342"
"959","1003749.3511115006","1003749.3511115006","1003749.3511115006"
"960","1003259.4859820198","1003259.4859820198","1003259.4859820198"
"964","1003685.4740584639","1003685.4740584639","1003685.4740584639"
"965","1003609.5651830119","1003609.5651830119","1003609.5651830119"
"968","1003740.4497231315","1003740.4497231315","1003740.4497231315"
"970","1003538.3783272946","1003538.3783272946","1003538.3783272946"
"974","1002885.0827463632","1002885.0827463632","1002885.0827463632"
"975","1004607.7671658","1004607.7671658","1004607.7671658"
"981","1004466.1689651752","1004466.1689651752","1004466.1689651752"
"983","1003150.1689992665","1003150.1689992665","1003150.1689992665"
"984","1003960.9364557429","1003960.9364557429","1003960.9364557429"
"987","1003847.2768045844","1003847.2768045844","1003847.2768045844"
"988","1003149.1230188129","1003149.1230188129","1003149.1230188129"
"989","1001483.034684921","1001483.034684921","1001483.034684921"
"990","1005351.5505268553","1005351.5505268553","1005351.5505268553"
"991","1004415.3082460756","1004415.3082460756","1004415.3082460756"
"992","1004637.1406803449","1004637.1406803449","1004637.1406803449"
