"Step","deep-surf-23 - train/grad_norm","deep-surf-23 - train/grad_norm__MIN","deep-surf-23 - train/grad_norm__MAX"
"0","Infinity","",""
"1","Infinity","",""
"2","10.572339057922363","10.572339057922363","10.572339057922363"
"3","10.572339057922363","10.572339057922363","10.572339057922363"
"4","Infinity","",""
"5","Infinity","",""
"6","11.228338241577148","11.228338241577148","11.228338241577148"
"7","11.228338241577148","11.228338241577148","11.228338241577148"
"8","10.122183799743652","10.122183799743652","10.122183799743652"
"9","10.122183799743652","10.122183799743652","10.122183799743652"
"10","10.071354866027832","10.071354866027832","10.071354866027832"
"11","10.071354866027832","10.071354866027832","10.071354866027832"
"12","10.277215003967285","10.277215003967285","10.277215003967285"
"13","10.277215003967285","10.277215003967285","10.277215003967285"
"14","10.343141555786133","10.343141555786133","10.343141555786133"
"15","10.343141555786133","10.343141555786133","10.343141555786133"
"16","9.812124252319336","9.812124252319336","9.812124252319336"
"17","9.812124252319336","9.812124252319336","9.812124252319336"
"18","8.92035961151123","8.92035961151123","8.92035961151123"
"19","8.92035961151123","8.92035961151123","8.92035961151123"
"20","8.951918601989746","8.951918601989746","8.951918601989746"
"21","8.951918601989746","8.951918601989746","8.951918601989746"
"22","8.239692687988281","8.239692687988281","8.239692687988281"
"23","8.239692687988281","8.239692687988281","8.239692687988281"
"24","8.653220176696777","8.653220176696777","8.653220176696777"
"25","8.653220176696777","8.653220176696777","8.653220176696777"
"26","8.123788833618164","8.123788833618164","8.123788833618164"
"27","8.123788833618164","8.123788833618164","8.123788833618164"
"28","8.544708251953125","8.544708251953125","8.544708251953125"
"29","8.544708251953125","8.544708251953125","8.544708251953125"
"30","8.01353931427002","8.01353931427002","8.01353931427002"
"31","8.01353931427002","8.01353931427002","8.01353931427002"
"32","7.958106517791748","7.958106517791748","7.958106517791748"
"33","7.958106517791748","7.958106517791748","7.958106517791748"
"34","7.5811448097229","7.5811448097229","7.5811448097229"
"35","7.5811448097229","7.5811448097229","7.5811448097229"
"36","7.329005718231201","7.329005718231201","7.329005718231201"
"37","7.329005718231201","7.329005718231201","7.329005718231201"
"38","6.448108196258545","6.448108196258545","6.448108196258545"
"39","6.448108196258545","6.448108196258545","6.448108196258545"
"40","6.783998012542725","6.783998012542725","6.783998012542725"
"41","6.783998012542725","6.783998012542725","6.783998012542725"
"42","6.632012844085693","6.632012844085693","6.632012844085693"
"43","6.632012844085693","6.632012844085693","6.632012844085693"
