"Step","deep-surf-23 - train/loss","deep-surf-23 - train/loss__MIN","deep-surf-23 - train/loss__MAX"
"116","3.0735","3.0735","3.0735"
"117","3.0735","3.0735","3.0735"
"118","3.2813","3.2813","3.2813"
"119","3.2813","3.2813","3.2813"
"120","3.1015","3.1015","3.1015"
"121","3.1015","3.1015","3.1015"
"122","3.1412","3.1412","3.1412"
"123","3.1412","3.1412","3.1412"
"124","2.983","2.983","2.983"
"125","2.983","2.983","2.983"
"126","2.9931","2.9931","2.9931"
"127","2.9931","2.9931","2.9931"
"128","3.0602","3.0602","3.0602"
"129","3.0602","3.0602","3.0602"
"130","2.8822","2.8822","2.8822"
"131","2.8822","2.8822","2.8822"
"132","3.3458","3.3458","3.3458"
"133","3.3458","3.3458","3.3458"
"134","2.9401","2.9401","2.9401"
"135","2.9401","2.9401","2.9401"
"136","2.7266","2.7266","2.7266"
"137","2.7266","2.7266","2.7266"
"138","2.7952","2.7952","2.7952"
"139","2.7952","2.7952","2.7952"
"140","2.8554","2.8554","2.8554"
"141","2.8554","2.8554","2.8554"
"142","2.7621","2.7621","2.7621"
"143","2.7621","2.7621","2.7621"
"144","2.8062","2.8062","2.8062"
"145","2.8062","2.8062","2.8062"
"146","2.8963","2.8963","2.8963"
"147","2.8963","2.8963","2.8963"
"148","2.7941","2.7941","2.7941"
"149","2.7941","2.7941","2.7941"
"150","2.848","2.848","2.848"
"151","2.848","2.848","2.848"
"152","2.6372","2.6372","2.6372"
"153","2.6372","2.6372","2.6372"
"154","2.7885","2.7885","2.7885"
"155","2.7885","2.7885","2.7885"
"156","2.8888","2.8888","2.8888"
"157","2.8888","2.8888","2.8888"
"158","2.591","2.591","2.591"
"159","2.591","2.591","2.591"
"160","2.59","2.59","2.59"
"161","2.59","2.59","2.59"
"162","2.7299","2.7299","2.7299"
"163","2.7299","2.7299","2.7299"
"164","2.607","2.607","2.607"
"165","2.607","2.607","2.607"
"166","2.7267","2.7267","2.7267"
"167","2.7267","2.7267","2.7267"
"168","2.5013","2.5013","2.5013"
"169","2.5013","2.5013","2.5013"
"170","2.5433","2.5433","2.5433"
"171","2.5433","2.5433","2.5433"
"172","2.6079","2.6079","2.6079"
"173","2.6079","2.6079","2.6079"
"174","2.619","2.619","2.619"
"175","2.619","2.619","2.619"
"176","2.5537","2.5537","2.5537"
"177","2.5537","2.5537","2.5537"
"178","2.6347","2.6347","2.6347"
"179","2.6347","2.6347","2.6347"
"180","2.4298","2.4298","2.4298"
"181","2.4298","2.4298","2.4298"
"182","2.408","2.408","2.408"
"183","2.408","2.408","2.408"
"184","2.5083","2.5083","2.5083"
"185","2.5083","2.5083","2.5083"
"186","2.3613","2.3613","2.3613"
"187","2.3613","2.3613","2.3613"
"188","2.5374","2.5374","2.5374"
"189","2.5374","2.5374","2.5374"
"190","2.4724","2.4724","2.4724"
"191","2.4724","2.4724","2.4724"
"192","2.5154","2.5154","2.5154"
"193","2.5154","2.5154","2.5154"
"194","2.4468","2.4468","2.4468"
"195","2.4468","2.4468","2.4468"
"196","2.4596","2.4596","2.4596"
"197","2.4596","2.4596","2.4596"
"198","2.4585","2.4585","2.4585"
"199","2.4585","2.4585","2.4585"
"200","2.3345","2.3345","2.3345"
"201","2.3345","2.3345","2.3345"
"202","2.3994","2.3994","2.3994"
"203","2.3994","2.3994","2.3994"
"204","2.5035","2.5035","2.5035"
"205","2.5035","2.5035","2.5035"
"206","2.4083","2.4083","2.4083"
