Principal Component,Explained Variance Ratio,Cumulative Explained Variance Ratio
1,0.8914880656504099,0.8914880656504099
2,0.04422781441003352,0.9357158800604435
3,0.03692815779744087,0.9726440378578843
4,0.020029684403097943,0.9926737222609823
5,0.0073262777390175875,0.9999999999999999
6,2.852580079659293e-16,1.0000000000000002
